CATALOG_NAME,SCHEMA_NAME,CUBE_NAME,DIMENSION_UNIQUE_NAME,HIERARCHY_NAME,HIERARCHY_UNIQUE_NAME,HIERARCHY_GUID,HIERARCHY_CAPTION,DIMENSION_TYPE,HIERARCHY_CARDINALITY,DEFAULT_MEMBER,ALL_MEMBER,DESCRIPTION,STRUCTURE,IS_VIRTUAL,IS_READWRITE,DIMENSION_UNIQUE_SETTINGS,DIMENSION_MASTER_UNIQUE_NAME,DIMENSION_IS_VISIBLE,HIERARCHY_ORDINAL,DIMENSION_IS_SHARED,HIERARCHY_IS_VISIBLE,HIERARCHY_ORIGIN,HIERARCHY_DISPLAY_FOLDER,INSTANCE_SELECTION,GROUPING_BEHAVIOR,STRUCTURE_TYPE
TabSanitaria,,Modelo,[Center],CenterId,[Center].[CenterId],,CenterId,3,0.0,[Center].[CenterId].[All],[Center].[CenterId].[All],,0,False,False,1,,True,3.0,True,True,2,,0,1,Natural
TabSanitaria,,Modelo,[Center],CenterName,[Center].[CenterName],,CenterName,3,0.0,[Center].[CenterName].[All],[Center].[CenterName].[All],,0,False,False,1,,True,5.0,True,True,2,,0,1,Natural
TabSanitaria,,Modelo,[Center],CenterTypeId,[Center].[CenterTypeId],,CenterTypeId,3,0.0,[Center].[CenterTypeId].[All],[Center].[CenterTypeId].[All],,0,False,False,1,,True,4.0,True,True,2,,0,1,Natural
TabSanitaria,,Modelo,[Center],SupertelId,[Center].[SupertelId],,SupertelId,3,0.0,[Center].[SupertelId].[All],[Center].[SupertelId].[All],,0,False,False,1,,True,6.0,True,True,2,,0,1,Natural
TabSanitaria,,Modelo,[Center],transito,[Center].[transito],,transito,3,0.0,[Center].[transito].[All],[Center].[transito].[All],,0,False,False,1,,True,7.0,True,True,2,,0,1,Natural
TabSanitaria,,Modelo,[DIVADM],AREAKM,[DIVADM].[AREAKM],,AREAKM,3,0.0,[DIVADM].[AREAKM].[All],[DIVADM].[AREAKM].[All],,0,False,False,1,,True,32.0,True,True,2,,0,1,Natural
TabSanitaria,,Modelo,[DIVADM],CATEGORIA,[DIVADM].[CATEGORIA],,CATEGORIA,3,0.0,[DIVADM].[CATEGORIA].[All],[DIVADM].[CATEGORIA].[All],,0,False,False,1,,True,31.0,True,True,2,,0,1,Natural
TabSanitaria,,Modelo,[DIVADM],CLASE,[DIVADM].[CLASE],,CLASE,3,0.0,[DIVADM].[CLASE].[All],[DIVADM].[CLASE].[All],,0,False,False,1,,True,26.0,True,True,2,,0,1,Natural
TabSanitaria,,Modelo,[DIVADM],COD_CIRCUI,[DIVADM].[COD_CIRCUI],,COD_CIRCUI,3,0.0,[DIVADM].[COD_CIRCUI].[All],[DIVADM].[COD_CIRCUI].[All],,0,False,False,1,,True,12.0,True,True,2,,0,1,Natural
TabSanitaria,,Modelo,[DIVADM],COD_DISTRI,[DIVADM].[COD_DISTRI],,COD_DISTRI,3,0.0,[DIVADM].[COD_DISTRI].[All],[DIVADM].[COD_DISTRI].[All],,0,False,False,1,,True,11.0,True,True,2,,0,1,Natural
TabSanitaria,,Modelo,[DIVADM],COD_SUBCIR,[DIVADM].[COD_SUBCIR],,COD_SUBCIR,3,0.0,[DIVADM].[COD_SUBCIR].[All],[DIVADM].[COD_SUBCIR].[All],,0,False,False,1,,True,13.0,True,True,2,,0,1,Natural
TabSanitaria,,Modelo,[DIVADM],DESC_CIRC,[DIVADM].[DESC_CIRC],,DESC_CIRC,3,0.0,[DIVADM].[DESC_CIRC].[All],[DIVADM].[DESC_CIRC].[All],,0,False,False,1,,True,29.0,True,True,2,,0,1,Natural
TabSanitaria,,Modelo,[DIVADM],DPA_CANTON,[DIVADM].[DPA_CANTON],,DPA_CANTON,3,0.0,[DIVADM].[DPA_CANTON].[All],[DIVADM].[DPA_CANTON].[All],,0,False,False,1,,True,19.0,True,True,2,,0,1,Natural
TabSanitaria,,Modelo,[DIVADM],DPA_DESCAN,[DIVADM].[DPA_DESCAN],,DPA_DESCAN,3,0.0,[DIVADM].[DPA_DESCAN].[All],[DIVADM].[DPA_DESCAN].[All],,0,False,False,1,,True,21.0,True,True,2,,0,1,Natural
TabSanitaria,,Modelo,[DIVADM],DPA_DESP,[DIVADM].[DPA_DESP],,DPA_DESP,3,0.0,[DIVADM].[DPA_DESP].[All],[DIVADM].[DPA_DESP].[All],,0,False,False,1,,True,22.0,True,True,2,,0,1,Natural
