CATALOG_NAME,SCHEMA_NAME,CUBE_NAME,DIMENSION_UNIQUE_NAME,HIERARCHY_UNIQUE_NAME,LEVEL_NAME,LEVEL_UNIQUE_NAME,LEVEL_GUID,LEVEL_CAPTION,LEVEL_NUMBER,LEVEL_CARDINALITY,LEVEL_TYPE,DESCRIPTION,CUSTOM_ROLLUP_SETTINGS,LEVEL_UNIQUE_SETTINGS,LEVEL_IS_VISIBLE,LEVEL_ORDERING_PROPERTY,LEVEL_DBTYPE,LEVEL_MASTER_UNIQUE_NAME,LEVEL_NAME_SQL_COLUMN_NAME,LEVEL_KEY_SQL_COLUMN_NAME,LEVEL_UNIQUE_NAME_SQL_COLUMN_NAME,LEVEL_ATTRIBUTE_HIERARCHY_NAME,LEVEL_KEY_CARDINALITY,LEVEL_ORIGIN
TabSanitaria,,Modelo,[Center],[Center].[CenterId],(All),[Center].[CenterId].[(All)],,(All),0.0,0.0,1,,0,0,True,(All),3,,,,,,1,2
TabSanitaria,,Modelo,[Center],[Center].[CenterId],CenterId,[Center].[CenterId].[CenterId],,CenterId,1.0,0.0,0,,0,0,True,CenterId,20,,NAME( [$Center].[CenterId] ),KEY( [$Center].[CenterId] ),UNIQUENAME( [$Center].[CenterId] ),CenterId,1,2
TabSanitaria,,Modelo,[Center],[Center].[CenterName],(All),[Center].[CenterName].[(All)],,(All),0.0,0.0,1,,0,0,True,(All),3,,,,,,1,2
TabSanitaria,,Modelo,[Center],[Center].[CenterName],CenterName,[Center].[CenterName].[CenterName],,CenterName,1.0,0.0,0,,0,0,True,CenterName,130,,NAME( [$Center].[CenterName] ),KEY( [$Center].[CenterName] ),UNIQUENAME( [$Center].[CenterName] ),CenterName,1,2
TabSanitaria,,Modelo,[Center],[Center].[CenterTypeId],(All),[Center].[CenterTypeId].[(All)],,(All),0.0,0.0,1,,0,0,True,(All),3,,,,,,1,2
TabSanitaria,,Modelo,[Center],[Center].[CenterTypeId],CenterTypeId,[Center].[CenterTypeId].[CenterTypeId],,CenterTypeId,1.0,0.0,0,,0,0,True,CenterTypeId,20,,NAME( [$Center].[CenterTypeId] ),KEY( [$Center].[CenterTypeId] ),UNIQUENAME( [$Center].[CenterTypeId] ),CenterTypeId,1,2
TabSanitaria,,Modelo,[Center],[Center].[SupertelId],(All),[Center].[SupertelId].[(All)],,(All),0.0,0.0,1,,0,0,True,(All),3,,,,,,1,2
TabSanitaria,,Modelo,[Center],[Center].[SupertelId],SupertelId,[Center].[SupertelId].[SupertelId],,SupertelId,1.0,0.0,0,,0,0,True,SupertelId,20,,NAME( [$Center].[SupertelId] ),KEY( [$Center].[SupertelId] ),UNIQUENAME( [$Center].[SupertelId] ),SupertelId,1,2
TabSanitaria,,Modelo,[Center],[Center].[transito],(All),[Center].[transito].[(All)],,(All),0.0,0.0,1,,0,0,True,(All),3,,,,,,1,2
TabSanitaria,,Modelo,[Center],[Center].[transito],transito,[Center].[transito].[transito],,transito,1.0,0.0,0,,0,0,True,transito,20,,NAME( [$Center].[transito] ),KEY( [$Center].[transito] ),UNIQUENAME( [$Center].[transito] ),transito,1,2
TabSanitaria,,Modelo,[DIVADM],[DIVADM].[AREAKM],(All),[DIVADM].[AREAKM].[(All)],,(All),0.0,0.0,1,,0,0,True,(All),3,,,,,,1,2
TabSanitaria,,Modelo,[DIVADM],[DIVADM].[AREAKM],AREAKM,[DIVADM].[AREAKM].[AREAKM],,AREAKM,1.0,0.0,0,,0,0,True,AREAKM,5,,NAME( [$DIVADM].[AREAKM] ),KEY( [$DIVADM].[AREAKM] ),UNIQUENAME( [$DIVADM].[AREAKM] ),AREAKM,1,2
TabSanitaria,,Modelo,[DIVADM],[DIVADM].[CATEGORIA],(All),[DIVADM].[CATEGORIA].[(All)],,(All),0.0,0.0,1,,0,0,True,(All),3,,,,,,1,2
TabSanitaria,,Modelo,[DIVADM],[DIVADM].[CATEGORIA],CATEGORIA,[DIVADM].[CATEGORIA].[CATEGORIA],,CATEGORIA,1.0,0.0,0,,0,0,True,CATEGORIA,130,,NAME( [$DIVADM].[CATEGORIA] ),KEY( [$DIVADM].[CATEGORIA] ),UNIQUENAME( [$DIVADM].[CATEGORIA] ),CATEGORIA,1,2
TabSanitaria,,Modelo,[DIVADM],[DIVADM].[CLASE],(All),[DIVADM].[CLASE].[(All)],,(All),0.0,0.0,1,,0,0,True,(All),3,,,,,,1,2
TabSanitaria,,Modelo,[DIVADM],[DIVADM].[CLASE],CLASE,[DIVADM].[CLASE].[CLASE],,CLASE,1.0,0.0,0,,0,0,True,CLASE,130,,NAME( [$DIVADM].[CLASE] ),KEY( [$DIVADM].[CLASE] ),UNIQUENAME( [$DIVADM].[CLASE] ),CLASE,1,2
TabSanitaria,,Modelo,[DIVADM],[DIVADM].[COD_CIRCUI],(All),[DIVADM].[COD_CIRCUI].[(All)],,(All),0.0,0.0,1,,0,0,True,(All),3,,,,,,1,2
TabSanitaria,,Modelo,[DIVADM],[DIVADM].[COD_CIRCUI],COD_CIRCUI,[DIVADM].[COD_CIRCUI].[COD_CIRCUI],,COD_CIRCUI,1.0,0.0,0,,0,0,True,COD_CIRCUI,130,,NAME( [$DIVADM].[COD_CIRCUI] ),KEY( [$DIVADM].[COD_CIRCUI] ),UNIQUENAME( [$DIVADM].[COD_CIRCUI] ),COD_CIRCUI,1,2
TabSanitaria,,Modelo,[DIVADM],[DIVADM].[COD_DISTRI],(All),[DIVADM].[COD_DISTRI].[(All)],,(All),0.0,0.0,1,,0,0,True,(All),3,,,,,,1,2
TabSanitaria,,Modelo,[DIVADM],[DIVADM].[COD_DISTRI],COD_DISTRI,[DIVADM].[COD_DISTRI].[COD_DISTRI],,COD_DISTRI,1.0,0.0,0,,0,0,True,COD_DISTRI,130,,NAME( [$DIVADM].[COD_DISTRI] ),KEY( [$DIVADM].[COD_DISTRI] ),UNIQUENAME( [$DIVADM].[COD_DISTRI] ),COD_DISTRI,1,2
TabSanitaria,,Modelo,[DIVADM],[DIVADM].[COD_SUBCIR],(All),[DIVADM].[COD_SUBCIR].[(All)],,(All),0.0,0.0,1,,0,0,True,(All),3,,,,,,1,2
TabSanitaria,,Modelo,[DIVADM],[DIVADM].[COD_SUBCIR],COD_SUBCIR,[DIVADM].[COD_SUBCIR].[COD_SUBCIR],,COD_SUBCIR,1.0,0.0,0,,0,0,True,COD_SUBCIR,130,,NAME( [$DIVADM].[COD_SUBCIR] ),KEY( [$DIVADM].[COD_SUBCIR] ),UNIQUENAME( [$DIVADM].[COD_SUBCIR] ),COD_SUBCIR,1,2
TabSanitaria,,Modelo,[DIVADM],[DIVADM].[DESC_CIRC],(All),[DIVADM].[DESC_CIRC].[(All)],,(All),0.0,0.0,1,,0,0,True,(All),3,,,,,,1,2
