[Center].[CenterId].[CenterId].[MEMBER_UNIQUE_NAME],[Center].[CenterId].[CenterId].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[Center].[CenterId].&[1],1,6024718
[Center].[CenterId].&[2],2,3699950
[Center].[CenterId].&[3],3,1503716
[Center].[CenterId].&[4],4,1166330
[Center].[CenterId].&[5],5,1027866
[Center].[CenterId].&[6],6,808612
[Center].[CenterId].&[7],7,1639141
[Center].[CenterId].&[8],8,573678
[Center].[CenterId].&[9],9,276506
[Center].[CenterId].&[10],10,318110
[Center].[CenterId].&[11],11,805465
[Center].[CenterId].&[12],12,645825
[Center].[CenterId].&[13],13,748807
[Center].[CenterId].&[14],14,1340136
[Center].[CenterId].&[15],15,277826
[Center].[CenterId].&[16],16,73508
[Center].[CenterId].&[17],17,2330675
