[Center].[CenterName].[CenterName].[MEMBER_UNIQUE_NAME],[Center].[CenterName].[CenterName].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[Center].[CenterName].&[ECU_911_AMBATO],ECU_911_AMBATO,1639141
[Center].[CenterName].&[ECU_911_BABAHOYO],ECU_911_BABAHOYO,1340136
[Center].[CenterName].&[ECU_911_CUENCA],ECU_911_CUENCA,1503716
[Center].[CenterName].&[ECU_911_ESMERALDAS],ECU_911_ESMERALDAS,573678
[Center].[CenterName].&[ECU_911_GUAYAQUIL],ECU_911_GUAYAQUIL,2330675
[Center].[CenterName].&[ECU_911_IBARRA],ECU_911_IBARRA,808612
[Center].[CenterName].&[ECU_911_LOJA],ECU_911_LOJA,748807
[Center].[CenterName].&[ECU_911_MACAS],ECU_911_MACAS,277826
[Center].[CenterName].&[ECU_911_MACHALA],ECU_911_MACHALA,1027866
[Center].[CenterName].&[ECU_911_NUEVA_LOJA],ECU_911_NUEVA_LOJA,318110
[Center].[CenterName].&[ECU_911_PORTOVIEJO],ECU_911_PORTOVIEJO,1166330
[Center].[CenterName].&[ECU_911_QUITO],ECU_911_QUITO,6024718
[Center].[CenterName].&[ECU_911_RIOBAMBA],ECU_911_RIOBAMBA,645825
[Center].[CenterName].&[ECU_911_SAMBORONDON],ECU_911_SAMBORONDON,3699950
[Center].[CenterName].&[ECU_911_SAN_CRISTOBAL],ECU_911_SAN_CRISTOBAL,73508
[Center].[CenterName].&[ECU_911_SANTO_DOMINGO],ECU_911_SANTO_DOMINGO,805465
[Center].[CenterName].&[ECU_911_TULCAN],ECU_911_TULCAN,276506
