[Center].[SupertelId].[SupertelId].[MEMBER_UNIQUE_NAME],[Center].[SupertelId].[SupertelId].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[Center].[SupertelId].&[1],1,3699950
[Center].[SupertelId].&[2],2,6024718
[Center].[SupertelId].&[3],3,1503716
[Center].[SupertelId].&[4],4,1027866
[Center].[SupertelId].&[5],5,1639141
[Center].[SupertelId].&[6],6,1166330
[Center].[SupertelId].&[7],7,805465
[Center].[SupertelId].&[8],8,1340136
[Center].[SupertelId].&[9],9,573678
[Center].[SupertelId].&[10],10,748807
[Center].[SupertelId].&[11],11,645825
[Center].[SupertelId].&[12],12,808612
[Center].[SupertelId].&[13],13,277826
[Center].[SupertelId].&[14],14,276506
[Center].[SupertelId].&[15],15,318110
[Center].[SupertelId].&[16],16,2404183
