[DIVADM].[AREAKM].[AREAKM].[MEMBER_UNIQUE_NAME],[DIVADM].[AREAKM].[AREAKM].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[AREAKM].&[1.20732E-1],"0,120732",12415
[DIVADM].[AREAKM].&[1.37529E-1],"0,137529",8498
[DIVADM].[AREAKM].&[1.60111E-1],"0,160111",6671
[DIVADM].[AREAKM].&[1.69082E-1],"0,169082",12026
[DIVADM].[AREAKM].&[1.77931E-1],"0,177931",35327
[DIVADM].[AREAKM].&[1.81775E-1],"0,181775",22324
[DIVADM].[AREAKM].&[1.8270101E-1],"0,18270101",16022
[DIVADM].[AREAKM].&[1.86217E-1],"0,186217",8529
[DIVADM].[AREAKM].&[1.89882E-1],"0,189882",20357
[DIVADM].[AREAKM].&[1.96253E-1],"0,196253",22448
[DIVADM].[AREAKM].&[2.0168E-1],"0,20168",5750
[DIVADM].[AREAKM].&[2.07682E-1],"0,207682",17531
[DIVADM].[AREAKM].&[2.1699201E-1],"0,21699201",11930
[DIVADM].[AREAKM].&[2.1948101E-1],"0,21948101",2606
[DIVADM].[AREAKM].&[2.27788E-1],"0,227788",24517
[DIVADM].[AREAKM].&[2.29578E-1],"0,229578",18106
[DIVADM].[AREAKM].&[2.36489E-1],"0,236489",12488
[DIVADM].[AREAKM].&[2.38021E-1],"0,238021",16533
[DIVADM].[AREAKM].&[2.4653099E-1],"0,24653099",21661
[DIVADM].[AREAKM].&[2.6991299E-1],"0,26991299",9797
[DIVADM].[AREAKM].&[2.70253E-1],"0,270253",17958
[DIVADM].[AREAKM].&[2.7155101E-1],"0,27155101",9387
[DIVADM].[AREAKM].&[2.7441099E-1],"0,27441099",6358
[DIVADM].[AREAKM].&[2.85173E-1],"0,285173",20357
[DIVADM].[AREAKM].&[2.86419E-1],"0,286419",12073
[DIVADM].[AREAKM].&[2.9198599E-1],"0,29198599",30289
[DIVADM].[AREAKM].&[2.93073E-1],"0,293073",6283
[DIVADM].[AREAKM].&[2.9399201E-1],"0,29399201",22685
[DIVADM].[AREAKM].&[2.95921E-1],"0,295921",10974
