[DIVADM].[CATEGORIA].[CATEGORIA].[MEMBER_UNIQUE_NAME],[DIVADM].[CATEGORIA].[CATEGORIA].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[CATEGORIA].&[],,5928
[DIVADM].[CATEGORIA].&[ADICIONAL 30 TERRENOS],ADICIONAL 30 TERRENOS,524759
[DIVADM].[CATEGORIA].&[ADICIONAL PRIMER ANILLO SENPLADES],ADICIONAL PRIMER ANILLO SENPLADES,40086
[DIVADM].[CATEGORIA].&[CON TERRENO],CON TERRENO,4056031
[DIVADM].[CATEGORIA].&[CONSTRUIDA EN EL 2011],CONSTRUIDA EN EL 2011,5338
[DIVADM].[CATEGORIA].&[ND],ND,7043034
[DIVADM].[CATEGORIA].&[PRIMERA FASE],PRIMERA FASE,1774404
[DIVADM].[CATEGORIA].&[PRIMERA PRIORIZACION],PRIMERA PRIORIZACION,6223719
[DIVADM].[CATEGORIA].&[REMODELADA FABREC],REMODELADA FABREC,52607
[DIVADM].[CATEGORIA].&[SEGUNDA FASE],SEGUNDA FASE,2799576
[DIVADM].[CATEGORIA].&[UVC],UVC,616990
[DIVADM].[CATEGORIA].&[UVC EXISTENTE],UVC EXISTENTE,114050
[DIVADM].[CATEGORIA].&,,4347
