[DIVADM].[COD_CIRCUI].[COD_CIRCUI].[MEMBER_UNIQUE_NAME],[DIVADM].[COD_CIRCUI].[COD_CIRCUI].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[COD_CIRCUI].&[000C01],000C01,2751
[DIVADM].[COD_CIRCUI].&[000C02],000C02,2533
[DIVADM].[COD_CIRCUI].&[000C03],000C03,1725
[DIVADM].[COD_CIRCUI].&[000C04],000C04,644
[DIVADM].[COD_CIRCUI].&[01D01C01],01D01C01,23138
[DIVADM].[COD_CIRCUI].&[01D01C02],01D01C02,35340
[DIVADM].[COD_CIRCUI].&[01D01C03],01D01C03,18249
[DIVADM].[COD_CIRCUI].&[01D01C04],01D01C04,23946
[DIVADM].[COD_CIRCUI].&[01D01C05],01D01C05,32010
[DIVADM].[COD_CIRCUI].&[01D01C06],01D01C06,60972
[DIVADM].[COD_CIRCUI].&[01D01C07],01D01C07,61572
[DIVADM].[COD_CIRCUI].&[01D01C08],01D01C08,39971
[DIVADM].[COD_CIRCUI].&[01D01C09],01D01C09,22170
[DIVADM].[COD_CIRCUI].&[01D01C10],01D01C10,20497
[DIVADM].[COD_CIRCUI].&[01D01C11],01D01C11,36621
[DIVADM].[COD_CIRCUI].&[01D01C12],01D01C12,20464
[DIVADM].[COD_CIRCUI].&[01D01C13],01D01C13,36332
[DIVADM].[COD_CIRCUI].&[01D01C14],01D01C14,13315
[DIVADM].[COD_CIRCUI].&[01D01C15],01D01C15,10893
[DIVADM].[COD_CIRCUI].&[01D01C16],01D01C16,15845
[DIVADM].[COD_CIRCUI].&[01D01C17],01D01C17,35419
[DIVADM].[COD_CIRCUI].&[01D01C18],01D01C18,7269
[DIVADM].[COD_CIRCUI].&[01D01C19],01D01C19,3796
[DIVADM].[COD_CIRCUI].&[01D01C20],01D01C20,15417
[DIVADM].[COD_CIRCUI].&[01D02C01],01D02C01,48587
[DIVADM].[COD_CIRCUI].&[01D02C02],01D02C02,18328
[DIVADM].[COD_CIRCUI].&[01D02C03],01D02C03,40797
[DIVADM].[COD_CIRCUI].&[01D02C04],01D02C04,84635
[DIVADM].[COD_CIRCUI].&[01D02C05],01D02C05,43091
[DIVADM].[COD_CIRCUI].&[01D02C06],01D02C06,66156
[DIVADM].[COD_CIRCUI].&[01D02C07],01D02C07,68813
[DIVADM].[COD_CIRCUI].&[01D02C08],01D02C08,22416
[DIVADM].[COD_CIRCUI].&[01D02C09],01D02C09,58821
[DIVADM].[COD_CIRCUI].&[01D02C10],01D02C10,6146
[DIVADM].[COD_CIRCUI].&[01D02C11],01D02C11,239
[DIVADM].[COD_CIRCUI].&[01D02C12],01D02C12,19993
[DIVADM].[COD_CIRCUI].&[01D02C13],01D02C13,8838
[DIVADM].[COD_CIRCUI].&[01D02C14],01D02C14,17766
