[DIVADM].[COD_DISTRI].[COD_DISTRI].[MEMBER_UNIQUE_NAME],[DIVADM].[COD_DISTRI].[COD_DISTRI].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[COD_DISTRI].&[000C0],000C0,7653
[DIVADM].[COD_DISTRI].&[01D01],01D01,533236
[DIVADM].[COD_DISTRI].&[01D02],01D02,548374
[DIVADM].[COD_DISTRI].&[01D03],01D03,39784
[DIVADM].[COD_DISTRI].&[01D04],01D04,52901
[DIVADM].[COD_DISTRI].&[01D05],01D05,12657
[DIVADM].[COD_DISTRI].&[01D06],01D06,31012
[DIVADM].[COD_DISTRI].&[01D07],01D07,22526
[DIVADM].[COD_DISTRI].&[01D08],01D08,16200
[DIVADM].[COD_DISTRI].&[02D01],02D01,132543
[DIVADM].[COD_DISTRI].&[02D02],02D02,14302
[DIVADM].[COD_DISTRI].&[02D03],02D03,46083
[DIVADM].[COD_DISTRI].&[02D04],02D04,63749
[DIVADM].[COD_DISTRI].&[03D01],03D01,126659
[DIVADM].[COD_DISTRI].&[03D02],03D02,41416
[DIVADM].[COD_DISTRI].&[03D03],03D03,77734
[DIVADM].[COD_DISTRI].&[04D01],04D01,202912
[DIVADM].[COD_DISTRI].&[04D02],04D02,48653
[DIVADM].[COD_DISTRI].&[04D03],04D03,24699
[DIVADM].[COD_DISTRI].&[05D01],05D01,281896
[DIVADM].[COD_DISTRI].&[05D02],05D02,53881
[DIVADM].[COD_DISTRI].&[05D03],05D03,10438
[DIVADM].[COD_DISTRI].&[05D04],05D04,68935
[DIVADM].[COD_DISTRI].&[05D05],05D05,9188
[DIVADM].[COD_DISTRI].&[05D06],05D06,64134
[DIVADM].[COD_DISTRI].&[06D01],06D01,511869
[DIVADM].[COD_DISTRI].&[06D02],06D02,31980
[DIVADM].[COD_DISTRI].&[06D03],06D03,25424
[DIVADM].[COD_DISTRI].&[06D04],06D04,31483
[DIVADM].[COD_DISTRI].&[06D05],06D05,45907
[DIVADM].[COD_DISTRI].&[07D01],07D01,192884
[DIVADM].[COD_DISTRI].&[07D02],07D02,512353
[DIVADM].[COD_DISTRI].&[07D03],07D03,43837
[DIVADM].[COD_DISTRI].&[07D04],07D04,41681
[DIVADM].[COD_DISTRI].&[07D05],07D05,119718
[DIVADM].[COD_DISTRI].&[07D06],07D06,116623
[DIVADM].[COD_DISTRI].&[08D01],08D01,320049
[DIVADM].[COD_DISTRI].&[08D02],08D02,21796
[DIVADM].[COD_DISTRI].&[08D03],08D03,93129
[DIVADM].[COD_DISTRI].&[08D04],08D04,88536
[DIVADM].[COD_DISTRI].&[08D05],08D05,37129
[DIVADM].[COD_DISTRI].&[08D06],08D06,17162
[DIVADM].[COD_DISTRI].&[09D01],09D01,391271
[DIVADM].[COD_DISTRI].&[09D02],09D02,343858
[DIVADM].[COD_DISTRI].&[09D03],09D03,692235
[DIVADM].[COD_DISTRI].&[09D04],09D04,620825
[DIVADM].[COD_DISTRI].&[09D05],09D05,612087
[DIVADM].[COD_DISTRI].&[09D06],09D06,427033
[DIVADM].[COD_DISTRI].&[09D07],09D07,424340
[DIVADM].[COD_DISTRI].&[09D08],09D08,312857
[DIVADM].[COD_DISTRI].&[09D09],09D09,98019
[DIVADM].[COD_DISTRI].&[09D10],09D10,86759
[DIVADM].[COD_DISTRI].&[09D11],09D11,44924
[DIVADM].[COD_DISTRI].&[09D12],09D12,114671
[DIVADM].[COD_DISTRI].&[09D13],09D13,81473
[DIVADM].[COD_DISTRI].&[09D14],09D14,77779
[DIVADM].[COD_DISTRI].&[09D15],09D15,70850
[DIVADM].[COD_DISTRI].&[09D16],09D16,67656
[DIVADM].[COD_DISTRI].&[09D17],09D17,237034
[DIVADM].[COD_DISTRI].&[09D18],09D18,58018
[DIVADM].[COD_DISTRI].&[09D19],09D19,238260
[DIVADM].[COD_DISTRI].&[09D20],09D20,25555
[DIVADM].[COD_DISTRI].&[09D21],09D21,77823
[DIVADM].[COD_DISTRI].&[09D22],09D22,70833
[DIVADM].[COD_DISTRI].&[09D23],09D23,116813
[DIVADM].[COD_DISTRI].&[09D24],09D24,377248
[DIVADM].[COD_DISTRI].&[10D01],10D01,576046
[DIVADM].[COD_DISTRI].&[10D02],10D02,198135
[DIVADM].[COD_DISTRI].&[10D03],10D03,33122
