[DIVADM].[COD_SUBCIR].[COD_SUBCIR].[MEMBER_UNIQUE_NAME],[DIVADM].[COD_SUBCIR].[COD_SUBCIR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[COD_SUBCIR].&[000C01S01],000C01S01,2751
[DIVADM].[COD_SUBCIR].&[000C02S01],000C02S01,2533
[DIVADM].[COD_SUBCIR].&[000C03S01],000C03S01,1725
[DIVADM].[COD_SUBCIR].&[000C04S01],000C04S01,644
[DIVADM].[COD_SUBCIR].&[01D01C01S01],01D01C01S01,23138
[DIVADM].[COD_SUBCIR].&[01D01C02S01],01D01C02S01,35340
[DIVADM].[COD_SUBCIR].&[01D01C03S01],01D01C03S01,18249
[DIVADM].[COD_SUBCIR].&[01D01C04S01],01D01C04S01,23946
[DIVADM].[COD_SUBCIR].&[01D01C05S01],01D01C05S01,15082
[DIVADM].[COD_SUBCIR].&[01D01C05S02],01D01C05S02,16928
[DIVADM].[COD_SUBCIR].&[01D01C06S01],01D01C06S01,60972
[DIVADM].[COD_SUBCIR].&[01D01C07S01],01D01C07S01,61572
[DIVADM].[COD_SUBCIR].&[01D01C08S01],01D01C08S01,34037
[DIVADM].[COD_SUBCIR].&[01D01C08S02],01D01C08S02,5934
[DIVADM].[COD_SUBCIR].&[01D01C09S01],01D01C09S01,22170
[DIVADM].[COD_SUBCIR].&[01D01C10S01],01D01C10S01,20497
[DIVADM].[COD_SUBCIR].&[01D01C11S01],01D01C11S01,36621
[DIVADM].[COD_SUBCIR].&[01D01C12S01],01D01C12S01,20464
[DIVADM].[COD_SUBCIR].&[01D01C13S01],01D01C13S01,36332
[DIVADM].[COD_SUBCIR].&[01D01C14S01],01D01C14S01,13315
[DIVADM].[COD_SUBCIR].&[01D01C15S01],01D01C15S01,10893
[DIVADM].[COD_SUBCIR].&[01D01C16S01],01D01C16S01,15845
[DIVADM].[COD_SUBCIR].&[01D01C17S01],01D01C17S01,5992
[DIVADM].[COD_SUBCIR].&[01D01C17S02],01D01C17S02,29427
[DIVADM].[COD_SUBCIR].&[01D01C18S01],01D01C18S01,7269
[DIVADM].[COD_SUBCIR].&[01D01C19S01],01D01C19S01,3796
[DIVADM].[COD_SUBCIR].&[01D01C20S01],01D01C20S01,15417
[DIVADM].[COD_SUBCIR].&[01D02C01S01],01D02C01S01,48587
[DIVADM].[COD_SUBCIR].&[01D02C02S01],01D02C02S01,18328
[DIVADM].[COD_SUBCIR].&[01D02C03S01],01D02C03S01,40797
[DIVADM].[COD_SUBCIR].&[01D02C04S01],01D02C04S01,84635
[DIVADM].[COD_SUBCIR].&[01D02C05S01],01D02C05S01,43091
[DIVADM].[COD_SUBCIR].&[01D02C06S01],01D02C06S01,66156
[DIVADM].[COD_SUBCIR].&[01D02C07S01],01D02C07S01,68813
[DIVADM].[COD_SUBCIR].&[01D02C08S01],01D02C08S01,22416
[DIVADM].[COD_SUBCIR].&[01D02C09S01],01D02C09S01,18391
[DIVADM].[COD_SUBCIR].&[01D02C09S02],01D02C09S02,13412
[DIVADM].[COD_SUBCIR].&[01D02C09S03],01D02C09S03,27018
[DIVADM].[COD_SUBCIR].&[01D02C10S01],01D02C10S01,6146
[DIVADM].[COD_SUBCIR].&[01D02C11S01],01D02C11S01,239
[DIVADM].[COD_SUBCIR].&[01D02C12S01],01D02C12S01,19993
[DIVADM].[COD_SUBCIR].&[01D02C13S01],01D02C13S01,8838
[DIVADM].[COD_SUBCIR].&[01D02C14S01],01D02C14S01,17766
[DIVADM].[COD_SUBCIR].&[01D02C15S01],01D02C15S01,10580
[DIVADM].[COD_SUBCIR].&[01D02C16S01],01D02C16S01,3958
[DIVADM].[COD_SUBCIR].&[01D02C17S01],01D02C17S01,4210
[DIVADM].[COD_SUBCIR].&[01D02C18S01],01D02C18S01,18069
[DIVADM].[COD_SUBCIR].&[01D02C19S01],01D02C19S01,6931
[DIVADM].[COD_SUBCIR].&[01D03C01S01],01D03C01S01,11364
[DIVADM].[COD_SUBCIR].&[01D03C01S02],01D03C01S02,2259
[DIVADM].[COD_SUBCIR].&[01D03C02S01],01D03C02S01,393
[DIVADM].[COD_SUBCIR].&[01D03C03S01],01D03C03S01,2791
[DIVADM].[COD_SUBCIR].&[01D03C04S01],01D03C04S01,1535
[DIVADM].[COD_SUBCIR].&[01D03C05S01],01D03C05S01,1417
[DIVADM].[COD_SUBCIR].&[01D03C06S01],01D03C06S01,20025
[DIVADM].[COD_SUBCIR].&[01D04C01S01],01D04C01S01,2818
[DIVADM].[COD_SUBCIR].&[01D04C02S01],01D04C02S01,1411
[DIVADM].[COD_SUBCIR].&[01D04C03S01],01D04C03S01,897
[DIVADM].[COD_SUBCIR].&[01D04C04S01],01D04C04S01,25908
[DIVADM].[COD_SUBCIR].&[01D04C04S02],01D04C04S02,8038
[DIVADM].[COD_SUBCIR].&[01D04C05S01],01D04C05S01,1255
[DIVADM].[COD_SUBCIR].&[01D04C06S01],01D04C06S01,4892
[DIVADM].[COD_SUBCIR].&[01D04C07S01],01D04C07S01,6336
[DIVADM].[COD_SUBCIR].&[01D04C07S02],01D04C07S02,1346
[DIVADM].[COD_SUBCIR].&[01D05C01S01],01D05C01S01,7977
[DIVADM].[COD_SUBCIR].&[01D05C02S01],01D05C02S01,1411
[DIVADM].[COD_SUBCIR].&[01D05C03S01],01D05C03S01,3269
[DIVADM].[COD_SUBCIR].&[01D06C01S01],01D06C01S01,2083
[DIVADM].[COD_SUBCIR].&[01D06C02S01],01D06C02S01,15953
[DIVADM].[COD_SUBCIR].&[01D06C02S02],01D06C02S02,7919
[DIVADM].[COD_SUBCIR].&[01D06C03S01],01D06C03S01,1520
[DIVADM].[COD_SUBCIR].&[01D06C04S01],01D06C04S01,882
[DIVADM].[COD_SUBCIR].&[01D06C05S01],01D06C05S01,752
