[DIVADM].[DPA_DESCAN].[DPA_DESCAN].[MEMBER_UNIQUE_NAME],[DIVADM].[DPA_DESCAN].[DPA_DESCAN].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[DPA_DESCAN].&[24 DE MAYO],24 DE MAYO,6477
[DIVADM].[DPA_DESCAN].&[AGUARICO],AGUARICO,835
[DIVADM].[DPA_DESCAN].&[ALAUSI],ALAUSI,21615
[DIVADM].[DPA_DESCAN].&[ALFREDO BAQUERIZO MORENO],ALFREDO BAQUERIZO MORENO,27031
[DIVADM].[DPA_DESCAN].&[AMBATO],AMBATO,773731
[DIVADM].[DPA_DESCAN].&[ANTONIO ANTE],ANTONIO ANTE,64257
[DIVADM].[DPA_DESCAN].&[ARAJUNO],ARAJUNO,5045
[DIVADM].[DPA_DESCAN].&[ARCHIDONA],ARCHIDONA,21052
[DIVADM].[DPA_DESCAN].&[ARENILLAS],ARENILLAS,36107
[DIVADM].[DPA_DESCAN].&[ATACAMES],ATACAMES,70753
[DIVADM].[DPA_DESCAN].&[ATAHUALPA],ATAHUALPA,4996
[DIVADM].[DPA_DESCAN].&[AZOGUES],AZOGUES,101925
[DIVADM].[DPA_DESCAN].&[BABA],BABA,24530
[DIVADM].[DPA_DESCAN].&[BABAHOYO],BABAHOYO,293553
[DIVADM].[DPA_DESCAN].&[BALAO],BALAO,18079
[DIVADM].[DPA_DESCAN].&[BALSAS],BALSAS,8955
[DIVADM].[DPA_DESCAN].&[BALZAR],BALZAR,58942
[DIVADM].[DPA_DESCAN].&[BAÑOS DE AGUA SANTA],BAÑOS DE AGUA SANTA,50090
[DIVADM].[DPA_DESCAN].&[BIBLIAN],BIBLIAN,17957
[DIVADM].[DPA_DESCAN].&[BOLIVAR],BOLIVAR,36746
[DIVADM].[DPA_DESCAN].&[BUENA FE],BUENA FE,97476
[DIVADM].[DPA_DESCAN].&[CALUMA],CALUMA,25736
[DIVADM].[DPA_DESCAN].&[CALVAS],CALVAS,22614
[DIVADM].[DPA_DESCAN].&[CAMILO PONCE ENRIQUEZ],CAMILO PONCE ENRIQUEZ,22526
[DIVADM].[DPA_DESCAN].&[CAÑAR],CAÑAR,30807
[DIVADM].[DPA_DESCAN].&[CARLOS JULIO AROSEMENA TOLA],CARLOS JULIO AROSEMENA TOLA,2416
[DIVADM].[DPA_DESCAN].&[CASCALES],CASCALES,13219
[DIVADM].[DPA_DESCAN].&[CATAMAYO],CATAMAYO,53233
[DIVADM].[DPA_DESCAN].&[CAYAMBE],CAYAMBE,87497
[DIVADM].[DPA_DESCAN].&[CELICA],CELICA,12389
[DIVADM].[DPA_DESCAN].&[CENTINELA DEL CONDOR],CENTINELA DEL CONDOR,7252
[DIVADM].[DPA_DESCAN].&[CEVALLOS],CEVALLOS,12040
[DIVADM].[DPA_DESCAN].&[CHAGUARPAMBA],CHAGUARPAMBA,3900
[DIVADM].[DPA_DESCAN].&[CHAMBO],CHAMBO,9743
[DIVADM].[DPA_DESCAN].&[CHILLA],CHILLA,1515
[DIVADM].[DPA_DESCAN].&[CHILLANES],CHILLANES,14302
[DIVADM].[DPA_DESCAN].&[CHIMBO],CHIMBO,15166
[DIVADM].[DPA_DESCAN].&[CHINCHIPE],CHINCHIPE,8136
[DIVADM].[DPA_DESCAN].&[CHONE],CHONE,81584
[DIVADM].[DPA_DESCAN].&[CHORDELEG],CHORDELEG,7682
[DIVADM].[DPA_DESCAN].&[CHUNCHI],CHUNCHI,10365
[DIVADM].[DPA_DESCAN].&[COLIMES],COLIMES,10794
[DIVADM].[DPA_DESCAN].&[COLTA],COLTA,15001
[DIVADM].[DPA_DESCAN].&[COTACACHI],COTACACHI,33122
[DIVADM].[DPA_DESCAN].&[CRNEL. MARCELINO MARIDUEÐA],CRNEL. MARCELINO MARIDUEÐA,11269
[DIVADM].[DPA_DESCAN].&[CUENCA],CUENCA,1081610
[DIVADM].[DPA_DESCAN].&[CUMANDA],CUMANDA,14362
[DIVADM].[DPA_DESCAN].&[CUYABENO],CUYABENO,7642
[DIVADM].[DPA_DESCAN].&[DAULE],DAULE,187172
[DIVADM].[DPA_DESCAN].&[DELEG],DELEG,6777
[DIVADM].[DPA_DESCAN].&[DURAN],DURAN,377248
[DIVADM].[DPA_DESCAN].&[ECHEANDIA],ECHEANDIA,25600
[DIVADM].[DPA_DESCAN].&[EL CARMEN],EL CARMEN,56718
[DIVADM].[DPA_DESCAN].&[EL CHACO],EL CHACO,7959
[DIVADM].[DPA_DESCAN].&[EL GUABO],EL GUABO,68179
[DIVADM].[DPA_DESCAN].&[EL PAN],EL PAN,1520
[DIVADM].[DPA_DESCAN].&[EL PANGUI],EL PANGUI,15781
[DIVADM].[DPA_DESCAN].&[EL PIEDRERO],EL PIEDRERO,2751
[DIVADM].[DPA_DESCAN].&[EL TAMBO],EL TAMBO,7397
[DIVADM].[DPA_DESCAN].&[EL TRIUNFO],EL TRIUNFO,54989
[DIVADM].[DPA_DESCAN].&[ELOY ALFARO],ELOY ALFARO,21796
[DIVADM].[DPA_DESCAN].&[EMPALME],EMPALME,70850
[DIVADM].[DPA_DESCAN].&[ESMERALDAS],ESMERALDAS,320049
[DIVADM].[DPA_DESCAN].&[ESPEJO],ESPEJO,14055
[DIVADM].[DPA_DESCAN].&[ESPINDOLA],ESPINDOLA,7841
[DIVADM].[DPA_DESCAN].&[FLAVIO ALFARO],FLAVIO ALFARO,9321
[DIVADM].[DPA_DESCAN].&[GIRON],GIRON,13623
[DIVADM].[DPA_DESCAN].&[GNRAL. ANTONIO ELIZALDE],GNRAL. ANTONIO ELIZALDE,12667
[DIVADM].[DPA_DESCAN].&[GONZALO PIZARRO],GONZALO PIZARRO,15083
[DIVADM].[DPA_DESCAN].&[GONZANAMA],GONZANAMA,7727
[DIVADM].[DPA_DESCAN].&[GUACHAPALA],GUACHAPALA,1903
[DIVADM].[DPA_DESCAN].&[GUALACEO],GUALACEO,45219
[DIVADM].[DPA_DESCAN].&[GUALAQUIZA],GUALAQUIZA,24720
[DIVADM].[DPA_DESCAN].&[GUAMOTE],GUAMOTE,16482
[DIVADM].[DPA_DESCAN].&[GUANO],GUANO,39765
[DIVADM].[DPA_DESCAN].&[GUARANDA],GUARANDA,132543
[DIVADM].[DPA_DESCAN].&[GUAYAQUIL],GUAYAQUIL,4009284
[DIVADM].[DPA_DESCAN].&[HUAMBOYA],HUAMBOYA,15850
[DIVADM].[DPA_DESCAN].&[HUAQUILLAS],HUAQUILLAS,81439
[DIVADM].[DPA_DESCAN].&[IBARRA],IBARRA,541948
[DIVADM].[DPA_DESCAN].&[ISABELA],ISABELA,7611
[DIVADM].[DPA_DESCAN].&[ISIDRO AYORA],ISIDRO AYORA,10928
[DIVADM].[DPA_DESCAN].&[JAMA],JAMA,6591
[DIVADM].[DPA_DESCAN].&[JARAMIJO],JARAMIJO,21233
[DIVADM].[DPA_DESCAN].&[JIPIJAPA],JIPIJAPA,46429
[DIVADM].[DPA_DESCAN].&[JUNIN],JUNIN,8498
[DIVADM].[DPA_DESCAN].&[LA CONCORDIA],LA CONCORDIA,74810
[DIVADM].[DPA_DESCAN].&[LA JOYA DE LOS SACHAS],LA JOYA DE LOS SACHAS,37394
[DIVADM].[DPA_DESCAN].&[LA LIBERTAD],LA LIBERTAD,118086
[DIVADM].[DPA_DESCAN].&[LA MANA],LA MANA,53881
[DIVADM].[DPA_DESCAN].&[LA TRONCAL],LA TRONCAL,77734
[DIVADM].[DPA_DESCAN].&[LAGO AGRIO],LAGO AGRIO,215684
[DIVADM].[DPA_DESCAN].&[LAS GOLONDRINAS],LAS GOLONDRINAS,2533
[DIVADM].[DPA_DESCAN].&[LAS LAJAS],LAS LAJAS,2172
[DIVADM].[DPA_DESCAN].&[LAS NAVES],LAS NAVES,12413
[DIVADM].[DPA_DESCAN].&[LATACUNGA],LATACUNGA,281896
[DIVADM].[DPA_DESCAN].&[LIMON INDANZA],LIMON INDANZA,10432
[DIVADM].[DPA_DESCAN].&[LOGROÑO],LOGROÑO,6034
[DIVADM].[DPA_DESCAN].&[LOJA],LOJA,451906
[DIVADM].[DPA_DESCAN].&[LOMAS DE SARGENTILLO],LOMAS DE SARGENTILLO,18275
[DIVADM].[DPA_DESCAN].&[LORETO],LORETO,16612
[DIVADM].[DPA_DESCAN].&[MACARA],MACARA,19038
[DIVADM].[DPA_DESCAN].&[MACHALA],MACHALA,512353
[DIVADM].[DPA_DESCAN].&[MANGA DEL CURA],MANGA DEL CURA,2369
[DIVADM].[DPA_DESCAN].&[MANTA],MANTA,299937
[DIVADM].[DPA_DESCAN].&[MARCABELI],MARCABELI,6562
[DIVADM].[DPA_DESCAN].&[MEJIA],MEJIA,203385
[DIVADM].[DPA_DESCAN].&[MERA],MERA,22599
[DIVADM].[DPA_DESCAN].&[MILAGRO],MILAGRO,237034
[DIVADM].[DPA_DESCAN].&[MIRA],MIRA,10644
[DIVADM].[DPA_DESCAN].&[MOCACHE],MOCACHE,30454
[DIVADM].[DPA_DESCAN].&[MOCHA],MOCHA,8137
[DIVADM].[DPA_DESCAN].&[MONTALVO],MONTALVO,36233
[DIVADM].[DPA_DESCAN].&[MONTECRISTI],MONTECRISTI,60641
[DIVADM].[DPA_DESCAN].&[MONTUFAR],MONTUFAR,35790
[DIVADM].[DPA_DESCAN].&[MORONA],MORONA,144191
[DIVADM].[DPA_DESCAN].&[MUISNE],MUISNE,22376
[DIVADM].[DPA_DESCAN].&[NABON],NABON,9388
[DIVADM].[DPA_DESCAN].&[NANGARITZA],NANGARITZA,4426
[DIVADM].[DPA_DESCAN].&[NARANJAL],NARANJAL,96592
[DIVADM].[DPA_DESCAN].&[NARANJITO],NARANJITO,46749
