[DIVADM].[DPA_DESPRO].[DPA_DESPRO].[MEMBER_UNIQUE_NAME],[DIVADM].[DPA_DESPRO].[DPA_DESPRO].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[DPA_DESPRO].&[AZUAY],AZUAY,1256690
[DIVADM].[DPA_DESPRO].&[BOLIVAR],BOLIVAR,256677
[DIVADM].[DPA_DESPRO].&[CAÑAR],CAÑAR,248560
[DIVADM].[DPA_DESPRO].&[CARCHI],CARCHI,276264
[DIVADM].[DPA_DESPRO].&[CHIMBORAZO],CHIMBORAZO,646663
[DIVADM].[DPA_DESPRO].&[COTOPAXI],COTOPAXI,488472
[DIVADM].[DPA_DESPRO].&[EL ORO],EL ORO,1027096
[DIVADM].[DPA_DESPRO].&[ESMERALDAS],ESMERALDAS,577801
[DIVADM].[DPA_DESPRO].&[GALAPAGOS],GALAPAGOS,72683
[DIVADM].[DPA_DESPRO].&[GUAYAS],GUAYAS,5668221
[DIVADM].[DPA_DESPRO].&[IMBABURA],IMBABURA,807303
[DIVADM].[DPA_DESPRO].&[LOJA],LOJA,640461
[DIVADM].[DPA_DESPRO].&[LOS RIOS],LOS RIOS,1087238
[DIVADM].[DPA_DESPRO].&[MANABI],MANABI,1174500
[DIVADM].[DPA_DESPRO].&[MORONA SANTIAGO],MORONA SANTIAGO,282424
[DIVADM].[DPA_DESPRO].&[NAPO],NAPO,126681
[DIVADM].[DPA_DESPRO].&[ORELLANA],ORELLANA,228462
[DIVADM].[DPA_DESPRO].&[PASTAZA],PASTAZA,178424
[DIVADM].[DPA_DESPRO].&[PICHINCHA],PICHINCHA,5639488
[DIVADM].[DPA_DESPRO].&[SANTA ELENA],SANTA ELENA,353739
[DIVADM].[DPA_DESPRO].&[SANTO DOMINGO],SANTO DOMINGO,808745
[DIVADM].[DPA_DESPRO].&[SUCUMBIOS],SUCUMBIOS,321692
[DIVADM].[DPA_DESPRO].&[TUNGURAHUA],TUNGURAHUA,976765
[DIVADM].[DPA_DESPRO].&[ZAMORA CHINCHIPE],ZAMORA CHINCHIPE,111473
[DIVADM].[DPA_DESPRO].&,,4347
