[DIVADM].[DPA_DESP].[DPA_DESP].[MEMBER_UNIQUE_NAME],[DIVADM].[DPA_DESP].[DPA_DESP].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[DPA_DESP].&[10 DE AGOSTO],10 DE AGOSTO,4897
"[DIVADM].[DPA_DESP].&[11 DE NOVIEMBRE (ILINCHISI), POALO]","11 DE NOVIEMBRE (ILINCHISI), POALO",7010
"[DIVADM].[DPA_DESP].&[12 DE DICIEMBRE (CAB EN ACHIOTES), CHAQUINAL]","12 DE DICIEMBRE (CAB EN ACHIOTES), CHAQUINAL",809
"[DIVADM].[DPA_DESP].&[16 DE AGOSTO, CUMANDA (CAB EN COLONIA AGRICOLA SE*]","16 DE AGOSTO, CUMANDA (CAB EN COLONIA AGRICOLA SE*",12751
"[DIVADM].[DPA_DESP].&[27 DE ABRIL (CAB EN LA NARANJA), EL AIRO, EL INGE*]","27 DE ABRIL (CAB EN LA NARANJA), EL AIRO, EL INGE*",1597
[DIVADM].[DPA_DESP].&[28 DE MAYO (SAN JOSE DE YACUAMBI)],28 DE MAYO (SAN JOSE DE YACUAMBI),2569
"[DIVADM].[DPA_DESP].&[5 DE JUNIO (CAB EN UIMBI), ALTO TAMBO (CAB EN GUA*]","5 DE JUNIO (CAB EN UIMBI), ALTO TAMBO (CAB EN GUA*",2264
"[DIVADM].[DPA_DESP].&[6 DE JULIO DE CUELLAJE (CAB EN CUELLAJE), APUELA,*]","6 DE JULIO DE CUELLAJE (CAB EN CUELLAJE), APUELA,*",1451
"[DIVADM].[DPA_DESP].&[ABANIN, GUANAZAN]","ABANIN, GUANAZAN",476
"[DIVADM].[DPA_DESP].&[ABDON CALDERON (LA UNION), SANTA ISABEL (CHAGUARU*]","ABDON CALDERON (LA UNION), SANTA ISABEL (CHAGUARU*",20025
[DIVADM].[DPA_DESP].&[ABDON CALDERON (SAN FRANCISCO)],ABDON CALDERON (SAN FRANCISCO),7608
[DIVADM].[DPA_DESP].&[ACHUPALLAS],ACHUPALLAS,1730
"[DIVADM].[DPA_DESP].&[AGUAS NEGRAS, TARAPOA]","AGUAS NEGRAS, TARAPOA",7246
[DIVADM].[DPA_DESP].&[AHUANO],AHUANO,2118
[DIVADM].[DPA_DESP].&[ALAMOR],ALAMOR,9489
[DIVADM].[DPA_DESP].&[ALANGASI],ALANGASI,43888
"[DIVADM].[DPA_DESP].&[ALAQUES (ALAQUEZ), JOSE GUANGO BAJO]","ALAQUES (ALAQUEZ), JOSE GUANGO BAJO",6237
[DIVADM].[DPA_DESP].&[ALAUSI],ALAUSI,12142
"[DIVADM].[DPA_DESP].&[ALEJANDRO LABAKA, EL EDEN]","ALEJANDRO LABAKA, EL EDEN",173
[DIVADM].[DPA_DESP].&[ALFREDO BAQUERIZO MORENO (JUJAN)],ALFREDO BAQUERIZO MORENO (JUJAN),27031
"[DIVADM].[DPA_DESP].&[ALHAJUELA (BAJO GRANDE), CHIRIJOS]","ALHAJUELA (BAJO GRANDE), CHIRIJOS",2531
[DIVADM].[DPA_DESP].&[ALLURIQUIN],ALLURIQUIN,12754
[DIVADM].[DPA_DESP].&[ALOAG],ALOAG,28499
"[DIVADM].[DPA_DESP].&[ALOASI, EL CHAUPI]","ALOASI, EL CHAUPI",23915
"[DIVADM].[DPA_DESP].&[ALSHI(CAB EN 9 DE OCTUBRE), ZUNA (ZUNAC)]","ALSHI(CAB EN 9 DE OCTUBRE), ZUNA (ZUNAC)",491
[DIVADM].[DPA_DESP].&[AMAGUANA],AMAGUANA,45644
"[DIVADM].[DPA_DESP].&[AMALUZA, PALAMAS]","AMALUZA, PALAMAS",882
"[DIVADM].[DPA_DESP].&[AMALUZA, SANTA TERESITA]","AMALUZA, SANTA TERESITA",4838
"[DIVADM].[DPA_DESP].&[AMARILLOS, BUENAVISTA, SANTA RUFINA]","AMARILLOS, BUENAVISTA, SANTA RUFINA",956
"[DIVADM].[DPA_DESP].&[AMAZONAS (ROSARIO DE CUYES), EL IDEAL, NUEVA TARQ*]","AMAZONAS (ROSARIO DE CUYES), EL IDEAL, NUEVA TARQ*",1405
"[DIVADM].[DPA_DESP].&[AMBATILLO, SAN BARTOLOME DE PINLLOG]","AMBATILLO, SAN BARTOLOME DE PINLLOG",14326
[DIVADM].[DPA_DESP].&[AMBATO],AMBATO,598475
