[DIVADM].[DPA_PARROQ].[DPA_PARROQ].[MEMBER_UNIQUE_NAME],[DIVADM].[DPA_PARROQ].[DPA_PARROQ].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[DPA_PARROQ].&[010150],010150,882926
[DIVADM].[DPA_PARROQ].&[010151],010151,19993
[DIVADM].[DPA_PARROQ].&[010152-010171],010152-010171,10580
[DIVADM].[DPA_PARROQ].&[010153],010153,239
[DIVADM].[DPA_PARROQ].&[010154-010155],010154-010155,7269
[DIVADM].[DPA_PARROQ].&[010157],010157,6146
[DIVADM].[DPA_PARROQ].&[010159-010166],010159-010166,3796
[DIVADM].[DPA_PARROQ].&[010160-010158],010160-010158,15845
[DIVADM].[DPA_PARROQ].&[010161],010161,3958
[DIVADM].[DPA_PARROQ].&[010162-010156],010162-010156,35419
[DIVADM].[DPA_PARROQ].&[010163],010163,10893
[DIVADM].[DPA_PARROQ].&[010164],010164,4210
[DIVADM].[DPA_PARROQ].&[010165],010165,13315
[DIVADM].[DPA_PARROQ].&[010167],010167,15417
[DIVADM].[DPA_PARROQ].&[010168],010168,8838
[DIVADM].[DPA_PARROQ].&[010169],010169,17766
[DIVADM].[DPA_PARROQ].&[010170],010170,25000
[DIVADM].[DPA_PARROQ].&[010250-010252-010251],010250-010252-010251,13623
[DIVADM].[DPA_PARROQ].&[010350],010350,35201
[DIVADM].[DPA_PARROQ].&[010352-010356-010359-010354],010352-010356-010359-010354,4892
[DIVADM].[DPA_PARROQ].&[010353],010353,1411
[DIVADM].[DPA_PARROQ].&[010357-010360],010357-010360,2818
[DIVADM].[DPA_PARROQ].&[010358],010358,897
[DIVADM].[DPA_PARROQ].&[010450-010451],010450-010451,7977
[DIVADM].[DPA_PARROQ].&[010452-010453],010452-010453,1411
[DIVADM].[DPA_PARROQ].&[010556-010561-010562-010552],010556-010561-010562-010552,2083
[DIVADM].[DPA_PARROQ].&[010559-010553-010554-010550],010559-010553-010554-010550,23872
[DIVADM].[DPA_PARROQ].&[010650],010650,4326
[DIVADM].[DPA_PARROQ].&[010652],010652,393
[DIVADM].[DPA_PARROQ].&[010750-010751],010750-010751,1417
[DIVADM].[DPA_PARROQ].&[010851-010850-010853],010851-010850-010853,20025
[DIVADM].[DPA_PARROQ].&[010952],010952,1057
[DIVADM].[DPA_PARROQ].&[010954-010956],010954-010956,1878
[DIVADM].[DPA_PARROQ].&[010955-010953-010950-010951],010955-010953-010950-010951,13265
[DIVADM].[DPA_PARROQ].&[011051-011050],011051-011050,3269
[DIVADM].[DPA_PARROQ].&[011154-011153-011151-011150-011152],011154-011153-011151-011150-011152,7682
[DIVADM].[DPA_PARROQ].&[011250-011253],011250-011253,1520
[DIVADM].[DPA_PARROQ].&[011350],011350,752
[DIVADM].[DPA_PARROQ].&[011351-011352],011351-011352,882
[DIVADM].[DPA_PARROQ].&[011450],011450,1903
[DIVADM].[DPA_PARROQ].&[011550],011550,22066
