[DIVADM].[NAM_CIRCUI].[NAM_CIRCUI].[MEMBER_UNIQUE_NAME],[DIVADM].[NAM_CIRCUI].[NAM_CIRCUI].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[NAM_CIRCUI].&[1 DE MAYO],1 DE MAYO,25691
[DIVADM].[NAM_CIRCUI].&[10 DE AGOSTO],10 DE AGOSTO,7656
[DIVADM].[NAM_CIRCUI].&[12 DE DICIEMBRE],12 DE DICIEMBRE,809
[DIVADM].[NAM_CIRCUI].&[15 DE MAYO],15 DE MAYO,32711
[DIVADM].[NAM_CIRCUI].&[19 DE NOVIEMBRE],19 DE NOVIEMBRE,15397
[DIVADM].[NAM_CIRCUI].&[24 DE MAYO],24 DE MAYO,17883
[DIVADM].[NAM_CIRCUI].&[27 DE FEBRERO],27 DE FEBRERO,21195
[DIVADM].[NAM_CIRCUI].&[3 DE JULIO],3 DE JULIO,69771
[DIVADM].[NAM_CIRCUI].&[3 DE MAYO],3 DE MAYO,10631
[DIVADM].[NAM_CIRCUI].&[5 DE JUNIO],5 DE JUNIO,33473
[DIVADM].[NAM_CIRCUI].&[7 DE JULIO],7 DE JULIO,7117
[DIVADM].[NAM_CIRCUI].&[7 DE OCTUBRE],7 DE OCTUBRE,93801
[DIVADM].[NAM_CIRCUI].&[7 LAGOS],7 LAGOS,66340
[DIVADM].[NAM_CIRCUI].&[9 DE MAYO],9 DE MAYO,24499
[DIVADM].[NAM_CIRCUI].&[9 DE OCTUBRE],9 DE OCTUBRE,93856
[DIVADM].[NAM_CIRCUI].&[ABDON CALDERON],ABDON CALDERON,7608
[DIVADM].[NAM_CIRCUI].&[ABEL GILBERT],ABEL GILBERT,29158
[DIVADM].[NAM_CIRCUI].&[ABRAS DE MANTEQUILLA],ABRAS DE MANTEQUILLA,658
[DIVADM].[NAM_CIRCUI].&[ACHIOTE],ACHIOTE,576
[DIVADM].[NAM_CIRCUI].&[ACHUPALLAS],ACHUPALLAS,1730
[DIVADM].[NAM_CIRCUI].&[AEROPUERTO],AEROPUERTO,128366
[DIVADM].[NAM_CIRCUI].&[AGUARICO],AGUARICO,297
[DIVADM].[NAM_CIRCUI].&[AGUAS FRIAS],AGUAS FRIAS,5284
[DIVADM].[NAM_CIRCUI].&[AHUANO],AHUANO,2118
[DIVADM].[NAM_CIRCUI].&[AIRE LIBRE],AIRE LIBRE,11796
[DIVADM].[NAM_CIRCUI].&[ALAJUELA],ALAJUELA,2531
[DIVADM].[NAM_CIRCUI].&[ALAMOR],ALAMOR,9489
[DIVADM].[NAM_CIRCUI].&[ALANGASI],ALANGASI,43888
[DIVADM].[NAM_CIRCUI].&[ALAUSI],ALAUSI,12142
[DIVADM].[NAM_CIRCUI].&[ALBORADA],ALBORADA,108763
