[DIVADM].[NAM_DISTRI].[NAM_DISTRI].[MEMBER_UNIQUE_NAME],[DIVADM].[NAM_DISTRI].[NAM_DISTRI].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[NAM_DISTRI].&[24 DE MAYO],24 DE MAYO,24112
[DIVADM].[NAM_DISTRI].&[9 DE OCTUBRE],9 DE OCTUBRE,692235
[DIVADM].[NAM_DISTRI].&[AGUARICO],AGUARICO,835
[DIVADM].[NAM_DISTRI].&[ALAUSI],ALAUSI,31980
[DIVADM].[NAM_DISTRI].&[AMBATO NORTE],AMBATO NORTE,350500
[DIVADM].[NAM_DISTRI].&[AMBATO SUR],AMBATO SUR,423231
[DIVADM].[NAM_DISTRI].&[ARAJUNO],ARAJUNO,5045
[DIVADM].[NAM_DISTRI].&[ATACAMES],ATACAMES,93129
[DIVADM].[NAM_DISTRI].&[AZOGUES],AZOGUES,126659
[DIVADM].[NAM_DISTRI].&[BABAHOYO],BABAHOYO,354316
[DIVADM].[NAM_DISTRI].&[BALZAR],BALZAR,81473
[DIVADM].[NAM_DISTRI].&[BAÑOS],BAÑOS,50090
[DIVADM].[NAM_DISTRI].&[BOLIVAR JUNIN],BOLIVAR JUNIN,32381
[DIVADM].[NAM_DISTRI].&[BUENA FE],BUENA FE,136419
[DIVADM].[NAM_DISTRI].&[CALDERON],CALDERON,384134
[DIVADM].[NAM_DISTRI].&[CALVAS],CALVAS,35102
[DIVADM].[NAM_DISTRI].&[CAÑAR],CAÑAR,41416
[DIVADM].[NAM_DISTRI].&[CATACOCHA],CATACOCHA,12580
[DIVADM].[NAM_DISTRI].&[CATAMAYO],CATAMAYO,59445
[DIVADM].[NAM_DISTRI].&[CAYAMBE],CAYAMBE,123352
[DIVADM].[NAM_DISTRI].&[CEIBOS],CEIBOS,98019
[DIVADM].[NAM_DISTRI].&[CENTRO SUR],CENTRO SUR,41159
[DIVADM].[NAM_DISTRI].&[CHILLANES],CHILLANES,14302
[DIVADM].[NAM_DISTRI].&[CHONE],CHONE,90905
[DIVADM].[NAM_DISTRI].&[CIUDAD BLANCA],CIUDAD BLANCA,576046
[DIVADM].[NAM_DISTRI].&[COLTA],COLTA,31483
[DIVADM].[NAM_DISTRI].&[CUENCA NORTE],CUENCA NORTE,533236
[DIVADM].[NAM_DISTRI].&[CUENCA SUR],CUENCA SUR,548374
[DIVADM].[NAM_DISTRI].&[DANSANTE],DANSANTE,68935
[DIVADM].[NAM_DISTRI].&[DAULE],DAULE,238260
[DIVADM].[NAM_DISTRI].&[DURAN],DURAN,377248
[DIVADM].[NAM_DISTRI].&[EL CARMEN],EL CARMEN,56718
[DIVADM].[NAM_DISTRI].&[EL EMPALME],EL EMPALME,70850
[DIVADM].[NAM_DISTRI].&[EL PIEDRERO],EL PIEDRERO,2751
[DIVADM].[NAM_DISTRI].&[EL TRIUNFO BUCAY],EL TRIUNFO BUCAY,67656
[DIVADM].[NAM_DISTRI].&[EL VALLE DE QUIJOS],EL VALLE DE QUIJOS,18297
[DIVADM].[NAM_DISTRI].&[ELOY ALFARO],ELOY ALFARO,936133
[DIVADM].[NAM_DISTRI].&[ESMERALDAS],ESMERALDAS,320049
[DIVADM].[NAM_DISTRI].&[ESPEJO],ESPEJO,24699
[DIVADM].[NAM_DISTRI].&[ESPINDOLA],ESPINDOLA,7841
[DIVADM].[NAM_DISTRI].&[ESTEROS],ESTEROS,343858
[DIVADM].[NAM_DISTRI].&[EUGENIO ESPEJO],EUGENIO ESPEJO,1111106
[DIVADM].[NAM_DISTRI].&[FLORIDA],FLORIDA,427033
[DIVADM].[NAM_DISTRI].&[GALAPAGOS],GALAPAGOS,72683
[DIVADM].[NAM_DISTRI].&[GIRON],GIRON,39784
[DIVADM].[NAM_DISTRI].&[GUALACEO],GUALACEO,52901
[DIVADM].[NAM_DISTRI].&[GUANO],GUANO,45907
[DIVADM].[NAM_DISTRI].&[GUARANDA],GUARANDA,132543
[DIVADM].[NAM_DISTRI].&[GUAYZIMI],GUAYZIMI,17182
[DIVADM].[NAM_DISTRI].&[HUAQUILLAS],HUAQUILLAS,119718
[DIVADM].[NAM_DISTRI].&[JIPIJAPA],JIPIJAPA,58157
[DIVADM].[NAM_DISTRI].&[JUJAN SIMON BOLIVAR],JUJAN SIMON BOLIVAR,44924
[DIVADM].[NAM_DISTRI].&[LA CONCORDIA],LA CONCORDIA,74810
[DIVADM].[NAM_DISTRI].&[LA DELICIA],LA DELICIA,655452
[DIVADM].[NAM_DISTRI].&[LA JOYA DE LOS SACHAS],LA JOYA DE LOS SACHAS,37394
[DIVADM].[NAM_DISTRI].&[LA MANA],LA MANA,53881
[DIVADM].[NAM_DISTRI].&[LA TRONCAL],LA TRONCAL,77734
[DIVADM].[NAM_DISTRI].&[LAGO AGRIO],LAGO AGRIO,215684
[DIVADM].[NAM_DISTRI].&[LAS GOLONDRINAS],LAS GOLONDRINAS,2533
[DIVADM].[NAM_DISTRI].&[LATACUNGA],LATACUNGA,281896
[DIVADM].[NAM_DISTRI].&[LIBERTAD SALINAS],LIBERTAD SALINAS,219864
[DIVADM].[NAM_DISTRI].&[LOJA],LOJA,451906
[DIVADM].[NAM_DISTRI].&[LOS CHILLOS],LOS CHILLOS,283114
[DIVADM].[NAM_DISTRI].&[MACARA],MACARA,20842
[DIVADM].[NAM_DISTRI].&[MACHALA],MACHALA,512353
[DIVADM].[NAM_DISTRI].&[MANGA DEL CURA],MANGA DEL CURA,2369
[DIVADM].[NAM_DISTRI].&[MANTA],MANTA,381811
[DIVADM].[NAM_DISTRI].&[MANUELA SAENZ],MANUELA SAENZ,710598
[DIVADM].[NAM_DISTRI].&[MENDEZ],MENDEZ,26513
[DIVADM].[NAM_DISTRI].&[MILAGRO],MILAGRO,237034
[DIVADM].[NAM_DISTRI].&[MODELO],MODELO,612087
[DIVADM].[NAM_DISTRI].&[MONTUFAR],MONTUFAR,48653
[DIVADM].[NAM_DISTRI].&[MORONA],MORONA,144191
[DIVADM].[NAM_DISTRI].&[NABON],NABON,12657
[DIVADM].[NAM_DISTRI].&[NANEGAL],NANEGAL,12880
[DIVADM].[NAM_DISTRI].&[NARANJAL BALAO],NARANJAL BALAO,114671
[DIVADM].[NAM_DISTRI].&[NARANJITO MARCELINO MARIDUEÑA],NARANJITO MARCELINO MARIDUEÑA,58018
[DIVADM].[NAM_DISTRI].&[NOROCCIDENTE],NOROCCIDENTE,36394
[DIVADM].[NAM_DISTRI].&[NUEVA PROSPERINA],NUEVA PROSPERINA,312857
[DIVADM].[NAM_DISTRI].&[ORELLANA LORETO],ORELLANA LORETO,190233
[DIVADM].[NAM_DISTRI].&[PAJAN],PAJAN,13361
[DIVADM].[NAM_DISTRI].&[PALLATANGA],PALLATANGA,25424
[DIVADM].[NAM_DISTRI].&[PANGUA],PANGUA,10438
[DIVADM].[NAM_DISTRI].&[PASAJE],PASAJE,192884
[DIVADM].[NAM_DISTRI].&[PASCUALES],PASCUALES,424340
[DIVADM].[NAM_DISTRI].&[PASTAZA],PASTAZA,173379
[DIVADM].[NAM_DISTRI].&[PATATE],PATATE,69345
[DIVADM].[NAM_DISTRI].&[PAUTE],PAUTE,31012
[DIVADM].[NAM_DISTRI].&[PEDERNALES],PEDERNALES,56285
[DIVADM].[NAM_DISTRI].&[PEDRO CARBO],PEDRO CARBO,77779
[DIVADM].[NAM_DISTRI].&[PICHINCHA],PICHINCHA,7112
[DIVADM].[NAM_DISTRI].&[PILLARO],PILLARO,37655
[DIVADM].[NAM_DISTRI].&[PIÑAS],PIÑAS,41681
[DIVADM].[NAM_DISTRI].&[PLAYAS],PLAYAS,70833
[DIVADM].[NAM_DISTRI].&[PONCE ENRIQUEZ],PONCE ENRIQUEZ,22526
[DIVADM].[NAM_DISTRI].&[PORTETE],PORTETE,620825
[DIVADM].[NAM_DISTRI].&[PORTOVIEJO],PORTOVIEJO,345745
[DIVADM].[NAM_DISTRI].&[PROGRESO],PROGRESO,86759
[DIVADM].[NAM_DISTRI].&[PUEBLOVIEJO],PUEBLOVIEJO,75380
[DIVADM].[NAM_DISTRI].&[PUTUMAYO],PUTUMAYO,20625
[DIVADM].[NAM_DISTRI].&[QUERO],QUERO,45944
[DIVADM].[NAM_DISTRI].&[QUEVEDO],QUEVEDO,335692
[DIVADM].[NAM_DISTRI].&[QUININDE],QUININDE,88536
[DIVADM].[NAM_DISTRI].&[QUITUMBE],QUITUMBE,624046
[DIVADM].[NAM_DISTRI].&[RIO VERDE],RIO VERDE,17162
[DIVADM].[NAM_DISTRI].&[RIOBAMBA],RIOBAMBA,511869
[DIVADM].[NAM_DISTRI].&[ROCAFUERTE],ROCAFUERTE,47093
[DIVADM].[NAM_DISTRI].&[RUMIÑAHUI - MEJIA],RUMIÑAHUI - MEJIA,462108
[DIVADM].[NAM_DISTRI].&[SABANILLA],SABANILLA,29144
[DIVADM].[NAM_DISTRI].&[SALCEDO],SALCEDO,64134
[DIVADM].[NAM_DISTRI].&[SALITRE],SALITRE,25555
[DIVADM].[NAM_DISTRI].&[SAMBORONDON],SAMBORONDON,116813
[DIVADM].[NAM_DISTRI].&[SAN LORENZO],SAN LORENZO,37129
[DIVADM].[NAM_DISTRI].&[SAN MIGUEL],SAN MIGUEL,46083
[DIVADM].[NAM_DISTRI].&[SANGAY],SANGAY,35865
[DIVADM].[NAM_DISTRI].&[SANTA ELENA],SANTA ELENA,133875
[DIVADM].[NAM_DISTRI].&[SANTA ROSA],SANTA ROSA,116623
[DIVADM].[NAM_DISTRI].&[SANTO DOMINGO ESTE],SANTO DOMINGO ESTE,455530
[DIVADM].[NAM_DISTRI].&[SANTO DOMINGO OESTE],SANTO DOMINGO OESTE,278405
[DIVADM].[NAM_DISTRI].&[SARAGURO],SARAGURO,15206
[DIVADM].[NAM_DISTRI].&[SHUSHUFINDI],SHUSHUFINDI,56089
[DIVADM].[NAM_DISTRI].&[SIG SIG],SIG SIG,16200
[DIVADM].[NAM_DISTRI].&[SIGCHOS],SIGCHOS,9188
[DIVADM].[NAM_DISTRI].&[SUBTROPICO],SUBTROPICO,63749
[DIVADM].[NAM_DISTRI].&[SUCRE],SUCRE,58451
[DIVADM].[NAM_DISTRI].&[SUCUMBIOS],SUCUMBIOS,29294
[DIVADM].[NAM_DISTRI].&[SUR],SUR,418202
[DIVADM].[NAM_DISTRI].&[TAISHA],TAISHA,7765
[DIVADM].[NAM_DISTRI].&[TENA],TENA,108384
[DIVADM].[NAM_DISTRI].&[TIERRA DEL SOL],TIERRA DEL SOL,33122
[DIVADM].[NAM_DISTRI].&[TULCAN],TULCAN,202912
[DIVADM].[NAM_DISTRI].&[TUMBACO],TUMBACO,319434
[DIVADM].[NAM_DISTRI].&[VALLE DEL AMANECER],VALLE DEL AMANECER,198135
[DIVADM].[NAM_DISTRI].&[VENTANAS],VENTANAS,113789
[DIVADM].[NAM_DISTRI].&[VINCES],VINCES,71642
[DIVADM].[NAM_DISTRI].&[YAGUACHI],YAGUACHI,77823
[DIVADM].[NAM_DISTRI].&[YANTZAZA],YANTZAZA,40662
[DIVADM].[NAM_DISTRI].&[ZAMORA],ZAMORA,38762
[DIVADM].[NAM_DISTRI].&[ZAPOTILLO],ZAPOTILLO,8395
[DIVADM].[NAM_DISTRI].&[ZARUMA],ZARUMA,43837
[DIVADM].[NAM_DISTRI].&[ZUMBA],ZUMBA,14867
[DIVADM].[NAM_DISTRI].&,,4347
