[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_UNIQUE_NAME],[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[NAM_SUBCIR].&[1 DE MAYO 1],1 DE MAYO 1,25691
[DIVADM].[NAM_SUBCIR].&[10 DE AGOSTO 1],10 DE AGOSTO 1,7656
[DIVADM].[NAM_SUBCIR].&[12 DE DICIEMBRE 1],12 DE DICIEMBRE 1,809
[DIVADM].[NAM_SUBCIR].&[15 DE MAYO 1],15 DE MAYO 1,32711
[DIVADM].[NAM_SUBCIR].&[19 DE NOVIEMBRE 1],19 DE NOVIEMBRE 1,15397
[DIVADM].[NAM_SUBCIR].&[24 DE MAYO 1],24 DE MAYO 1,11686
[DIVADM].[NAM_SUBCIR].&[24 DE MAYO 2],24 DE MAYO 2,6197
[DIVADM].[NAM_SUBCIR].&[27 DE FEBRERO 1],27 DE FEBRERO 1,21195
[DIVADM].[NAM_SUBCIR].&[3 DE JULIO 1],3 DE JULIO 1,38801
[DIVADM].[NAM_SUBCIR].&[3 DE JULIO 2],3 DE JULIO 2,30970
[DIVADM].[NAM_SUBCIR].&[3 DE MAYO 1],3 DE MAYO 1,10631
[DIVADM].[NAM_SUBCIR].&[5 DE JUNIO 1],5 DE JUNIO 1,27201
[DIVADM].[NAM_SUBCIR].&[5 DE JUNIO 2],5 DE JUNIO 2,6272
[DIVADM].[NAM_SUBCIR].&[7 DE JULIO 1],7 DE JULIO 1,7117
[DIVADM].[NAM_SUBCIR].&[7 DE OCTUBRE 1],7 DE OCTUBRE 1,41349
[DIVADM].[NAM_SUBCIR].&[7 DE OCTUBRE 2],7 DE OCTUBRE 2,46194
[DIVADM].[NAM_SUBCIR].&[7 DE OCTUBRE 3],7 DE OCTUBRE 3,6258
[DIVADM].[NAM_SUBCIR].&[7 LAGOS 1],7 LAGOS 1,9970
[DIVADM].[NAM_SUBCIR].&[7 LAGOS 2],7 LAGOS 2,10036
[DIVADM].[NAM_SUBCIR].&[7 LAGOS 3],7 LAGOS 3,22937
