[DIVADM].[OBJECTID_1].[OBJECTID_1].[MEMBER_UNIQUE_NAME],[DIVADM].[OBJECTID_1].[OBJECTID_1].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[OBJECTID_1].&[1],1,17352
[DIVADM].[OBJECTID_1].&[2],2,18243
[DIVADM].[OBJECTID_1].&[3],3,26651
[DIVADM].[OBJECTID_1].&[4],4,20266
[DIVADM].[OBJECTID_1].&[5],5,10217
[DIVADM].[OBJECTID_1].&[6],6,14565
[DIVADM].[OBJECTID_1].&[7],7,2687
[DIVADM].[OBJECTID_1].&[8],8,20585
[DIVADM].[OBJECTID_1].&[9],9,14779
[DIVADM].[OBJECTID_1].&[10],10,7926
[DIVADM].[OBJECTID_1].&[11],11,27447
[DIVADM].[OBJECTID_1].&[12],12,22326
[DIVADM].[OBJECTID_1].&[13],13,15
[DIVADM].[OBJECTID_1].&[14],14,75
[DIVADM].[OBJECTID_1].&[15],15,1214
[DIVADM].[OBJECTID_1].&[16],16,297
[DIVADM].[OBJECTID_1].&[17],17,998
[DIVADM].[OBJECTID_1].&[18],18,6549
[DIVADM].[OBJECTID_1].&[19],19,17448
[DIVADM].[OBJECTID_1].&[20],20,9403
[DIVADM].[OBJECTID_1].&[21],21,2785
[DIVADM].[OBJECTID_1].&[22],22,7311
[DIVADM].[OBJECTID_1].&[23],23,6888
[DIVADM].[OBJECTID_1].&[24],24,4678
[DIVADM].[OBJECTID_1].&[25],25,18727
[DIVADM].[OBJECTID_1].&[26],26,4956
[DIVADM].[OBJECTID_1].&[27],27,3642
[DIVADM].[OBJECTID_1].&[28],28,7990
[DIVADM].[OBJECTID_1].&[29],29,20065
[DIVADM].[OBJECTID_1].&[30],30,8347
[DIVADM].[OBJECTID_1].&[31],31,9593
[DIVADM].[OBJECTID_1].&[32],32,9362
[DIVADM].[OBJECTID_1].&[33],33,4333
[DIVADM].[OBJECTID_1].&[34],34,11694
[DIVADM].[OBJECTID_1].&[35],35,22639
[DIVADM].[OBJECTID_1].&[36],36,1807
[DIVADM].[OBJECTID_1].&[37],37,5788
[DIVADM].[OBJECTID_1].&[38],38,300
[DIVADM].[OBJECTID_1].&[39],39,4131
[DIVADM].[OBJECTID_1].&[40],40,3104
[DIVADM].[OBJECTID_1].&[41],41,26586
[DIVADM].[OBJECTID_1].&[42],42,29444
[DIVADM].[OBJECTID_1].&[43],43,26024
[DIVADM].[OBJECTID_1].&[44],44,4307
[DIVADM].[OBJECTID_1].&[45],45,14069
[DIVADM].[OBJECTID_1].&[46],46,23733
[DIVADM].[OBJECTID_1].&[47],47,15397
[DIVADM].[OBJECTID_1].&[48],48,12529
[DIVADM].[OBJECTID_1].&[49],49,17487
[DIVADM].[OBJECTID_1].&[50],50,10178
[DIVADM].[OBJECTID_1].&[51],51,13541
[DIVADM].[OBJECTID_1].&[52],52,13387
[DIVADM].[OBJECTID_1].&[53],53,7994
[DIVADM].[OBJECTID_1].&[54],54,17699
[DIVADM].[OBJECTID_1].&[55],55,1937
[DIVADM].[OBJECTID_1].&[56],56,10743
[DIVADM].[OBJECTID_1].&[57],57,1871
[DIVADM].[OBJECTID_1].&[58],58,1518
[DIVADM].[OBJECTID_1].&[59],59,3686
[DIVADM].[OBJECTID_1].&[60],60,544
[DIVADM].[OBJECTID_1].&[61],61,196
[DIVADM].[OBJECTID_1].&[62],62,5326
[DIVADM].[OBJECTID_1].&[63],63,178
[DIVADM].[OBJECTID_1].&[64],64,87
[DIVADM].[OBJECTID_1].&[65],65,323
[DIVADM].[OBJECTID_1].&[66],66,7229
[DIVADM].[OBJECTID_1].&[67],67,497
[DIVADM].[OBJECTID_1].&[68],68,390
