[DIVADM].[OBJECTID].[OBJECTID].[MEMBER_UNIQUE_NAME],[DIVADM].[OBJECTID].[OBJECTID].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[OBJECTID].&[2.4628E4],24628,15
[DIVADM].[OBJECTID].&[2.4629E4],24629,75
[DIVADM].[OBJECTID].&[2.463E4],24630,1214
[DIVADM].[OBJECTID].&[2.4631E4],24631,297
[DIVADM].[OBJECTID].&[2.4632E4],24632,998
[DIVADM].[OBJECTID].&[2.4633E4],24633,6549
[DIVADM].[OBJECTID].&[2.4634E4],24634,17448
[DIVADM].[OBJECTID].&[2.4635E4],24635,9403
[DIVADM].[OBJECTID].&[2.4636E4],24636,2785
[DIVADM].[OBJECTID].&[2.4637E4],24637,7311
[DIVADM].[OBJECTID].&[2.4638E4],24638,6888
[DIVADM].[OBJECTID].&[2.4639E4],24639,4678
[DIVADM].[OBJECTID].&[2.464E4],24640,18727
[DIVADM].[OBJECTID].&[2.4641E4],24641,4956
[DIVADM].[OBJECTID].&[2.4642E4],24642,3642
[DIVADM].[OBJECTID].&[2.4643E4],24643,7990
[DIVADM].[OBJECTID].&[2.4644E4],24644,20065
[DIVADM].[OBJECTID].&[2.4645E4],24645,8347
[DIVADM].[OBJECTID].&[2.4646E4],24646,9593
[DIVADM].[OBJECTID].&[2.4647E4],24647,9362
[DIVADM].[OBJECTID].&[2.4648E4],24648,4333
[DIVADM].[OBJECTID].&[2.4649E4],24649,11694
[DIVADM].[OBJECTID].&[2.465E4],24650,22639
[DIVADM].[OBJECTID].&[2.4651E4],24651,1807
[DIVADM].[OBJECTID].&[2.4652E4],24652,300
[DIVADM].[OBJECTID].&[2.4653E4],24653,4131
[DIVADM].[OBJECTID].&[2.4654E4],24654,3104
[DIVADM].[OBJECTID].&[2.4655E4],24655,26586
[DIVADM].[OBJECTID].&[2.4656E4],24656,29444
[DIVADM].[OBJECTID].&[2.4657E4],24657,26024
[DIVADM].[OBJECTID].&[2.4658E4],24658,4307
[DIVADM].[OBJECTID].&[2.4659E4],24659,14069
[DIVADM].[OBJECTID].&[2.466E4],24660,23733
[DIVADM].[OBJECTID].&[2.4661E4],24661,15397
[DIVADM].[OBJECTID].&[2.4662E4],24662,12529
[DIVADM].[OBJECTID].&[2.4663E4],24663,17487
[DIVADM].[OBJECTID].&[2.4664E4],24664,10178
[DIVADM].[OBJECTID].&[2.4665E4],24665,13541
[DIVADM].[OBJECTID].&[2.4666E4],24666,13387
[DIVADM].[OBJECTID].&[2.4667E4],24667,7994
[DIVADM].[OBJECTID].&[2.4668E4],24668,17699
[DIVADM].[OBJECTID].&[2.4669E4],24669,1937
[DIVADM].[OBJECTID].&[2.467E4],24670,10743
[DIVADM].[OBJECTID].&[2.4671E4],24671,1871
[DIVADM].[OBJECTID].&[2.4672E4],24672,1518
[DIVADM].[OBJECTID].&[2.4673E4],24673,3686
[DIVADM].[OBJECTID].&[2.4674E4],24674,544
[DIVADM].[OBJECTID].&[2.4675E4],24675,196
[DIVADM].[OBJECTID].&[2.4676E4],24676,5326
[DIVADM].[OBJECTID].&[2.4677E4],24677,178
[DIVADM].[OBJECTID].&[2.4678E4],24678,87
[DIVADM].[OBJECTID].&[2.4679E4],24679,323
[DIVADM].[OBJECTID].&[2.468E4],24680,7229
[DIVADM].[OBJECTID].&[2.4681E4],24681,497
[DIVADM].[OBJECTID].&[2.4682E4],24682,390
[DIVADM].[OBJECTID].&[2.4683E4],24683,3970
[DIVADM].[OBJECTID].&[2.4684E4],24684,922
[DIVADM].[OBJECTID].&[2.4685E4],24685,37257
[DIVADM].[OBJECTID].&[2.4686E4],24686,22937
[DIVADM].[OBJECTID].&[2.4687E4],24687,31399
[DIVADM].[OBJECTID].&[2.4688E4],24688,16261
[DIVADM].[OBJECTID].&[2.4689E4],24689,18661
[DIVADM].[OBJECTID].&[2.469E4],24690,26633
[DIVADM].[OBJECTID].&[2.4691E4],24691,32559
[DIVADM].[OBJECTID].&[2.4692E4],24692,16022
[DIVADM].[OBJECTID].&[2.4693E4],24693,20786
[DIVADM].[OBJECTID].&[2.4694E4],24694,32094
[DIVADM].[OBJECTID].&[2.4695E4],24695,35448
[DIVADM].[OBJECTID].&[2.4696E4],24696,23519
[DIVADM].[OBJECTID].&[2.4697E4],24697,15800
[DIVADM].[OBJECTID].&[2.4698E4],24698,19688
[DIVADM].[OBJECTID].&[2.4699E4],24699,22024
[DIVADM].[OBJECTID].&[2.47E4],24700,32587
[DIVADM].[OBJECTID].&[2.4701E4],24701,22991
[DIVADM].[OBJECTID].&[2.4702E4],24702,31468
[DIVADM].[OBJECTID].&[2.4703E4],24703,32537
[DIVADM].[OBJECTID].&[2.4704E4],24704,24438
[DIVADM].[OBJECTID].&[2.4705E4],24705,18741
[DIVADM].[OBJECTID].&[2.4706E4],24706,25767
[DIVADM].[OBJECTID].&[2.4707E4],24707,17563
[DIVADM].[OBJECTID].&[2.4708E4],24708,8029
[DIVADM].[OBJECTID].&[2.4709E4],24709,18589
[DIVADM].[OBJECTID].&[2.471E4],24710,13496
[DIVADM].[OBJECTID].&[2.4711E4],24711,5153
[DIVADM].[OBJECTID].&[2.4712E4],24712,22215
[DIVADM].[OBJECTID].&[2.4713E4],24713,16372
[DIVADM].[OBJECTID].&[2.4714E4],24714,7191
[DIVADM].[OBJECTID].&[2.4715E4],24715,15107
[DIVADM].[OBJECTID].&[2.4716E4],24716,14236
[DIVADM].[OBJECTID].&[2.4718E4],24718,14763
[DIVADM].[OBJECTID].&[2.4719E4],24719,10226
[DIVADM].[OBJECTID].&[2.472E4],24720,2402
[DIVADM].[OBJECTID].&[2.4721E4],24721,11562
[DIVADM].[OBJECTID].&[2.4722E4],24722,16429
[DIVADM].[OBJECTID].&[2.4723E4],24723,18181
[DIVADM].[OBJECTID].&[2.4724E4],24724,4657
[DIVADM].[OBJECTID].&[2.4725E4],24725,3016
[DIVADM].[OBJECTID].&[2.4726E4],24726,8172
[DIVADM].[OBJECTID].&[2.4727E4],24727,7401
[DIVADM].[OBJECTID].&[2.4728E4],24728,2288
[DIVADM].[OBJECTID].&[2.4729E4],24729,22843
[DIVADM].[OBJECTID].&[2.473E4],24730,14234
[DIVADM].[OBJECTID].&[2.4731E4],24731,5581
[DIVADM].[OBJECTID].&[2.4732E4],24732,1010
[DIVADM].[OBJECTID].&[2.4733E4],24733,3071
[DIVADM].[OBJECTID].&[2.4734E4],24734,6922
[DIVADM].[OBJECTID].&[2.4735E4],24735,370
[DIVADM].[OBJECTID].&[2.4736E4],24736,9522
[DIVADM].[OBJECTID].&[2.4737E4],24737,4341
[DIVADM].[OBJECTID].&[2.4738E4],24738,360
[DIVADM].[OBJECTID].&[2.4739E4],24739,561
[DIVADM].[OBJECTID].&[2.474E4],24740,4315
[DIVADM].[OBJECTID].&[2.4742E4],24742,6283
[DIVADM].[OBJECTID].&[2.4743E4],24743,13711
[DIVADM].[OBJECTID].&[2.4744E4],24744,19771
[DIVADM].[OBJECTID].&[2.4745E4],24745,10974
[DIVADM].[OBJECTID].&[2.4746E4],24746,2376
[DIVADM].[OBJECTID].&[2.4747E4],24747,13609
[DIVADM].[OBJECTID].&[2.4748E4],24748,578
[DIVADM].[OBJECTID].&[2.4749E4],24749,641
[DIVADM].[OBJECTID].&[2.475E4],24750,17780
[DIVADM].[OBJECTID].&[2.4751E4],24751,20849
[DIVADM].[OBJECTID].&[2.4752E4],24752,9687
[DIVADM].[OBJECTID].&[2.4753E4],24753,289
[DIVADM].[OBJECTID].&[2.4754E4],24754,175
[DIVADM].[OBJECTID].&[2.4755E4],24755,1818
[DIVADM].[OBJECTID].&[2.4756E4],24756,10538
[DIVADM].[OBJECTID].&[2.4757E4],24757,10178
[DIVADM].[OBJECTID].&[2.4758E4],24758,2205
[DIVADM].[OBJECTID].&[2.4759E4],24759,5228
[DIVADM].[OBJECTID].&[2.476E4],24760,7760
[DIVADM].[OBJECTID].&[2.4761E4],24761,4792
[DIVADM].[OBJECTID].&[2.4762E4],24762,24
[DIVADM].[OBJECTID].&[2.4763E4],24763,881
[DIVADM].[OBJECTID].&[2.4764E4],24764,396
[DIVADM].[OBJECTID].&[2.4765E4],24765,2990
[DIVADM].[OBJECTID].&[2.4766E4],24766,11728
[DIVADM].[OBJECTID].&[2.4767E4],24767,17508
[DIVADM].[OBJECTID].&[2.4768E4],24768,4743
[DIVADM].[OBJECTID].&[2.4769E4],24769,42404
[DIVADM].[OBJECTID].&[2.477E4],24770,24918
[DIVADM].[OBJECTID].&[2.4771E4],24771,6961
[DIVADM].[OBJECTID].&[2.4772E4],24772,302
[DIVADM].[OBJECTID].&[2.4773E4],24773,2759
[DIVADM].[OBJECTID].&[2.4774E4],24774,12368
[DIVADM].[OBJECTID].&[2.4775E4],24775,3034
[DIVADM].[OBJECTID].&[2.4776E4],24776,3636
[DIVADM].[OBJECTID].&[2.4777E4],24777,4475
[DIVADM].[OBJECTID].&[2.4778E4],24778,4309
[DIVADM].[OBJECTID].&[2.4779E4],24779,5075
[DIVADM].[OBJECTID].&[2.478E4],24780,7529
[DIVADM].[OBJECTID].&[2.4782E4],24782,4804
[DIVADM].[OBJECTID].&[2.4783E4],24783,3573
[DIVADM].[OBJECTID].&[2.4784E4],24784,21228
[DIVADM].[OBJECTID].&[2.4785E4],24785,7579
[DIVADM].[OBJECTID].&[2.4786E4],24786,6251
[DIVADM].[OBJECTID].&[2.4787E4],24787,5202
[DIVADM].[OBJECTID].&[2.4788E4],24788,10094
[DIVADM].[OBJECTID].&[2.4789E4],24789,21622
[DIVADM].[OBJECTID].&[2.479E4],24790,15773
[DIVADM].[OBJECTID].&[2.4791E4],24791,8676
[DIVADM].[OBJECTID].&[2.4792E4],24792,814
[DIVADM].[OBJECTID].&[2.4793E4],24793,796
[DIVADM].[OBJECTID].&[2.4794E4],24794,11148
[DIVADM].[OBJECTID].&[2.4795E4],24795,233
[DIVADM].[OBJECTID].&[2.4796E4],24796,4646
[DIVADM].[OBJECTID].&[2.4797E4],24797,2189
[DIVADM].[OBJECTID].&[2.4798E4],24798,973
[DIVADM].[OBJECTID].&[2.4799E4],24799,1488
[DIVADM].[OBJECTID].&[2.48E4],24800,2654
[DIVADM].[OBJECTID].&[2.4801E4],24801,5465
[DIVADM].[OBJECTID].&[2.4803E4],24803,19393
[DIVADM].[OBJECTID].&[2.4804E4],24804,16463
[DIVADM].[OBJECTID].&[2.4805E4],24805,14756
[DIVADM].[OBJECTID].&[2.4806E4],24806,10672
[DIVADM].[OBJECTID].&[2.4807E4],24807,20018
[DIVADM].[OBJECTID].&[2.4808E4],24808,12667
[DIVADM].[OBJECTID].&[2.4809E4],24809,5032
[DIVADM].[OBJECTID].&[2.4811E4],24811,4984
[DIVADM].[OBJECTID].&[2.4812E4],24812,6485
