[DIVADM].[POBLACION].[POBLACION].[MEMBER_UNIQUE_NAME],[DIVADM].[POBLACION].[POBLACION].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[POBLACION].&[1.64E2],164,300
[DIVADM].[POBLACION].&[1.84E2],184,132
[DIVADM].[POBLACION].&[2.35E2],235,15
[DIVADM].[POBLACION].&[2.43E2],243,1832
[DIVADM].[POBLACION].&[2.69E2],269,78
[DIVADM].[POBLACION].&[2.95E2],295,107
[DIVADM].[POBLACION].&[3.36E2],336,474
[DIVADM].[POBLACION].&[3.52E2],352,871
[DIVADM].[POBLACION].&[3.92E2],392,396
[DIVADM].[POBLACION].&[4.16E2],416,87
[DIVADM].[POBLACION].&[4.61E2],461,137
[DIVADM].[POBLACION].&[4.96E2],496,24
[DIVADM].[POBLACION].&[4.97E2],497,2466
[DIVADM].[POBLACION].&[5.19E2],519,297
[DIVADM].[POBLACION].&[5.84E2],584,728
[DIVADM].[POBLACION].&[5.94E2],594,196
[DIVADM].[POBLACION].&[5.95E2],595,323
[DIVADM].[POBLACION].&[6.2E2],620,62
[DIVADM].[POBLACION].&[6.39E2],639,73
[DIVADM].[POBLACION].&[6.48E2],648,491
[DIVADM].[POBLACION].&[6.56E2],656,75
[DIVADM].[POBLACION].&[6.58E2],658,1807
[DIVADM].[POBLACION].&[6.68E2],668,220
[DIVADM].[POBLACION].&[6.72E2],672,317
[DIVADM].[POBLACION].&[7.37E2],737,922
[DIVADM].[POBLACION].&[7.46E2],746,332
[DIVADM].[POBLACION].&[7.66E2],766,1595
[DIVADM].[POBLACION].&[8.16E2],816,238
[DIVADM].[POBLACION].&[8.6E2],860,76
[DIVADM].[POBLACION].&[9.16E2],916,448
[DIVADM].[POBLACION].&[9.22E2],922,2402
[DIVADM].[POBLACION].&[9.44E2],944,1064
[DIVADM].[POBLACION].&[9.63E2],963,710
[DIVADM].[POBLACION].&[9.94E2],994,3104
[DIVADM].[POBLACION].&[1.005E3],1005,839
[DIVADM].[POBLACION].&[1.027E3],1027,409
[DIVADM].[POBLACION].&[1.03E3],1030,87
[DIVADM].[POBLACION].&[1.08E3],1080,462
[DIVADM].[POBLACION].&[1.086E3],1086,99
[DIVADM].[POBLACION].&[1.091E3],1091,168
[DIVADM].[POBLACION].&[1.114E3],1114,326
[DIVADM].[POBLACION].&[1.126E3],1126,184
[DIVADM].[POBLACION].&[1.163E3],1163,1573
[DIVADM].[POBLACION].&[1.172E3],1172,155
[DIVADM].[POBLACION].&[1.177E3],1177,441
[DIVADM].[POBLACION].&[1.23E3],1230,497
[DIVADM].[POBLACION].&[1.262E3],1262,360
[DIVADM].[POBLACION].&[1.266E3],1266,49
[DIVADM].[POBLACION].&[1.297E3],1297,239
[DIVADM].[POBLACION].&[1.343E3],1343,83776
[DIVADM].[POBLACION].&[1.36E3],1360,301
[DIVADM].[POBLACION].&[1.371E3],1371,1067
[DIVADM].[POBLACION].&[1.383E3],1383,458
[DIVADM].[POBLACION].&[1.406E3],1406,617
[DIVADM].[POBLACION].&[1.41E3],1410,136
[DIVADM].[POBLACION].&[1.43E3],1430,66
[DIVADM].[POBLACION].&[1.484E3],1484,253
[DIVADM].[POBLACION].&[1.494E3],1494,6010
[DIVADM].[POBLACION].&[1.534E3],1534,3548
[DIVADM].[POBLACION].&[1.59E3],1590,3069
[DIVADM].[POBLACION].&[1.594E3],1594,266
[DIVADM].[POBLACION].&[1.596E3],1596,1132
[DIVADM].[POBLACION].&[1.6E3],1600,238
[DIVADM].[POBLACION].&[1.654E3],1654,2737
[DIVADM].[POBLACION].&[1.668E3],1668,374
[DIVADM].[POBLACION].&[1.673E3],1673,390
[DIVADM].[POBLACION].&[1.69E3],1690,573
[DIVADM].[POBLACION].&[1.695E3],1695,992
[DIVADM].[POBLACION].&[1.703E3],1703,2520
[DIVADM].[POBLACION].&[1.718E3],1718,1518
[DIVADM].[POBLACION].&[1.732E3],1732,3825
[DIVADM].[POBLACION].&[1.741E3],1741,5264
[DIVADM].[POBLACION].&[1.743E3],1743,127
[DIVADM].[POBLACION].&[1.744E3],1744,1405
[DIVADM].[POBLACION].&[1.745E3],1745,475
[DIVADM].[POBLACION].&[1.753E3],1753,5326
[DIVADM].[POBLACION].&[1.763E3],1763,354
[DIVADM].[POBLACION].&[1.768E3],1768,901
[DIVADM].[POBLACION].&[1.777E3],1777,236
[DIVADM].[POBLACION].&[1.778E3],1778,3138
[DIVADM].[POBLACION].&[1.78E3],1780,640
[DIVADM].[POBLACION].&[1.782E3],1782,665
[DIVADM].[POBLACION].&[1.785E3],1785,1579
[DIVADM].[POBLACION].&[1.816E3],1816,1436
[DIVADM].[POBLACION].&[1.823E3],1823,4527
[DIVADM].[POBLACION].&[1.837E3],1837,393
[DIVADM].[POBLACION].&[1.844E3],1844,3650
[DIVADM].[POBLACION].&[1.853E3],1853,144987
[DIVADM].[POBLACION].&[1.865E3],1865,8167
[DIVADM].[POBLACION].&[1.87E3],1870,772
[DIVADM].[POBLACION].&[1.893E3],1893,478
[DIVADM].[POBLACION].&[1.911E3],1911,3034
[DIVADM].[POBLACION].&[1.934E3],1934,16
[DIVADM].[POBLACION].&[1.992E3],1992,4539
[DIVADM].[POBLACION].&[1.994E3],1994,290
[DIVADM].[POBLACION].&[2.004E3],2004,544
[DIVADM].[POBLACION].&[2.012E3],2012,1747
[DIVADM].[POBLACION].&[2.023E3],2023,6149
[DIVADM].[POBLACION].&[2.025E3],2025,2079
[DIVADM].[POBLACION].&[2.043E3],2043,537
[DIVADM].[POBLACION].&[2.044E3],2044,1227
[DIVADM].[POBLACION].&[2.092E3],2092,7311
[DIVADM].[POBLACION].&[2.101E3],2101,178
[DIVADM].[POBLACION].&[2.137E3],2137,173
[DIVADM].[POBLACION].&[2.145E3],2145,10933
[DIVADM].[POBLACION].&[2.204E3],2204,3612
[DIVADM].[POBLACION].&[2.20525E3],"2205,25",42962
[DIVADM].[POBLACION].&[2.208E3],2208,1134
[DIVADM].[POBLACION].&[2.2395E3],"2239,5",3358
[DIVADM].[POBLACION].&[2.245E3],2245,752
[DIVADM].[POBLACION].&[2.274E3],2274,4743
[DIVADM].[POBLACION].&[2.293E3],2293,1397
[DIVADM].[POBLACION].&[2.307E3],2307,578
[DIVADM].[POBLACION].&[2.322E3],2322,1667
[DIVADM].[POBLACION].&[2.334E3],2334,3210
[DIVADM].[POBLACION].&[2.3385E3],"2338,5",10756
[DIVADM].[POBLACION].&[2.339E3],2339,5177
[DIVADM].[POBLACION].&[2.342E3],2342,705
[DIVADM].[POBLACION].&[2.345E3],2345,6790
[DIVADM].[POBLACION].&[2.352E3],2352,1255
[DIVADM].[POBLACION].&[2.356E3],2356,8909
[DIVADM].[POBLACION].&[2.37E3],2370,412
[DIVADM].[POBLACION].&[2.399E3],2399,2181
[DIVADM].[POBLACION].&[2.4235E3],"2423,5",1556
[DIVADM].[POBLACION].&[2.425E3],2425,4131
[DIVADM].[POBLACION].&[2.439E3],2439,2520
[DIVADM].[POBLACION].&[2.452E3],2452,1669
[DIVADM].[POBLACION].&[2.457E3],2457,3726
[DIVADM].[POBLACION].&[2.466E3],2466,1120
[DIVADM].[POBLACION].&[2.469E3],2469,2759
[DIVADM].[POBLACION].&[2.484E3],2484,1515
[DIVADM].[POBLACION].&[2.507E3],2507,1109
[DIVADM].[POBLACION].&[2.513E3],2513,3240
[DIVADM].[POBLACION].&[2.521E3],2521,3256
[DIVADM].[POBLACION].&[2.537E3],2537,261
[DIVADM].[POBLACION].&[2.54E3],2540,1044
[DIVADM].[POBLACION].&[2.553E3],2553,3774
[DIVADM].[POBLACION].&[2.555E3],2555,969
[DIVADM].[POBLACION].&[2.556E3],2556,302
[DIVADM].[POBLACION].&[2.565E3],2565,1025
[DIVADM].[POBLACION].&[2.568E3],2568,541
[DIVADM].[POBLACION].&[2.598E3],2598,3686
[DIVADM].[POBLACION].&[2.602E3],2602,661
[DIVADM].[POBLACION].&[2.631E3],2631,596
[DIVADM].[POBLACION].&[2.636E3],2636,1374
[DIVADM].[POBLACION].&[2.638E3],2638,2587
[DIVADM].[POBLACION].&[2.64E3],2640,947
[DIVADM].[POBLACION].&[2.641E3],2641,1129
[DIVADM].[POBLACION].&[2.646E3],2646,1851
[DIVADM].[POBLACION].&[2.685E3],2685,570
[DIVADM].[POBLACION].&[2.6855E3],"2685,5",3269
[DIVADM].[POBLACION].&[2.7385E3],"2738,5",12433
[DIVADM].[POBLACION].&[2.739E3],2739,2953
[DIVADM].[POBLACION].&[2.745E3],2745,897
[DIVADM].[POBLACION].&[2.755E3],2755,4603
[DIVADM].[POBLACION].&[2.769E3],2769,4889
[DIVADM].[POBLACION].&[2.772E3],2772,46
[DIVADM].[POBLACION].&[2.775E3],2775,3227
[DIVADM].[POBLACION].&[2.779E3],2779,127
[DIVADM].[POBLACION].&[2.801E3],2801,266
[DIVADM].[POBLACION].&[2.809E3],2809,1683
[DIVADM].[POBLACION].&[2.823E3],2823,13723
[DIVADM].[POBLACION].&[2.857E3],2857,1934
[DIVADM].[POBLACION].&[2.885E3],2885,11974
[DIVADM].[POBLACION].&[2.886E3],2886,1057
[DIVADM].[POBLACION].&[2.891E3],2891,2793
[DIVADM].[POBLACION].&[2.892E3],2892,3006
[DIVADM].[POBLACION].&[2.898E3],2898,500
[DIVADM].[POBLACION].&[2.903E3],2903,1276
[DIVADM].[POBLACION].&[2.9105E3],"2910,5",6024
[DIVADM].[POBLACION].&[2.91475E3],"2914,75",4410
[DIVADM].[POBLACION].&[2.9275E3],"2927,5",7791
[DIVADM].[POBLACION].&[2.967E3],2967,62
[DIVADM].[POBLACION].&[2.973E3],2973,713
[DIVADM].[POBLACION].&[2.98E3],2980,809
[DIVADM].[POBLACION].&[2.9915E3],"2991,5",3116
[DIVADM].[POBLACION].&[3.016E3],3016,2149
[DIVADM].[POBLACION].&[3.026E3],3026,8135
[DIVADM].[POBLACION].&[3.033E3],3033,2264
[DIVADM].[POBLACION].&[3.036E3],3036,1520
[DIVADM].[POBLACION].&[3.038E3],3038,363
[DIVADM].[POBLACION].&[3.051E3],3051,2259
[DIVADM].[POBLACION].&[3.058E3],3058,2531
[DIVADM].[POBLACION].&[3.059E3],3059,6877
[DIVADM].[POBLACION].&[3.071E3],3071,349
[DIVADM].[POBLACION].&[3.084E3],3084,2474
[DIVADM].[POBLACION].&[3.087E3],3087,956
[DIVADM].[POBLACION].&[3.09E3],3090,446
[DIVADM].[POBLACION].&[3.0995E3],"3099,5",3447
[DIVADM].[POBLACION].&[3.105E3],3105,5407
[DIVADM].[POBLACION].&[3.109E3],3109,93365
[DIVADM].[POBLACION].&[3.111E3],3111,9531
[DIVADM].[POBLACION].&[3.125E3],3125,403
[DIVADM].[POBLACION].&[3.127E3],3127,834
[DIVADM].[POBLACION].&[3.146E3],3146,2429
[DIVADM].[POBLACION].&[3.153E3],3153,2569
[DIVADM].[POBLACION].&[3.169E3],3169,1150
[DIVADM].[POBLACION].&[3.187E3],3187,2673
[DIVADM].[POBLACION].&[3.191E3],3191,1170
[DIVADM].[POBLACION].&[3.222E3],3222,887
[DIVADM].[POBLACION].&[3.227E3],3227,498
[DIVADM].[POBLACION].&[3.244E3],3244,1937
[DIVADM].[POBLACION].&[3.257E3],3257,425
[DIVADM].[POBLACION].&[3.261E3],3261,2360
[DIVADM].[POBLACION].&[3.264E3],3264,3140
[DIVADM].[POBLACION].&[3.271E3],3271,2454
[DIVADM].[POBLACION].&[3.278E3],3278,728
[DIVADM].[POBLACION].&[3.294E3],3294,1411
[DIVADM].[POBLACION].&[3.296E3],3296,688
[DIVADM].[POBLACION].&[3.302E3],3302,1047
[DIVADM].[POBLACION].&[3.319E3],3319,1525
[DIVADM].[POBLACION].&[3.346E3],3346,1338
[DIVADM].[POBLACION].&[3.349E3],3349,4252
[DIVADM].[POBLACION].&[3.375E3],3375,6275
[DIVADM].[POBLACION].&[3.398E3],3398,2990
[DIVADM].[POBLACION].&[3.4E3],3400,11685
[DIVADM].[POBLACION].&[3.409E3],3409,1903
[DIVADM].[POBLACION].&[3.432E3],3432,4812
[DIVADM].[POBLACION].&[3.434E3],3434,1871
[DIVADM].[POBLACION].&[3.4625E3],"3462,5",9702
[DIVADM].[POBLACION].&[3.512E3],3512,175
[DIVADM].[POBLACION].&[3.515E3],3515,3676
[DIVADM].[POBLACION].&[3.517E3],3517,22701
[DIVADM].[POBLACION].&[3.53E3],3530,2681
[DIVADM].[POBLACION].&[3.542E3],3542,2497
[DIVADM].[POBLACION].&[3.552E3],3552,1772
[DIVADM].[POBLACION].&[3.553E3],3553,337
[DIVADM].[POBLACION].&[3.557E3],3557,1535
