[DIVADM].[SHAPE_LENG].[SHAPE_LENG].[MEMBER_UNIQUE_NAME],[DIVADM].[SHAPE_LENG].[SHAPE_LENG].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[SHAPE_LENG].&[1.53843062207E3],"1538,43062207",12415
[DIVADM].[SHAPE_LENG].&[1.57266397557E3],"1572,66397557",8498
[DIVADM].[SHAPE_LENG].&[1.68797066042E3],"1687,97066042",6671
[DIVADM].[SHAPE_LENG].&[1.78467803931E3],"1784,67803931",16022
[DIVADM].[SHAPE_LENG].&[1.84313557245E3],"1843,13557245",22448
[DIVADM].[SHAPE_LENG].&[1.9319458034E3],"1931,9458034",22324
[DIVADM].[SHAPE_LENG].&[1.93195694413E3],"1931,95694413",17531
[DIVADM].[SHAPE_LENG].&[1.96982248217E3],"1969,82248217",21661
[DIVADM].[SHAPE_LENG].&[1.98506423631E3],"1985,06423631",5750
[DIVADM].[SHAPE_LENG].&[1.99022016523E3],"1990,22016523",11930
[DIVADM].[SHAPE_LENG].&[2.04617922161E3],"2046,17922161",20357
[DIVADM].[SHAPE_LENG].&[2.08570588339E3],"2085,70588339",24517
[DIVADM].[SHAPE_LENG].&[2.1298615299E3],"2129,8615299",35327
[DIVADM].[SHAPE_LENG].&[2.18520615987E3],"2185,20615987",20357
[DIVADM].[SHAPE_LENG].&[2.19440588076E3],"2194,40588076",9797
[DIVADM].[SHAPE_LENG].&[2.29352817845E3],"2293,52817845",9387
[DIVADM].[SHAPE_LENG].&[2.29618715032E3],"2296,18715032",9580
[DIVADM].[SHAPE_LENG].&[2.32613845198E3],"2326,13845198",12488
[DIVADM].[SHAPE_LENG].&[2.34300859665E3],"2343,00859665",7025
[DIVADM].[SHAPE_LENG].&[2.37287134206E3],"2372,87134206",15561
[DIVADM].[SHAPE_LENG].&[2.41383427691E3],"2413,83427691",31576
[DIVADM].[SHAPE_LENG].&[2.4219472181E3],"2421,9472181",8529
[DIVADM].[SHAPE_LENG].&[2.4666336841E3],"2466,6336841",32559
[DIVADM].[SHAPE_LENG].&[2.50571918014E3],"2505,71918014",5440
[DIVADM].[SHAPE_LENG].&[2.53326668167E3],"2533,26668167",15286
[DIVADM].[SHAPE_LENG].&[2.55081149944E3],"2550,81149944",30289
[DIVADM].[SHAPE_LENG].&[2.57682085484E3],"2576,82085484",17958
[DIVADM].[SHAPE_LENG].&[2.59847059175E3],"2598,47059175",18979
[DIVADM].[SHAPE_LENG].&[2.63642930518E3],"2636,42930518",19688
[DIVADM].[SHAPE_LENG].&[2.6422046586E3],"2642,2046586",26338
[DIVADM].[SHAPE_LENG].&[2.64278628536E3],"2642,78628536",7152
[DIVADM].[SHAPE_LENG].&[2.65270347983E3],"2652,70347983",12026
[DIVADM].[SHAPE_LENG].&[2.66469852277E3],"2664,69852277",8380
[DIVADM].[SHAPE_LENG].&[2.70664683455E3],"2706,64683455",22685
[DIVADM].[SHAPE_LENG].&[2.72893424905E3],"2728,93424905",23913
[DIVADM].[SHAPE_LENG].&[2.79118807894E3],"2791,18807894",13226
[DIVADM].[SHAPE_LENG].&[2.81270011043E3],"2812,70011043",13457
[DIVADM].[SHAPE_LENG].&[2.81479900418E3],"2814,79900418",6300
[DIVADM].[SHAPE_LENG].&[2.82823597517E3],"2828,23597517",11369
[DIVADM].[SHAPE_LENG].&[2.82859860553E3],"2828,59860553",29129
[DIVADM].[SHAPE_LENG].&[2.84561718767E3],"2845,61718767",7423
[DIVADM].[SHAPE_LENG].&[2.8467667042E3],"2846,7667042",22024
[DIVADM].[SHAPE_LENG].&[2.85050113502E3],"2850,50113502",6226
[DIVADM].[SHAPE_LENG].&[2.86727265846E3],"2867,27265846",6686
[DIVADM].[SHAPE_LENG].&[2.88431730102E3],"2884,31730102",12073
[DIVADM].[SHAPE_LENG].&[2.89224282483E3],"2892,24282483",11919
[DIVADM].[SHAPE_LENG].&[2.907509383E3],"2907,509383",29022
[DIVADM].[SHAPE_LENG].&[2.91128338982E3],"2911,28338982",6677
[DIVADM].[SHAPE_LENG].&[2.91178331425E3],"2911,78331425",15660
[DIVADM].[SHAPE_LENG].&[2.91794771485E3],"2917,94771485",15416
[DIVADM].[SHAPE_LENG].&[2.92805535705E3],"2928,05535705",4269
[DIVADM].[SHAPE_LENG].&[2.94884089886E3],"2948,84089886",16090
[DIVADM].[SHAPE_LENG].&[2.98248106949E3],"2982,48106949",14379
[DIVADM].[SHAPE_LENG].&[2.99119944893E3],"2991,19944893",11823
[DIVADM].[SHAPE_LENG].&[2.99866303269E3],"2998,66303269",3313
[DIVADM].[SHAPE_LENG].&[3.00371551378E3],"3003,71551378",7046
[DIVADM].[SHAPE_LENG].&[3.02670340968E3],"3026,70340968",16533
[DIVADM].[SHAPE_LENG].&[3.0327825441E3],"3032,7825441",17031
[DIVADM].[SHAPE_LENG].&[3.04130588544E3],"3041,30588544",7538
[DIVADM].[SHAPE_LENG].&[3.04378822863E3],"3043,78822863",16261
[DIVADM].[SHAPE_LENG].&[3.04550729738E3],"3045,50729738",35330
[DIVADM].[SHAPE_LENG].&[3.05794507032E3],"3057,94507032",23920
[DIVADM].[SHAPE_LENG].&[3.05906650836E3],"3059,06650836",6454
[DIVADM].[SHAPE_LENG].&[3.06784248485E3],"3067,84248485",7642
[DIVADM].[SHAPE_LENG].&[3.07597474557E3],"3075,97474557",14942
[DIVADM].[SHAPE_LENG].&[3.0768214082E3],"3076,8214082",17359
[DIVADM].[SHAPE_LENG].&[3.07869411654E3],"3078,69411654",18071
[DIVADM].[SHAPE_LENG].&[3.12536727259E3],"3125,36727259",14942
[DIVADM].[SHAPE_LENG].&[3.12940786293E3],"3129,40786293",7098
[DIVADM].[SHAPE_LENG].&[3.1317219289E3],"3131,7219289",15217
[DIVADM].[SHAPE_LENG].&[3.13969210589E3],"3139,69210589",12932
[DIVADM].[SHAPE_LENG].&[3.14721806184E3],"3147,21806184",15256
[DIVADM].[SHAPE_LENG].&[3.15069604017E3],"3150,69604017",4345
[DIVADM].[SHAPE_LENG].&[3.15166797669E3],"3151,66797669",10974
