[DIVPOL].[DPA_CANTON].[DPA_CANTON].[MEMBER_UNIQUE_NAME],[DIVPOL].[DPA_CANTON].[DPA_CANTON].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[DPA_CANTON].&[0101],0101,1081610
[DIVPOL].[DPA_CANTON].&[0102],0102,13623
[DIVPOL].[DPA_CANTON].&[0103],0103,45219
[DIVPOL].[DPA_CANTON].&[0104],0104,9388
[DIVPOL].[DPA_CANTON].&[0105],0105,25955
[DIVPOL].[DPA_CANTON].&[0106],0106,4719
[DIVPOL].[DPA_CANTON].&[0107],0107,1417
[DIVPOL].[DPA_CANTON].&[0108],0108,20025
[DIVPOL].[DPA_CANTON].&[0109],0109,16200
[DIVPOL].[DPA_CANTON].&[0110],0110,3269
[DIVPOL].[DPA_CANTON].&[0111],0111,7682
[DIVPOL].[DPA_CANTON].&[0112],0112,1520
[DIVPOL].[DPA_CANTON].&[0113],0113,1634
[DIVPOL].[DPA_CANTON].&[0114],0114,1903
[DIVPOL].[DPA_CANTON].&[0115],0115,22526
[DIVPOL].[DPA_CANTON].&[0201],0201,132543
[DIVPOL].[DPA_CANTON].&[0202],0202,14302
[DIVPOL].[DPA_CANTON].&[0203],0203,15166
[DIVPOL].[DPA_CANTON].&[0204],0204,25600
[DIVPOL].[DPA_CANTON].&[0205],0205,30917
[DIVPOL].[DPA_CANTON].&[0206],0206,25736
[DIVPOL].[DPA_CANTON].&[0207],0207,12413
[DIVPOL].[DPA_CANTON].&[0301],0301,101925
[DIVPOL].[DPA_CANTON].&[0302],0302,17957
[DIVPOL].[DPA_CANTON].&[0303],0303,30807
[DIVPOL].[DPA_CANTON].&[0304],0304,77728
[DIVPOL].[DPA_CANTON].&[0305],0305,7397
[DIVPOL].[DPA_CANTON].&[0306],0306,6777
[DIVPOL].[DPA_CANTON].&[0307],0307,3212
[DIVPOL].[DPA_CANTON].&[0401],0401,192663
[DIVPOL].[DPA_CANTON].&[0402],0402,12860
[DIVPOL].[DPA_CANTON].&[0403],0403,14055
[DIVPOL].[DPA_CANTON].&[0404],0404,10644
[DIVPOL].[DPA_CANTON].&[0405],0405,35790
[DIVPOL].[DPA_CANTON].&[0406],0406,10249
[DIVPOL].[DPA_CANTON].&[0501],0501,281896
[DIVPOL].[DPA_CANTON].&[0502],0502,53881
[DIVPOL].[DPA_CANTON].&[0503],0503,10438
[DIVPOL].[DPA_CANTON].&[0504],0504,46730
[DIVPOL].[DPA_CANTON].&[0505],0505,64134
[DIVPOL].[DPA_CANTON].&[0506],0506,22205
[DIVPOL].[DPA_CANTON].&[0507],0507,9188
[DIVPOL].[DPA_CANTON].&[0601],0601,502126
[DIVPOL].[DPA_CANTON].&[0602],0602,21615
[DIVPOL].[DPA_CANTON].&[0603],0603,15001
[DIVPOL].[DPA_CANTON].&[0604],0604,9743
[DIVPOL].[DPA_CANTON].&[0605],0605,10365
[DIVPOL].[DPA_CANTON].&[0606],0606,16482
[DIVPOL].[DPA_CANTON].&[0607],0607,39765
[DIVPOL].[DPA_CANTON].&[0608],0608,11062
[DIVPOL].[DPA_CANTON].&[0609],0609,6142
[DIVPOL].[DPA_CANTON].&[0610],0610,14362
[DIVPOL].[DPA_CANTON].&[0701],0701,512288
[DIVPOL].[DPA_CANTON].&[0702],0702,36586
[DIVPOL].[DPA_CANTON].&[0703],0703,4996
[DIVPOL].[DPA_CANTON].&[0704],0704,8955
[DIVPOL].[DPA_CANTON].&[0705],0705,1515
[DIVPOL].[DPA_CANTON].&[0706],0706,68192
[DIVPOL].[DPA_CANTON].&[0707],0707,80960
[DIVPOL].[DPA_CANTON].&[0708],0708,6562
[DIVPOL].[DPA_CANTON].&[0709],0709,123190
[DIVPOL].[DPA_CANTON].&[0710],0710,26164
[DIVPOL].[DPA_CANTON].&[0711],0711,19095
[DIVPOL].[DPA_CANTON].&[0712],0712,116675
[DIVPOL].[DPA_CANTON].&[0713],0713,19746
[DIVPOL].[DPA_CANTON].&[0714],0714,2172
[DIVPOL].[DPA_CANTON].&[0801],0801,320049
[DIVPOL].[DPA_CANTON].&[0802],0802,21796
[DIVPOL].[DPA_CANTON].&[0803],0803,22376
[DIVPOL].[DPA_CANTON].&[0804],0804,88536
[DIVPOL].[DPA_CANTON].&[0805],0805,37129
[DIVPOL].[DPA_CANTON].&[0806],0806,70753
[DIVPOL].[DPA_CANTON].&[0807],0807,17162
[DIVPOL].[DPA_CANTON].&[0901],0901,4009284
[DIVPOL].[DPA_CANTON].&[0902],0902,27014
[DIVPOL].[DPA_CANTON].&[0903],0903,18079
[DIVPOL].[DPA_CANTON].&[0904],0904,58942
[DIVPOL].[DPA_CANTON].&[0905],0905,10794
[DIVPOL].[DPA_CANTON].&[0906],0906,187172
[DIVPOL].[DPA_CANTON].&[0907],0907,377282
[DIVPOL].[DPA_CANTON].&[0908],0908,70850
[DIVPOL].[DPA_CANTON].&[0909],0909,54995
[DIVPOL].[DPA_CANTON].&[0910],0910,237033
[DIVPOL].[DPA_CANTON].&[0911],0911,96592
[DIVPOL].[DPA_CANTON].&[0912],0912,46750
[DIVPOL].[DPA_CANTON].&[0913],0913,11737
[DIVPOL].[DPA_CANTON].&[0914],0914,48576
[DIVPOL].[DPA_CANTON].&[0916],0916,116779
[DIVPOL].[DPA_CANTON].&[0918],0918,21309
[DIVPOL].[DPA_CANTON].&[0919],0919,25555
[DIVPOL].[DPA_CANTON].&[0920],0920,77840
[DIVPOL].[DPA_CANTON].&[0921],0921,70833
[DIVPOL].[DPA_CANTON].&[0922],0922,17893
[DIVPOL].[DPA_CANTON].&[0923],0923,11269
[DIVPOL].[DPA_CANTON].&[0924],0924,18275
[DIVPOL].[DPA_CANTON].&[0925],0925,29779
[DIVPOL].[DPA_CANTON].&[0927],0927,12667
[DIVPOL].[DPA_CANTON].&[0928],0928,10928
[DIVPOL].[DPA_CANTON].&[1001],1001,541951
[DIVPOL].[DPA_CANTON].&[1002],1002,64257
[DIVPOL].[DPA_CANTON].&[1003],1003,33122
[DIVPOL].[DPA_CANTON].&[1004],1004,133878
[DIVPOL].[DPA_CANTON].&[1005],1005,16934
[DIVPOL].[DPA_CANTON].&[1006],1006,17164
[DIVPOL].[DPA_CANTON].&[1101],1101,451906
[DIVPOL].[DPA_CANTON].&[1102],1102,22614
[DIVPOL].[DPA_CANTON].&[1103],1103,53233
[DIVPOL].[DPA_CANTON].&[1104],1104,12389
[DIVPOL].[DPA_CANTON].&[1105],1105,3900
[DIVPOL].[DPA_CANTON].&[1106],1106,7841
[DIVPOL].[DPA_CANTON].&[1107],1107,7727
[DIVPOL].[DPA_CANTON].&[1108],1108,19038
[DIVPOL].[DPA_CANTON].&[1109],1109,12580
[DIVPOL].[DPA_CANTON].&[1110],1110,11457
[DIVPOL].[DPA_CANTON].&[1111],1111,15206
[DIVPOL].[DPA_CANTON].&[1112],1112,1804
[DIVPOL].[DPA_CANTON].&[1113],1113,8395
[DIVPOL].[DPA_CANTON].&[1114],1114,5298
[DIVPOL].[DPA_CANTON].&[1115],1115,4761
[DIVPOL].[DPA_CANTON].&[1116],1116,2312
[DIVPOL].[DPA_CANTON].&[1201],1201,293553
[DIVPOL].[DPA_CANTON].&[1202],1202,24530
[DIVPOL].[DPA_CANTON].&[1203],1203,36233
[DIVPOL].[DPA_CANTON].&[1204],1204,47356
[DIVPOL].[DPA_CANTON].&[1205],1205,305238
[DIVPOL].[DPA_CANTON].&[1206],1206,28024
[DIVPOL].[DPA_CANTON].&[1207],1207,99476
[DIVPOL].[DPA_CANTON].&[1208],1208,62635
[DIVPOL].[DPA_CANTON].&[1209],1209,9007
[DIVPOL].[DPA_CANTON].&[1210],1210,97476
[DIVPOL].[DPA_CANTON].&[1211],1211,38943
[DIVPOL].[DPA_CANTON].&[1212],1212,30454
[DIVPOL].[DPA_CANTON].&[1213],1213,14313
[DIVPOL].[DPA_CANTON].&[1301],1301,345745
[DIVPOL].[DPA_CANTON].&[1302],1302,23883
[DIVPOL].[DPA_CANTON].&[1303],1303,81584
[DIVPOL].[DPA_CANTON].&[1304],1304,59087
[DIVPOL].[DPA_CANTON].&[1305],1305,9321
[DIVPOL].[DPA_CANTON].&[1306],1306,46429
[DIVPOL].[DPA_CANTON].&[1307],1307,8498
[DIVPOL].[DPA_CANTON].&[1308],1308,299928
[DIVPOL].[DPA_CANTON].&[1309],1309,60650
[DIVPOL].[DPA_CANTON].&[1310],1310,13361
[DIVPOL].[DPA_CANTON].&[1311],1311,7112
[DIVPOL].[DPA_CANTON].&[1312],1312,23846
[DIVPOL].[DPA_CANTON].&[1313],1313,14523
[DIVPOL].[DPA_CANTON].&[1314],1314,40645
[DIVPOL].[DPA_CANTON].&[1315],1315,23247
[DIVPOL].[DPA_CANTON].&[1316],1316,6477
[DIVPOL].[DPA_CANTON].&[1317],1317,49694
[DIVPOL].[DPA_CANTON].&[1318],1318,3112
[DIVPOL].[DPA_CANTON].&[1319],1319,11728
[DIVPOL].[DPA_CANTON].&[1320],1320,6591
[DIVPOL].[DPA_CANTON].&[1321],1321,21233
[DIVPOL].[DPA_CANTON].&[1322],1322,17806
[DIVPOL].[DPA_CANTON].&[1401],1401,139574
[DIVPOL].[DPA_CANTON].&[1402],1402,24720
[DIVPOL].[DPA_CANTON].&[1403],1403,10432
[DIVPOL].[DPA_CANTON].&[1404],1404,15488
