[DIVPOL].[DPA_DESCAN].[DPA_DESCAN].[MEMBER_UNIQUE_NAME],[DIVPOL].[DPA_DESCAN].[DPA_DESCAN].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[DPA_DESCAN].&[24 DE MAYO],24 DE MAYO,6477
[DIVPOL].[DPA_DESCAN].&[AGUARICO],AGUARICO,835
[DIVPOL].[DPA_DESCAN].&[ALAUSI],ALAUSI,21615
[DIVPOL].[DPA_DESCAN].&[ALFREDO BAQUERIZO MORENO],ALFREDO BAQUERIZO MORENO,27014
[DIVPOL].[DPA_DESCAN].&[AMBATO],AMBATO,773731
[DIVPOL].[DPA_DESCAN].&[ANTONIO ANTE],ANTONIO ANTE,64257
[DIVPOL].[DPA_DESCAN].&[ARAJUNO],ARAJUNO,5045
[DIVPOL].[DPA_DESCAN].&[ARCHIDONA],ARCHIDONA,21052
[DIVPOL].[DPA_DESCAN].&[ARENILLAS],ARENILLAS,36586
[DIVPOL].[DPA_DESCAN].&[ATACAMES],ATACAMES,70753
[DIVPOL].[DPA_DESCAN].&[ATAHUALPA],ATAHUALPA,4996
[DIVPOL].[DPA_DESCAN].&[AZOGUES],AZOGUES,101925
[DIVPOL].[DPA_DESCAN].&[BABA],BABA,24530
[DIVPOL].[DPA_DESCAN].&[BABAHOYO],BABAHOYO,293553
[DIVPOL].[DPA_DESCAN].&[BALAO],BALAO,18079
[DIVPOL].[DPA_DESCAN].&[BALSAS],BALSAS,8955
[DIVPOL].[DPA_DESCAN].&[BALZAR],BALZAR,58942
[DIVPOL].[DPA_DESCAN].&[BAÑOS DE AGUA SANTA],BAÑOS DE AGUA SANTA,50090
[DIVPOL].[DPA_DESCAN].&[BIBLIAN],BIBLIAN,17957
[DIVPOL].[DPA_DESCAN].&[BOLIVAR],BOLIVAR,36743
[DIVPOL].[DPA_DESCAN].&[BUENA FE],BUENA FE,97476
[DIVPOL].[DPA_DESCAN].&[CALUMA],CALUMA,25736
[DIVPOL].[DPA_DESCAN].&[CALVAS],CALVAS,22614
[DIVPOL].[DPA_DESCAN].&[CAMILO PONCE ENRIQUEZ],CAMILO PONCE ENRIQUEZ,22526
[DIVPOL].[DPA_DESCAN].&[CAÑAR],CAÑAR,30807
[DIVPOL].[DPA_DESCAN].&[CARLOS JULIO AROSEMENA TOLA],CARLOS JULIO AROSEMENA TOLA,2416
[DIVPOL].[DPA_DESCAN].&[CASCALES],CASCALES,13219
[DIVPOL].[DPA_DESCAN].&[CATAMAYO],CATAMAYO,53233
