[DIVPOL].[DPA_DESPAR].[DPA_DESPAR].[MEMBER_UNIQUE_NAME],[DIVPOL].[DPA_DESPAR].[DPA_DESPAR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[DPA_DESPAR].&[10 DE AGOSTO],10 DE AGOSTO,5174
[DIVPOL].[DPA_DESPAR].&[11 DE NOVIEMBRE (ILINCHISI)],11 DE NOVIEMBRE (ILINCHISI),3079
[DIVPOL].[DPA_DESPAR].&[12 DE DICIEMBRE (CAB. EN ACHIOTES)],12 DE DICIEMBRE (CAB. EN ACHIOTES),533
[DIVPOL].[DPA_DESPAR].&[16 DE AGOSTO],16 DE AGOSTO,1239
[DIVPOL].[DPA_DESPAR].&[27 DE ABRIL (CAB. EN LA NARANJA)],27 DE ABRIL (CAB. EN LA NARANJA),788
[DIVPOL].[DPA_DESPAR].&[28 DE MAYO (SAN JOSE DE YACUAMBI)],28 DE MAYO (SAN JOSE DE YACUAMBI),2569
[DIVPOL].[DPA_DESPAR].&[5 DE JUNIO (CAB. EN UIMBI)],5 DE JUNIO (CAB. EN UIMBI),23
[DIVPOL].[DPA_DESPAR].&[6 DE JULIO DE CUELLAJE (CAB. EN CUELLAJE)],6 DE JULIO DE CUELLAJE (CAB. EN CUELLAJE),300
[DIVPOL].[DPA_DESPAR].&[ABAÑIN],ABAÑIN,184
[DIVPOL].[DPA_DESPAR].&[ABDON CALDERON (LA UNION)],ABDON CALDERON (LA UNION),4539
[DIVPOL].[DPA_DESPAR].&[ABDON CALDERON (SAN FRANCISCO)],ABDON CALDERON (SAN FRANCISCO),7608
[DIVPOL].[DPA_DESPAR].&[ACHUPALLAS],ACHUPALLAS,1730
[DIVPOL].[DPA_DESPAR].&[AGUAS NEGRAS],AGUAS NEGRAS,635
[DIVPOL].[DPA_DESPAR].&[AHUANO],AHUANO,2118
[DIVPOL].[DPA_DESPAR].&[ALAMOR],ALAMOR,9489
[DIVPOL].[DPA_DESPAR].&[ALANGASI],ALANGASI,43887
[DIVPOL].[DPA_DESPAR].&[ALAQUES (ALAQUEZ)],ALAQUES (ALAQUEZ),4357
[DIVPOL].[DPA_DESPAR].&[ALAUSI],ALAUSI,12142
[DIVPOL].[DPA_DESPAR].&[ALEJANDRO LABAKA],ALEJANDRO LABAKA,140
[DIVPOL].[DPA_DESPAR].&[ALFREDO BAQUERIZO MORENO (JUJAN)],ALFREDO BAQUERIZO MORENO (JUJAN),27014
[DIVPOL].[DPA_DESPAR].&[ALHAJUELA (BAJO GRANDE)],ALHAJUELA (BAJO GRANDE),2049
[DIVPOL].[DPA_DESPAR].&[ALLURIQUIN],ALLURIQUIN,12754
[DIVPOL].[DPA_DESPAR].&[ALOAG],ALOAG,28499
[DIVPOL].[DPA_DESPAR].&[ALOASI],ALOASI,22121
[DIVPOL].[DPA_DESPAR].&[ALSHI (CAB EN 9 DE OCTUBRE)],ALSHI (CAB EN 9 DE OCTUBRE),213
[DIVPOL].[DPA_DESPAR].&[ALTO TAMBO (CAB EN GUADUAL)],ALTO TAMBO (CAB EN GUADUAL),540
[DIVPOL].[DPA_DESPAR].&[AMAGUAÑA],AMAGUAÑA,45644
[DIVPOL].[DPA_DESPAR].&[AMALUZA],AMALUZA,4310
[DIVPOL].[DPA_DESPAR].&[AMARILLOS],AMARILLOS,196
[DIVPOL].[DPA_DESPAR].&[AMAZONAS (ROSARIO DE CUYES)],AMAZONAS (ROSARIO DE CUYES),121
[DIVPOL].[DPA_DESPAR].&[AMBATILLO],AMBATILLO,2567
[DIVPOL].[DPA_DESPAR].&[AMBATO],AMBATO,598475
[DIVPOL].[DPA_DESPAR].&[AMBUQUI],AMBUQUI,12436
[DIVPOL].[DPA_DESPAR].&[AMERICA],AMERICA,402
[DIVPOL].[DPA_DESPAR].&[ANCHAYACU],ANCHAYACU,261
[DIVPOL].[DPA_DESPAR].&[ANCON (PICHANGAL) (CAB. EN PALMA REAL)],ANCON (PICHANGAL) (CAB. EN PALMA REAL),36
[DIVPOL].[DPA_DESPAR].&[ANCONCITO],ANCONCITO,11694
[DIVPOL].[DPA_DESPAR].&[ANGAMARCA],ANGAMARCA,456
[DIVPOL].[DPA_DESPAR].&[ANGEL PEDRO GILER (LA ESTANCILLA)],ANGEL PEDRO GILER (LA ESTANCILLA),1860
[DIVPOL].[DPA_DESPAR].&[ANGOCHAGUA],ANGOCHAGUA,1490
[DIVPOL].[DPA_DESPAR].&[ANTONIO JOSE HOLGUIN (SANTA LUCIA)],ANTONIO JOSE HOLGUIN (SANTA LUCIA),1618
[DIVPOL].[DPA_DESPAR].&[ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES)],ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES),4452
[DIVPOL].[DPA_DESPAR].&[APUELA],APUELA,993
[DIVPOL].[DPA_DESPAR].&[ARAJUNO],ARAJUNO,4475
[DIVPOL].[DPA_DESPAR].&[ARAPICOS],ARAPICOS,812
[DIVPOL].[DPA_DESPAR].&[ARCAPAMBA],ARCAPAMBA,430
[DIVPOL].[DPA_DESPAR].&[ARCHIDONA],ARCHIDONA,11330
[DIVPOL].[DPA_DESPAR].&[ARENILLAS],ARENILLAS,29427
[DIVPOL].[DPA_DESPAR].&[ARQ. SIXTO DURAN BALLEN],ARQ. SIXTO DURAN BALLEN,440
[DIVPOL].[DPA_DESPAR].&[ASCAZUBI],ASCAZUBI,6002
[DIVPOL].[DPA_DESPAR].&[ASUNCION],ASUNCION,4219
[DIVPOL].[DPA_DESPAR].&[ASUNCION (ASANCOTO)],ASUNCION (ASANCOTO),1508
[DIVPOL].[DPA_DESPAR].&[ATACAMES],ATACAMES,34922
[DIVPOL].[DPA_DESPAR].&[ATAHUALPA],ATAHUALPA,5219
[DIVPOL].[DPA_DESPAR].&[ATAHUALPA (CAB. EN CAMARONES)],ATAHUALPA (CAB. EN CAMARONES),29
[DIVPOL].[DPA_DESPAR].&[ATAHUALPA (CHISALATA)],ATAHUALPA (CHISALATA),16092
[DIVPOL].[DPA_DESPAR].&[ATAHUALPA (HABASPAMBA)],ATAHUALPA (HABASPAMBA),307
[DIVPOL].[DPA_DESPAR].&[ATUNTAQUI],ATUNTAQUI,41257
[DIVPOL].[DPA_DESPAR].&[AUGUSTO N. MARTINEZ (MUNDUGLEO)],AUGUSTO N. MARTINEZ (MUNDUGLEO),6514
[DIVPOL].[DPA_DESPAR].&[AVILA (CAB. EN HUIRUNO)],AVILA (CAB. EN HUIRUNO),6571
[DIVPOL].[DPA_DESPAR].&[AYACUCHO],AYACUCHO,1991
[DIVPOL].[DPA_DESPAR].&[AYAPAMBA],AYAPAMBA,778
[DIVPOL].[DPA_DESPAR].&[AZOGUES],AZOGUES,78448
[DIVPOL].[DPA_DESPAR].&[BABA],BABA,15328
[DIVPOL].[DPA_DESPAR].&[BABAHOYO],BABAHOYO,240839
[DIVPOL].[DPA_DESPAR].&[BACHILLERO],BACHILLERO,1624
[DIVPOL].[DPA_DESPAR].&[BAEZA],BAEZA,5740
[DIVPOL].[DPA_DESPAR].&[BAHIA DE CARAQUEZ],BAHIA DE CARAQUEZ,23230
[DIVPOL].[DPA_DESPAR].&[BALAO],BALAO,18079
[DIVPOL].[DPA_DESPAR].&[BALSAPAMBA],BALSAPAMBA,6404
[DIVPOL].[DPA_DESPAR].&[BALSAS],BALSAS,7393
[DIVPOL].[DPA_DESPAR].&[BALZAR],BALZAR,58942
[DIVPOL].[DPA_DESPAR].&[BAÑOS],BAÑOS,19993
[DIVPOL].[DPA_DESPAR].&[BAÑOS DE AGUA SANTA],BAÑOS DE AGUA SANTA,40750
[DIVPOL].[DPA_DESPAR].&[BAQUERIZO MORENO],BAQUERIZO MORENO,146
[DIVPOL].[DPA_DESPAR].&[BARBONES (SUCRE)],BARBONES (SUCRE),7672
[DIVPOL].[DPA_DESPAR].&[BARRAGANETE],BARRAGANETE,456
[DIVPOL].[DPA_DESPAR].&[BELISARIO QUEVEDO (GUANAILIN)],BELISARIO QUEVEDO (GUANAILIN),5071
[DIVPOL].[DPA_DESPAR].&[BELLAMARIA],BELLAMARIA,3229
[DIVPOL].[DPA_DESPAR].&[BELLAVISTA],BELLAVISTA,9972
[DIVPOL].[DPA_DESPAR].&[BENITEZ (PACHANLICA)],BENITEZ (PACHANLICA),2386
[DIVPOL].[DPA_DESPAR].&[BERMEJOS],BERMEJOS,52
[DIVPOL].[DPA_DESPAR].&[BIBLIAN],BIBLIAN,13911
[DIVPOL].[DPA_DESPAR].&[BILBAO (CAB. EN QUILLUYACU)],BILBAO (CAB. EN QUILLUYACU),221
[DIVPOL].[DPA_DESPAR].&[BILOVAN],BILOVAN,1756
