[DIVPOL].[DPA_DESPRO].[DPA_DESPRO].[MEMBER_UNIQUE_NAME],[DIVPOL].[DPA_DESPRO].[DPA_DESPRO].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[DPA_DESPRO].&[AZUAY],AZUAY,1256690
[DIVPOL].[DPA_DESPRO].&[BOLIVAR],BOLIVAR,256677
[DIVPOL].[DPA_DESPRO].&[CAÑAR],CAÑAR,245803
[DIVPOL].[DPA_DESPRO].&[CARCHI],CARCHI,276261
[DIVPOL].[DPA_DESPRO].&[CHIMBORAZO],CHIMBORAZO,646663
[DIVPOL].[DPA_DESPRO].&[COTOPAXI],COTOPAXI,488472
[DIVPOL].[DPA_DESPRO].&[EL ORO],EL ORO,1027096
[DIVPOL].[DPA_DESPRO].&[ESMERALDAS],ESMERALDAS,577801
[DIVPOL].[DPA_DESPRO].&[GALAPAGOS],GALAPAGOS,72687
[DIVPOL].[DPA_DESPRO].&[GUAYAS],GUAYAS,5668227
[DIVPOL].[DPA_DESPRO].&[IMBABURA],IMBABURA,807306
[DIVPOL].[DPA_DESPRO].&[LOJA],LOJA,640461
[DIVPOL].[DPA_DESPRO].&[LOS RIOS],LOS RIOS,1087238
[DIVPOL].[DPA_DESPRO].&[MANABI],MANABI,1174500
[DIVPOL].[DPA_DESPRO].&[MORONA SANTIAGO],MORONA SANTIAGO,282424
[DIVPOL].[DPA_DESPRO].&[NAPO],NAPO,126681
[DIVPOL].[DPA_DESPRO].&[ORELLANA],ORELLANA,228462
[DIVPOL].[DPA_DESPRO].&[PASTAZA],PASTAZA,178424
[DIVPOL].[DPA_DESPRO].&[PICHINCHA],PICHINCHA,5636955
[DIVPOL].[DPA_DESPRO].&[SANTA ELENA],SANTA ELENA,353739
[DIVPOL].[DPA_DESPRO].&[SANTO DOMINGO DE LOS TSACHILAS],SANTO DOMINGO DE LOS TSACHILAS,808745
[DIVPOL].[DPA_DESPRO].&[SUCUMBIOS],SUCUMBIOS,321692
[DIVPOL].[DPA_DESPRO].&[TUNGURAHUA],TUNGURAHUA,976765
[DIVPOL].[DPA_DESPRO].&[ZAMORA CHINCHIPE],ZAMORA CHINCHIPE,111473
[DIVPOL].[DPA_DESPRO].&[ZONA NO DELIMITADA],ZONA NO DELIMITADA,5284
[DIVPOL].[DPA_DESPRO].&,,4343
