[DIVPOL].[DPA_PARROQ].[DPA_PARROQ].[MEMBER_UNIQUE_NAME],[DIVPOL].[DPA_PARROQ].[DPA_PARROQ].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[DPA_PARROQ].&[010150],010150,882926
[DIVPOL].[DPA_PARROQ].&[010151],010151,19993
[DIVPOL].[DPA_PARROQ].&[010152],010152,5850
[DIVPOL].[DPA_PARROQ].&[010153],010153,239
[DIVPOL].[DPA_PARROQ].&[010154],010154,2636
[DIVPOL].[DPA_PARROQ].&[010155],010155,4633
[DIVPOL].[DPA_PARROQ].&[010156],010156,5992
[DIVPOL].[DPA_PARROQ].&[010157],010157,6146
[DIVPOL].[DPA_PARROQ].&[010158],010158,7839
[DIVPOL].[DPA_PARROQ].&[010159],010159,1323
[DIVPOL].[DPA_PARROQ].&[010160],010160,8006
[DIVPOL].[DPA_PARROQ].&[010161],010161,3958
[DIVPOL].[DPA_PARROQ].&[010162],010162,29427
[DIVPOL].[DPA_PARROQ].&[010163],010163,10893
[DIVPOL].[DPA_PARROQ].&[010164],010164,4210
[DIVPOL].[DPA_PARROQ].&[010165],010165,13315
[DIVPOL].[DPA_PARROQ].&[010166],010166,2473
[DIVPOL].[DPA_PARROQ].&[010167],010167,15417
[DIVPOL].[DPA_PARROQ].&[010168],010168,8838
[DIVPOL].[DPA_PARROQ].&[010169],010169,17766
[DIVPOL].[DPA_PARROQ].&[010170],010170,25000
[DIVPOL].[DPA_PARROQ].&[010171],010171,4730
[DIVPOL].[DPA_PARROQ].&[010250],010250,10998
[DIVPOL].[DPA_PARROQ].&[010251],010251,2259
[DIVPOL].[DPA_PARROQ].&[010252],010252,366
[DIVPOL].[DPA_PARROQ].&[010350],010350,35201
[DIVPOL].[DPA_PARROQ].&[010352],010352,868
[DIVPOL].[DPA_PARROQ].&[010353],010353,1411
[DIVPOL].[DPA_PARROQ].&[010354],010354,1549
[DIVPOL].[DPA_PARROQ].&[010356],010356,1151
[DIVPOL].[DPA_PARROQ].&[010357],010357,2183
[DIVPOL].[DPA_PARROQ].&[010358],010358,897
[DIVPOL].[DPA_PARROQ].&[010359],010359,1324
[DIVPOL].[DPA_PARROQ].&[010360],010360,635
[DIVPOL].[DPA_PARROQ].&[010450],010450,7098
[DIVPOL].[DPA_PARROQ].&[010451],010451,879
[DIVPOL].[DPA_PARROQ].&[010452],010452,598
[DIVPOL].[DPA_PARROQ].&[010453],010453,813
[DIVPOL].[DPA_PARROQ].&[010550],010550,15584
[DIVPOL].[DPA_PARROQ].&[010552],010552,665
[DIVPOL].[DPA_PARROQ].&[010553],010553,1726
[DIVPOL].[DPA_PARROQ].&[010554],010554,3377
[DIVPOL].[DPA_PARROQ].&[010556],010556,210
[DIVPOL].[DPA_PARROQ].&[010559],010559,3185
[DIVPOL].[DPA_PARROQ].&[010561],010561,511
[DIVPOL].[DPA_PARROQ].&[010562],010562,697
[DIVPOL].[DPA_PARROQ].&[010650],010650,4326
[DIVPOL].[DPA_PARROQ].&[010652],010652,393
[DIVPOL].[DPA_PARROQ].&[010750],010750,1207
[DIVPOL].[DPA_PARROQ].&[010751],010751,210
[DIVPOL].[DPA_PARROQ].&[010850],010850,14398
[DIVPOL].[DPA_PARROQ].&[010851],010851,4539
[DIVPOL].[DPA_PARROQ].&[010853],010853,249
[DIVPOL].[DPA_PARROQ].&[010854],010854,839
[DIVPOL].[DPA_PARROQ].&[010950],010950,9970
[DIVPOL].[DPA_PARROQ].&[010951],010951,1095
[DIVPOL].[DPA_PARROQ].&[010952],010952,1057
