[DIVPOL].[DPA_PROVIN].[DPA_PROVIN].[MEMBER_UNIQUE_NAME],[DIVPOL].[DPA_PROVIN].[DPA_PROVIN].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[DPA_PROVIN].&[01],01,1256690
[DIVPOL].[DPA_PROVIN].&[02],02,256677
[DIVPOL].[DPA_PROVIN].&[03],03,245803
[DIVPOL].[DPA_PROVIN].&[04],04,276261
[DIVPOL].[DPA_PROVIN].&[05],05,488472
[DIVPOL].[DPA_PROVIN].&[06],06,646663
[DIVPOL].[DPA_PROVIN].&[07],07,1027096
[DIVPOL].[DPA_PROVIN].&[08],08,577801
[DIVPOL].[DPA_PROVIN].&[09],09,5668227
[DIVPOL].[DPA_PROVIN].&[10],10,807306
[DIVPOL].[DPA_PROVIN].&[11],11,640461
[DIVPOL].[DPA_PROVIN].&[12],12,1087238
[DIVPOL].[DPA_PROVIN].&[13],13,1174500
[DIVPOL].[DPA_PROVIN].&[14],14,282424
[DIVPOL].[DPA_PROVIN].&[15],15,126681
[DIVPOL].[DPA_PROVIN].&[16],16,178424
[DIVPOL].[DPA_PROVIN].&[17],17,5636955
[DIVPOL].[DPA_PROVIN].&[18],18,976765
[DIVPOL].[DPA_PROVIN].&[19],19,111473
[DIVPOL].[DPA_PROVIN].&[20],20,72687
[DIVPOL].[DPA_PROVIN].&[21],21,321692
[DIVPOL].[DPA_PROVIN].&[22],22,228462
[DIVPOL].[DPA_PROVIN].&[23],23,808745
[DIVPOL].[DPA_PROVIN].&[24],24,353739
[DIVPOL].[DPA_PROVIN].&[90],90,5284
[DIVPOL].[DPA_PROVIN].&,,4343
