[DIVPOL].[NOMPARROQ].[NOMPARROQ].[MEMBER_UNIQUE_NAME],[DIVPOL].[NOMPARROQ].[NOMPARROQ].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[NOMPARROQ].&[10 DE AGOSTO],10 DE AGOSTO,5174
[DIVPOL].[NOMPARROQ].&[11 DE NOVIEMBRE (ILINCHISI)],11 DE NOVIEMBRE (ILINCHISI),3079
[DIVPOL].[NOMPARROQ].&[12 DE DICIEMBRE (CAB.EN ACHIOTES)],12 DE DICIEMBRE (CAB.EN ACHIOTES),533
[DIVPOL].[NOMPARROQ].&[16 DE AGOSTO],16 DE AGOSTO,1239
[DIVPOL].[NOMPARROQ].&[27 DE ABRIL (CAB. EN LA NARANJA)],27 DE ABRIL (CAB. EN LA NARANJA),788
"[DIVPOL].[NOMPARROQ].&[28 DE MAYO (SAN JOSÉ DE YACUAMBI), CABECERA CANTO]","28 DE MAYO (SAN JOSÉ DE YACUAMBI), CABECERA CANTO",2569
[DIVPOL].[NOMPARROQ].&[5 DE JUNIO (CAB. EN UIMBI)],5 DE JUNIO (CAB. EN UIMBI),23
[DIVPOL].[NOMPARROQ].&[6 DE JULIO DE CUELLAJE (CAB. EN CUELLAJE)],6 DE JULIO DE CUELLAJE (CAB. EN CUELLAJE),300
[DIVPOL].[NOMPARROQ].&[ABAÑÍN],ABAÑÍN,184
[DIVPOL].[NOMPARROQ].&[ABDÓN CALDERÓN  (LA UNIÓN)],ABDÓN CALDERÓN  (LA UNIÓN),4539
[DIVPOL].[NOMPARROQ].&[ABDÓN CALDERÓN (SAN FRANCISCO)],ABDÓN CALDERÓN (SAN FRANCISCO),7608
[DIVPOL].[NOMPARROQ].&[ACHUPALLAS],ACHUPALLAS,1730
[DIVPOL].[NOMPARROQ].&[AGUAS NEGRAS],AGUAS NEGRAS,635
[DIVPOL].[NOMPARROQ].&[AHUANO],AHUANO,2118
"[DIVPOL].[NOMPARROQ].&[ALAMOR, CABECERA CANTONAL]","ALAMOR, CABECERA CANTONAL",9489
[DIVPOL].[NOMPARROQ].&[ALANGASÍ],ALANGASÍ,43887
[DIVPOL].[NOMPARROQ].&[ALAQUES (ALÁQUEZ)],ALAQUES (ALÁQUEZ),4357
"[DIVPOL].[NOMPARROQ].&[ALAUSÍ, CABECERA CANTONAL]","ALAUSÍ, CABECERA CANTONAL",12142
[DIVPOL].[NOMPARROQ].&[ALEJANDRO LABAKA],ALEJANDRO LABAKA,140
"[DIVPOL].[NOMPARROQ].&[ALFREDO BAQUERIZO MORENO (JUJÁN), CABECERA CANTON]","ALFREDO BAQUERIZO MORENO (JUJÁN), CABECERA CANTON",27014
[DIVPOL].[NOMPARROQ].&[ALHAJUELA (BAJO GRANDE)],ALHAJUELA (BAJO GRANDE),2049
[DIVPOL].[NOMPARROQ].&[ALLURIQUÍN],ALLURIQUÍN,12754
[DIVPOL].[NOMPARROQ].&[ALÓAG],ALÓAG,28499
