[DIVPOL].[OBJECTID_1].[OBJECTID_1].[MEMBER_UNIQUE_NAME],[DIVPOL].[OBJECTID_1].[OBJECTID_1].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[OBJECTID_1].&[1],1,98330
[DIVPOL].[OBJECTID_1].&[2],2,1525
[DIVPOL].[OBJECTID_1].&[3],3,2116
[DIVPOL].[OBJECTID_1].&[4],4,6024
[DIVPOL].[OBJECTID_1].&[5],5,2372
[DIVPOL].[OBJECTID_1].&[6],6,4614
[DIVPOL].[OBJECTID_1].&[7],7,3065
[DIVPOL].[OBJECTID_1].&[8],8,2325
[DIVPOL].[OBJECTID_1].&[9],9,12172
[DIVPOL].[OBJECTID_1].&[10],10,9025
[DIVPOL].[OBJECTID_1].&[11],11,5277
[DIVPOL].[OBJECTID_1].&[12],12,10294
[DIVPOL].[OBJECTID_1].&[13],13,1508
[DIVPOL].[OBJECTID_1].&[14],14,1662
[DIVPOL].[OBJECTID_1].&[15],15,1277
[DIVPOL].[OBJECTID_1].&[16],16,425
[DIVPOL].[OBJECTID_1].&[17],17,25600
[DIVPOL].[OBJECTID_1].&[18],18,15421
[DIVPOL].[OBJECTID_1].&[19],19,6404
[DIVPOL].[OBJECTID_1].&[20],20,1756
[DIVPOL].[OBJECTID_1].&[21],21,322
[DIVPOL].[OBJECTID_1].&[22],22,4008
[DIVPOL].[OBJECTID_1].&[23],23,1790
[DIVPOL].[OBJECTID_1].&[24],24,1216
[DIVPOL].[OBJECTID_1].&[25],25,25736
[DIVPOL].[OBJECTID_1].&[26],26,12413
[DIVPOL].[OBJECTID_1].&[27],27,160009
[DIVPOL].[OBJECTID_1].&[28],28,3224
[DIVPOL].[OBJECTID_1].&[29],29,14431
[DIVPOL].[OBJECTID_1].&[30],30,2520
[DIVPOL].[OBJECTID_1].&[31],31,451
[DIVPOL].[OBJECTID_1].&[32],32,22
[DIVPOL].[OBJECTID_1].&[33],33,5177
[DIVPOL].[OBJECTID_1].&[34],34,3612
[DIVPOL].[OBJECTID_1].&[35],35,1194
[DIVPOL].[OBJECTID_1].&[36],36,2023
[DIVPOL].[OBJECTID_1].&[37],37,5802
[DIVPOL].[OBJECTID_1].&[38],38,630
[DIVPOL].[OBJECTID_1].&[39],39,4177
[DIVPOL].[OBJECTID_1].&[40],40,564
[DIVPOL].[OBJECTID_1].&[41],41,1214
[DIVPOL].[OBJECTID_1].&[42],42,473
[DIVPOL].[OBJECTID_1].&[43],43,9166
[DIVPOL].[OBJECTID_1].&[44],44,238
[DIVPOL].[OBJECTID_1].&[45],45,1665
[DIVPOL].[OBJECTID_1].&[46],46,2986
[DIVPOL].[OBJECTID_1].&[47],47,7807
[DIVPOL].[OBJECTID_1].&[48],48,1991
[DIVPOL].[OBJECTID_1].&[49],49,529
[DIVPOL].[OBJECTID_1].&[50],50,317
[DIVPOL].[OBJECTID_1].&[51],51,27858
[DIVPOL].[OBJECTID_1].&[52],52,2229
[DIVPOL].[OBJECTID_1].&[53],53,422
[DIVPOL].[OBJECTID_1].&[54],54,397
[DIVPOL].[OBJECTID_1].&[55],55,4812
[DIVPOL].[OBJECTID_1].&[56],56,72
[DIVPOL].[OBJECTID_1].&[57],57,9085
[DIVPOL].[OBJECTID_1].&[58],58,1164
[DIVPOL].[OBJECTID_1].&[59],59,208729
[DIVPOL].[OBJECTID_1].&[60],60,4357
[DIVPOL].[OBJECTID_1].&[61],61,5071
[DIVPOL].[OBJECTID_1].&[62],62,14567
[DIVPOL].[OBJECTID_1].&[63],63,1880
[DIVPOL].[OBJECTID_1].&[64],64,9513
[DIVPOL].[OBJECTID_1].&[65],65,3079
[DIVPOL].[OBJECTID_1].&[66],66,3931
[DIVPOL].[OBJECTID_1].&[67],67,10425
[DIVPOL].[OBJECTID_1].&[68],68,16051
[DIVPOL].[OBJECTID_1].&[69],69,4293
[DIVPOL].[OBJECTID_1].&[70],70,50996
[DIVPOL].[OBJECTID_1].&[71],71,2294
[DIVPOL].[OBJECTID_1].&[72],72,591
[DIVPOL].[OBJECTID_1].&[73],73,3815
[DIVPOL].[OBJECTID_1].&[74],74,6246
[DIVPOL].[OBJECTID_1].&[75],75,87
[DIVPOL].[OBJECTID_1].&[76],76,290
[DIVPOL].[OBJECTID_1].&[77],77,37182
[DIVPOL].[OBJECTID_1].&[78],78,456
[DIVPOL].[OBJECTID_1].&[79],79,1091
[DIVPOL].[OBJECTID_1].&[80],80,2149
[DIVPOL].[OBJECTID_1].&[81],81,947
[DIVPOL].[OBJECTID_1].&[82],82,1416
[DIVPOL].[OBJECTID_1].&[83],83,3489
[DIVPOL].[OBJECTID_1].&[84],84,46645
[DIVPOL].[OBJECTID_1].&[85],85,1618
[DIVPOL].[OBJECTID_1].&[86],86,1836
[DIVPOL].[OBJECTID_1].&[87],87,3770
[DIVPOL].[OBJECTID_1].&[88],88,2264
[DIVPOL].[OBJECTID_1].&[89],89,8001
[DIVPOL].[OBJECTID_1].&[90],90,20131
[DIVPOL].[OBJECTID_1].&[91],91,576
[DIVPOL].[OBJECTID_1].&[92],92,1087
[DIVPOL].[OBJECTID_1].&[93],93,411
[DIVPOL].[OBJECTID_1].&[94],94,6694
[DIVPOL].[OBJECTID_1].&[95],95,1283
[DIVPOL].[OBJECTID_1].&[96],96,498
[DIVPOL].[OBJECTID_1].&[97],97,593
[DIVPOL].[OBJECTID_1].&[98],98,120
[DIVPOL].[OBJECTID_1].&[99],99,453392
[DIVPOL].[OBJECTID_1].&[100],100,589
[DIVPOL].[OBJECTID_1].&[101],101,5864
[DIVPOL].[OBJECTID_1].&[102],102,1983
[DIVPOL].[OBJECTID_1].&[103],103,579
[DIVPOL].[OBJECTID_1].&[104],104,2819
[DIVPOL].[OBJECTID_1].&[105],105,1389
[DIVPOL].[OBJECTID_1].&[106],106,1814
[DIVPOL].[OBJECTID_1].&[107],107,1901
[DIVPOL].[OBJECTID_1].&[108],108,3996
