[DIVPOL].[OBJECTID].[OBJECTID].[MEMBER_UNIQUE_NAME],[DIVPOL].[OBJECTID].[OBJECTID].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[OBJECTID].&[1.],1,98330
[DIVPOL].[OBJECTID].&[2.],2,1525
[DIVPOL].[OBJECTID].&[3.],3,2116
[DIVPOL].[OBJECTID].&[4.],4,6024
[DIVPOL].[OBJECTID].&[5.],5,2372
[DIVPOL].[OBJECTID].&[6.],6,4614
[DIVPOL].[OBJECTID].&[7.],7,3065
[DIVPOL].[OBJECTID].&[8.],8,2325
[DIVPOL].[OBJECTID].&[9.],9,12172
[DIVPOL].[OBJECTID].&[1.E1],10,9025
[DIVPOL].[OBJECTID].&[1.1E1],11,5277
[DIVPOL].[OBJECTID].&[1.2E1],12,10294
[DIVPOL].[OBJECTID].&[1.3E1],13,1508
[DIVPOL].[OBJECTID].&[1.4E1],14,1662
[DIVPOL].[OBJECTID].&[1.5E1],15,1277
[DIVPOL].[OBJECTID].&[1.6E1],16,425
[DIVPOL].[OBJECTID].&[1.7E1],17,25600
[DIVPOL].[OBJECTID].&[1.8E1],18,15421
[DIVPOL].[OBJECTID].&[1.9E1],19,6404
[DIVPOL].[OBJECTID].&[2.E1],20,1756
[DIVPOL].[OBJECTID].&[2.1E1],21,322
[DIVPOL].[OBJECTID].&[2.2E1],22,4008
[DIVPOL].[OBJECTID].&[2.3E1],23,1790
[DIVPOL].[OBJECTID].&[2.4E1],24,1216
[DIVPOL].[OBJECTID].&[2.5E1],25,25736
[DIVPOL].[OBJECTID].&[2.6E1],26,12413
[DIVPOL].[OBJECTID].&[2.7E1],27,160009
[DIVPOL].[OBJECTID].&[2.8E1],28,3224
[DIVPOL].[OBJECTID].&[2.9E1],29,14431
[DIVPOL].[OBJECTID].&[3.E1],30,2520
[DIVPOL].[OBJECTID].&[3.1E1],31,451
[DIVPOL].[OBJECTID].&[3.2E1],32,22
[DIVPOL].[OBJECTID].&[3.3E1],33,5177
[DIVPOL].[OBJECTID].&[3.4E1],34,3612
[DIVPOL].[OBJECTID].&[3.5E1],35,1194
[DIVPOL].[OBJECTID].&[3.6E1],36,2023
[DIVPOL].[OBJECTID].&[3.7E1],37,5802
[DIVPOL].[OBJECTID].&[3.8E1],38,630
[DIVPOL].[OBJECTID].&[3.9E1],39,4177
[DIVPOL].[OBJECTID].&[4.E1],40,564
[DIVPOL].[OBJECTID].&[4.1E1],41,1214
[DIVPOL].[OBJECTID].&[4.2E1],42,473
[DIVPOL].[OBJECTID].&[4.3E1],43,9166
[DIVPOL].[OBJECTID].&[4.4E1],44,238
[DIVPOL].[OBJECTID].&[4.5E1],45,1665
[DIVPOL].[OBJECTID].&[4.6E1],46,2986
[DIVPOL].[OBJECTID].&[4.7E1],47,7807
[DIVPOL].[OBJECTID].&[4.8E1],48,1991
[DIVPOL].[OBJECTID].&[4.9E1],49,529
[DIVPOL].[OBJECTID].&[5.E1],50,317
[DIVPOL].[OBJECTID].&[5.1E1],51,27858
[DIVPOL].[OBJECTID].&[5.2E1],52,2229
[DIVPOL].[OBJECTID].&[5.3E1],53,422
[DIVPOL].[OBJECTID].&[5.4E1],54,397
[DIVPOL].[OBJECTID].&[5.5E1],55,4812
[DIVPOL].[OBJECTID].&[5.6E1],56,72
[DIVPOL].[OBJECTID].&[5.7E1],57,9085
[DIVPOL].[OBJECTID].&[5.8E1],58,1164
[DIVPOL].[OBJECTID].&[5.9E1],59,208729
[DIVPOL].[OBJECTID].&[6.E1],60,4357
[DIVPOL].[OBJECTID].&[6.1E1],61,5071
[DIVPOL].[OBJECTID].&[6.2E1],62,14567
[DIVPOL].[OBJECTID].&[6.3E1],63,1880
[DIVPOL].[OBJECTID].&[6.4E1],64,9513
[DIVPOL].[OBJECTID].&[6.5E1],65,3079
[DIVPOL].[OBJECTID].&[6.6E1],66,3931
[DIVPOL].[OBJECTID].&[6.7E1],67,10425
[DIVPOL].[OBJECTID].&[6.8E1],68,16051
[DIVPOL].[OBJECTID].&[6.9E1],69,4293
[DIVPOL].[OBJECTID].&[7.E1],70,50996
[DIVPOL].[OBJECTID].&[7.1E1],71,2294
[DIVPOL].[OBJECTID].&[7.2E1],72,591
[DIVPOL].[OBJECTID].&[7.3E1],73,3815
[DIVPOL].[OBJECTID].&[7.4E1],74,6246
[DIVPOL].[OBJECTID].&[7.5E1],75,87
[DIVPOL].[OBJECTID].&[7.6E1],76,290
[DIVPOL].[OBJECTID].&[7.7E1],77,37182
[DIVPOL].[OBJECTID].&[7.8E1],78,456
[DIVPOL].[OBJECTID].&[7.9E1],79,1091
[DIVPOL].[OBJECTID].&[8.E1],80,2149
[DIVPOL].[OBJECTID].&[8.1E1],81,947
[DIVPOL].[OBJECTID].&[8.2E1],82,1416
[DIVPOL].[OBJECTID].&[8.3E1],83,3489
[DIVPOL].[OBJECTID].&[8.4E1],84,46645
[DIVPOL].[OBJECTID].&[8.5E1],85,1618
[DIVPOL].[OBJECTID].&[8.6E1],86,1836
[DIVPOL].[OBJECTID].&[8.7E1],87,3770
[DIVPOL].[OBJECTID].&[8.8E1],88,2264
[DIVPOL].[OBJECTID].&[8.9E1],89,8001
[DIVPOL].[OBJECTID].&[9.E1],90,20131
[DIVPOL].[OBJECTID].&[9.1E1],91,576
[DIVPOL].[OBJECTID].&[9.2E1],92,1087
[DIVPOL].[OBJECTID].&[9.3E1],93,411
[DIVPOL].[OBJECTID].&[9.4E1],94,6694
[DIVPOL].[OBJECTID].&[9.5E1],95,1283
[DIVPOL].[OBJECTID].&[9.6E1],96,498
[DIVPOL].[OBJECTID].&[9.7E1],97,593
[DIVPOL].[OBJECTID].&[9.8E1],98,120
[DIVPOL].[OBJECTID].&[9.9E1],99,453392
[DIVPOL].[OBJECTID].&[1.E2],100,589
[DIVPOL].[OBJECTID].&[1.01E2],101,5864
[DIVPOL].[OBJECTID].&[1.02E2],102,1983
[DIVPOL].[OBJECTID].&[1.03E2],103,579
[DIVPOL].[OBJECTID].&[1.04E2],104,2819
[DIVPOL].[OBJECTID].&[1.05E2],105,1389
[DIVPOL].[OBJECTID].&[1.06E2],106,1814
[DIVPOL].[OBJECTID].&[1.07E2],107,1901
[DIVPOL].[OBJECTID].&[1.08E2],108,3996
[DIVPOL].[OBJECTID].&[1.09E2],109,15543
[DIVPOL].[OBJECTID].&[1.1E2],110,12142
[DIVPOL].[OBJECTID].&[1.11E2],111,1730
[DIVPOL].[OBJECTID].&[1.12E2],112,666
[DIVPOL].[OBJECTID].&[1.13E2],113,1315
