[DIVPOL].[SHAPE_LENG].[SHAPE_LENG].[MEMBER_UNIQUE_NAME],[DIVPOL].[SHAPE_LENG].[SHAPE_LENG].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[SHAPE_LENG].&[7.190967E-2],"0,07190967",367
[DIVPOL].[SHAPE_LENG].&[8.292246E-2],"0,08292246",1002
[DIVPOL].[SHAPE_LENG].&[9.037304E-2],"0,09037304",133
[DIVPOL].[SHAPE_LENG].&[9.42619E-2],"0,0942619",26590
[DIVPOL].[SHAPE_LENG].&[1.0752664E-1],"0,10752664",1087
[DIVPOL].[SHAPE_LENG].&[1.0837475E-1],"0,10837475",1618
[DIVPOL].[SHAPE_LENG].&[1.1113298E-1],"0,11113298",888
[DIVPOL].[SHAPE_LENG].&[1.166157E-1],"0,1166157",536
[DIVPOL].[SHAPE_LENG].&[1.1683941E-1],"0,11683941",181
[DIVPOL].[SHAPE_LENG].&[1.1916902E-1],"0,11916902",3079
[DIVPOL].[SHAPE_LENG].&[1.2387204E-1],"0,12387204",4390
[DIVPOL].[SHAPE_LENG].&[1.251414E-1],"0,1251414",545
[DIVPOL].[SHAPE_LENG].&[1.2562246E-1],"0,12562246",16092
[DIVPOL].[SHAPE_LENG].&[1.2646123E-1],"0,12646123",365
[DIVPOL].[SHAPE_LENG].&[1.2821344E-1],"0,12821344",2386
[DIVPOL].[SHAPE_LENG].&[1.2938679E-1],"0,12938679",1929
[DIVPOL].[SHAPE_LENG].&[1.325074E-1],"0,1325074",1317
[DIVPOL].[SHAPE_LENG].&[1.3720582E-1],"0,13720582",6877
[DIVPOL].[SHAPE_LENG].&[1.4078639E-1],"0,14078639",238
[DIVPOL].[SHAPE_LENG].&[1.4267976E-1],"0,14267976",16034
[DIVPOL].[SHAPE_LENG].&[1.4403419E-1],"0,14403419",53
[DIVPOL].[SHAPE_LENG].&[1.4596673E-1],"0,14596673",1163
[DIVPOL].[SHAPE_LENG].&[1.4876654E-1],"0,14876654",29427
[DIVPOL].[SHAPE_LENG].&[1.5238251E-1],"0,15238251",22218
[DIVPOL].[SHAPE_LENG].&[1.5409501E-1],"0,15409501",13915
[DIVPOL].[SHAPE_LENG].&[1.5445363E-1],"0,15445363",1569
[DIVPOL].[SHAPE_LENG].&[1.5689702E-1],"0,15689702",78
[DIVPOL].[SHAPE_LENG].&[1.5736636E-1],"0,15736636",4182
[DIVPOL].[SHAPE_LENG].&[1.5830351E-1],"0,15830351",1066
[DIVPOL].[SHAPE_LENG].&[1.6057438E-1],"0,16057438",430
[DIVPOL].[SHAPE_LENG].&[1.6231774E-1],"0,16231774",1645
[DIVPOL].[SHAPE_LENG].&[1.6305665E-1],"0,16305665",6677
[DIVPOL].[SHAPE_LENG].&[1.6317087E-1],"0,16317087",1277
[DIVPOL].[SHAPE_LENG].&[1.638519E-1],"0,1638519",1983
[DIVPOL].[SHAPE_LENG].&[1.6484467E-1],"0,16484467",120
[DIVPOL].[SHAPE_LENG].&[1.6747703E-1],"0,16747703",3832
[DIVPOL].[SHAPE_LENG].&[1.7278291E-1],"0,17278291",1856
[DIVPOL].[SHAPE_LENG].&[1.7419835E-1],"0,17419835",345
[DIVPOL].[SHAPE_LENG].&[1.745221E-1],"0,1745221",2104
[DIVPOL].[SHAPE_LENG].&[1.7467983E-1],"0,17467983",11694
[DIVPOL].[SHAPE_LENG].&[1.7482915E-1],"0,17482915",2712
[DIVPOL].[SHAPE_LENG].&[1.7523654E-1],"0,17523654",29427
[DIVPOL].[SHAPE_LENG].&[1.7536242E-1],"0,17536242",276
[DIVPOL].[SHAPE_LENG].&[1.7536523E-1],"0,17536523",138
[DIVPOL].[SHAPE_LENG].&[1.7577516E-1],"0,17577516",2149
[DIVPOL].[SHAPE_LENG].&[1.7597543E-1],"0,17597543",514
[DIVPOL].[SHAPE_LENG].&[1.7609559E-1],"0,17609559",12040
[DIVPOL].[SHAPE_LENG].&[1.7627533E-1],"0,17627533",2843
[DIVPOL].[SHAPE_LENG].&[1.7754852E-1],"0,17754852",3033
[DIVPOL].[SHAPE_LENG].&[1.7881751E-1],"0,17881751",1048
[DIVPOL].[SHAPE_LENG].&[1.7967502E-1],"0,17967502",3510
[DIVPOL].[SHAPE_LENG].&[1.8008327E-1],"0,18008327",5614
[DIVPOL].[SHAPE_LENG].&[1.8024202E-1],"0,18024202",3185
[DIVPOL].[SHAPE_LENG].&[1.8086644E-1],"0,18086644",723
[DIVPOL].[SHAPE_LENG].&[1.8318444E-1],"0,18318444",3645
[DIVPOL].[SHAPE_LENG].&[1.8616081E-1],"0,18616081",25094
[DIVPOL].[SHAPE_LENG].&[1.8919201E-1],"0,18919201",2473
[DIVPOL].[SHAPE_LENG].&[1.9001419E-1],"0,19001419",1323
[DIVPOL].[SHAPE_LENG].&[1.9115289E-1],"0,19115289",7311
[DIVPOL].[SHAPE_LENG].&[1.9302027E-1],"0,19302027",218
[DIVPOL].[SHAPE_LENG].&[1.9385337E-1],"0,19385337",2567
[DIVPOL].[SHAPE_LENG].&[1.9632325E-1],"0,19632325",956
[DIVPOL].[SHAPE_LENG].&[1.9693335E-1],"0,19693335",3377
[DIVPOL].[SHAPE_LENG].&[1.9774689E-1],"0,19774689",196
[DIVPOL].[SHAPE_LENG].&[1.9908496E-1],"0,19908496",1888
[DIVPOL].[SHAPE_LENG].&[1.9960585E-1],"0,19960585",1880
[DIVPOL].[SHAPE_LENG].&[1.9965433E-1],"0,19965433",2472
[DIVPOL].[SHAPE_LENG].&[2.0028909E-1],"0,20028909",72
[DIVPOL].[SHAPE_LENG].&[2.0112076E-1],"0,20112076",451
[DIVPOL].[SHAPE_LENG].&[2.0150447E-1],"0,20150447",5380
[DIVPOL].[SHAPE_LENG].&[2.0246665E-1],"0,20246665",1443
[DIVPOL].[SHAPE_LENG].&[2.0417958E-1],"0,20417958",437
[DIVPOL].[SHAPE_LENG].&[2.0665701E-1],"0,20665701",1633
[DIVPOL].[SHAPE_LENG].&[2.0707159E-1],"0,20707159",221
[DIVPOL].[SHAPE_LENG].&[2.1112623E-1],"0,21112623",93
[DIVPOL].[SHAPE_LENG].&[2.129268E-1],"0,2129268",150
[DIVPOL].[SHAPE_LENG].&[2.1343137E-1],"0,21343137",17766
[DIVPOL].[SHAPE_LENG].&[2.1574431E-1],"0,21574431",1726
[DIVPOL].[SHAPE_LENG].&[2.1595898E-1],"0,21595898",5697
[DIVPOL].[SHAPE_LENG].&[2.1643141E-1],"0,21643141",103
[DIVPOL].[SHAPE_LENG].&[2.1831426E-1],"0,21831426",868
[DIVPOL].[SHAPE_LENG].&[2.1859544E-1],"0,21859544",635
[DIVPOL].[SHAPE_LENG].&[2.188322E-1],"0,2188322",1562
[DIVPOL].[SHAPE_LENG].&[2.1903696E-1],"0,21903696",10294
[DIVPOL].[SHAPE_LENG].&[2.2177588E-1],"0,22177588",635
[DIVPOL].[SHAPE_LENG].&[2.2244324E-1],"0,22244324",1325
[DIVPOL].[SHAPE_LENG].&[2.2287662E-1],"0,22287662",146
[DIVPOL].[SHAPE_LENG].&[2.2470821E-1],"0,22470821",5128
[DIVPOL].[SHAPE_LENG].&[2.286426E-1],"0,2286426",589
[DIVPOL].[SHAPE_LENG].&[2.2864647E-1],"0,22864647",8006
[DIVPOL].[SHAPE_LENG].&[2.2962494E-1],"0,22962494",744
[DIVPOL].[SHAPE_LENG].&[2.2980507E-1],"0,22980507",21588
[DIVPOL].[SHAPE_LENG].&[2.3042237E-1],"0,23042237",118755
[DIVPOL].[SHAPE_LENG].&[2.327647E-1],"0,2327647",8556
[DIVPOL].[SHAPE_LENG].&[2.3309938E-1],"0,23309938",900
[DIVPOL].[SHAPE_LENG].&[2.3326714E-1],"0,23326714",2049
[DIVPOL].[SHAPE_LENG].&[2.3330013E-1],"0,23330013",2023
[DIVPOL].[SHAPE_LENG].&[2.3356791E-1],"0,23356791",382
[DIVPOL].[SHAPE_LENG].&[2.3591873E-1],"0,23591873",5992
[DIVPOL].[SHAPE_LENG].&[2.3654346E-1],"0,23654346",49
[DIVPOL].[SHAPE_LENG].&[2.3814572E-1],"0,23814572",250
[DIVPOL].[SHAPE_LENG].&[2.3945384E-1],"0,23945384",4084
[DIVPOL].[SHAPE_LENG].&[2.3978385E-1],"0,23978385",3503
[DIVPOL].[SHAPE_LENG].&[2.3998043E-1],"0,23998043",11914
[DIVPOL].[SHAPE_LENG].&[2.4087754E-1],"0,24087754",8830
[DIVPOL].[SHAPE_LENG].&[2.4157307E-1],"0,24157307",15417
[DIVPOL].[SHAPE_LENG].&[2.416872E-1],"0,2416872",168
[DIVPOL].[SHAPE_LENG].&[2.4177467E-1],"0,24177467",210
[DIVPOL].[SHAPE_LENG].&[2.4310119E-1],"0,24310119",112
[DIVPOL].[SHAPE_LENG].&[2.4316115E-1],"0,24316115",7875
[DIVPOL].[SHAPE_LENG].&[2.469894E-1],"0,2469894",1150
[DIVPOL].[SHAPE_LENG].&[2.494331E-1],"0,2494331",3065
[DIVPOL].[SHAPE_LENG].&[2.4992876E-1],"0,24992876",12257
[DIVPOL].[SHAPE_LENG].&[2.5062468E-1],"0,25062468",744
[DIVPOL].[SHAPE_LENG].&[2.5111169E-1],"0,25111169",51986
[DIVPOL].[SHAPE_LENG].&[2.5209827E-1],"0,25209827",237
[DIVPOL].[SHAPE_LENG].&[2.5226083E-1],"0,25226083",2197
[DIVPOL].[SHAPE_LENG].&[2.52789E-1],"0,252789",2183
[DIVPOL].[SHAPE_LENG].&[2.5404604E-1],"0,25404604",11378
[DIVPOL].[SHAPE_LENG].&[2.5416639E-1],"0,25416639",980
[DIVPOL].[SHAPE_LENG].&[2.5742914E-1],"0,25742914",15603
[DIVPOL].[SHAPE_LENG].&[2.5746601E-1],"0,25746601",648
[DIVPOL].[SHAPE_LENG].&[2.5894163E-1],"0,25894163",1648
[DIVPOL].[SHAPE_LENG].&[2.5998963E-1],"0,25998963",60
[DIVPOL].[SHAPE_LENG].&[2.6109416E-1],"0,26109416",1593
[DIVPOL].[SHAPE_LENG].&[2.6111475E-1],"0,26111475",423
[DIVPOL].[SHAPE_LENG].&[2.6197379E-1],"0,26197379",69271
[DIVPOL].[SHAPE_LENG].&[2.6291913E-1],"0,26291913",8910
[DIVPOL].[SHAPE_LENG].&[2.6390726E-1],"0,26390726",10018
[DIVPOL].[SHAPE_LENG].&[2.6394931E-1],"0,26394931",665
[DIVPOL].[SHAPE_LENG].&[2.6519168E-1],"0,26519168",666
[DIVPOL].[SHAPE_LENG].&[2.6622857E-1],"0,26622857",6002
[DIVPOL].[SHAPE_LENG].&[2.6753747E-1],"0,26753747",654
[DIVPOL].[SHAPE_LENG].&[2.6942689E-1],"0,26942689",43887
[DIVPOL].[SHAPE_LENG].&[2.6967293E-1],"0,26967293",567
[DIVPOL].[SHAPE_LENG].&[2.7059889E-1],"0,27059889",8044
[DIVPOL].[SHAPE_LENG].&[2.7093198E-1],"0,27093198",579
[DIVPOL].[SHAPE_LENG].&[2.7108301E-1],"0,27108301",28007
[DIVPOL].[SHAPE_LENG].&[2.7176614E-1],"0,27176614",30566
[DIVPOL].[SHAPE_LENG].&[2.7179534E-1],"0,27179534",311
[DIVPOL].[SHAPE_LENG].&[2.7214117E-1],"0,27214117",15543
[DIVPOL].[SHAPE_LENG].&[2.7276478E-1],"0,27276478",251
[DIVPOL].[SHAPE_LENG].&[2.7302316E-1],"0,27302316",8001
[DIVPOL].[SHAPE_LENG].&[2.7420645E-1],"0,27420645",645
[DIVPOL].[SHAPE_LENG].&[2.7441473E-1],"0,27441473",11759
[DIVPOL].[SHAPE_LENG].&[2.7550649E-1],"0,27550649",1216
[DIVPOL].[SHAPE_LENG].&[2.7568503E-1],"0,27568503",222
[DIVPOL].[SHAPE_LENG].&[2.7696557E-1],"0,27696557",727
[DIVPOL].[SHAPE_LENG].&[2.7767058E-1],"0,27767058",169
[DIVPOL].[SHAPE_LENG].&[2.792917E-1],"0,2792917",7839
[DIVPOL].[SHAPE_LENG].&[2.8107054E-1],"0,28107054",1508
[DIVPOL].[SHAPE_LENG].&[2.8338947E-1],"0,28338947",746
[DIVPOL].[SHAPE_LENG].&[2.8382943E-1],"0,28382943",511
[DIVPOL].[SHAPE_LENG].&[2.8419846E-1],"0,28419846",120
[DIVPOL].[SHAPE_LENG].&[2.8517568E-1],"0,28517568",31808
[DIVPOL].[SHAPE_LENG].&[2.8608341E-1],"0,28608341",389
[DIVPOL].[SHAPE_LENG].&[2.8616421E-1],"0,28616421",220
[DIVPOL].[SHAPE_LENG].&[2.8649252E-1],"0,28649252",473
[DIVPOL].[SHAPE_LENG].&[2.875902E-1],"0,2875902",697
[DIVPOL].[SHAPE_LENG].&[2.8827133E-1],"0,28827133",826
[DIVPOL].[SHAPE_LENG].&[2.8944937E-1],"0,28944937",5862
[DIVPOL].[SHAPE_LENG].&[2.9085178E-1],"0,29085178",1549
[DIVPOL].[SHAPE_LENG].&[2.9092541E-1],"0,29092541",2264
[DIVPOL].[SHAPE_LENG].&[2.9226531E-1],"0,29226531",210
[DIVPOL].[SHAPE_LENG].&[2.9239553E-1],"0,29239553",3612
[DIVPOL].[SHAPE_LENG].&[2.9261983E-1],"0,29261983",3770
[DIVPOL].[SHAPE_LENG].&[2.9264976E-1],"0,29264976",1814
[DIVPOL].[SHAPE_LENG].&[2.9269716E-1],"0,29269716",1151
[DIVPOL].[SHAPE_LENG].&[2.9396066E-1],"0,29396066",443
[DIVPOL].[SHAPE_LENG].&[2.9499675E-1],"0,29499675",156923
[DIVPOL].[SHAPE_LENG].&[2.9609363E-1],"0,29609363",24450
[DIVPOL].[SHAPE_LENG].&[2.9725456E-1],"0,29725456",87
[DIVPOL].[SHAPE_LENG].&[2.9773342E-1],"0,29773342",1763
[DIVPOL].[SHAPE_LENG].&[2.9788068E-1],"0,29788068",14567
[DIVPOL].[SHAPE_LENG].&[2.9972685E-1],"0,29972685",8751
[DIVPOL].[SHAPE_LENG].&[2.9991428E-1],"0,29991428",8528
[DIVPOL].[SHAPE_LENG].&[3.020382E-1],"0,3020382",1252
[DIVPOL].[SHAPE_LENG].&[3.024927E-1],"0,3024927",3212
[DIVPOL].[SHAPE_LENG].&[3.0326022E-1],"0,30326022",6811
[DIVPOL].[SHAPE_LENG].&[3.0636616E-1],"0,30636616",4001
[DIVPOL].[SHAPE_LENG].&[3.0725266E-1],"0,30725266",1909
[DIVPOL].[SHAPE_LENG].&[3.0784966E-1],"0,30784966",569
[DIVPOL].[SHAPE_LENG].&[3.0834778E-1],"0,30834778",25000
[DIVPOL].[SHAPE_LENG].&[3.0903574E-1],"0,30903574",1233
[DIVPOL].[SHAPE_LENG].&[3.1182529E-1],"0,31182529",897
[DIVPOL].[SHAPE_LENG].&[3.1296978E-1],"0,31296978",2758
[DIVPOL].[SHAPE_LENG].&[3.1372015E-1],"0,31372015",788
[DIVPOL].[SHAPE_LENG].&[3.1492177E-1],"0,31492177",1214
[DIVPOL].[SHAPE_LENG].&[3.1613179E-1],"0,31613179",1411
[DIVPOL].[SHAPE_LENG].&[3.1643075E-1],"0,31643075",491
[DIVPOL].[SHAPE_LENG].&[3.1715785E-1],"0,31715785",381
[DIVPOL].[SHAPE_LENG].&[3.1722081E-1],"0,31722081",66078
[DIVPOL].[SHAPE_LENG].&[3.1743724E-1],"0,31743724",255
[DIVPOL].[SHAPE_LENG].&[3.184929E-1],"0,3184929",1034
[DIVPOL].[SHAPE_LENG].&[3.185958E-1],"0,3185958",18245
[DIVPOL].[SHAPE_LENG].&[3.1970979E-1],"0,31970979",23338
[DIVPOL].[SHAPE_LENG].&[3.2114735E-1],"0,32114735",4164
[DIVPOL].[SHAPE_LENG].&[3.2275668E-1],"0,32275668",2982
[DIVPOL].[SHAPE_LENG].&[3.2290543E-1],"0,32290543",140
[DIVPOL].[SHAPE_LENG].&[3.2300666E-1],"0,32300666",4774
[DIVPOL].[SHAPE_LENG].&[3.2404737E-1],"0,32404737",130
[DIVPOL].[SHAPE_LENG].&[3.2425089E-1],"0,32425089",10031
[DIVPOL].[SHAPE_LENG].&[3.2489839E-1],"0,32489839",2957
[DIVPOL].[SHAPE_LENG].&[3.2491721E-1],"0,32491721",1164
[DIVPOL].[SHAPE_LENG].&[3.2618955E-1],"0,32618955",306
[DIVPOL].[SHAPE_LENG].&[3.270465E-1],"0,3270465",372
[DIVPOL].[SHAPE_LENG].&[3.2932418E-1],"0,32932418",4177
[DIVPOL].[SHAPE_LENG].&[3.2991538E-1],"0,32991538",512
[DIVPOL].[SHAPE_LENG].&[3.3007656E-1],"0,33007656",850
[DIVPOL].[SHAPE_LENG].&[3.3124507E-1],"0,33124507",28120
[DIVPOL].[SHAPE_LENG].&[3.3180538E-1],"0,33180538",393
[DIVPOL].[SHAPE_LENG].&[3.3206196E-1],"0,33206196",201
[DIVPOL].[SHAPE_LENG].&[3.3293542E-1],"0,33293542",366
[DIVPOL].[SHAPE_LENG].&[3.3299598E-1],"0,33299598",319
[DIVPOL].[SHAPE_LENG].&[3.3367606E-1],"0,33367606",62
[DIVPOL].[SHAPE_LENG].&[3.3401489E-1],"0,33401489",294
[DIVPOL].[SHAPE_LENG].&[3.3449231E-1],"0,33449231",13723
[DIVPOL].[SHAPE_LENG].&[3.3467944E-1],"0,33467944",420
[DIVPOL].[SHAPE_LENG].&[3.3675443E-1],"0,33675443",35201
[DIVPOL].[SHAPE_LENG].&[3.398219E-1],"0,3398219",4079
[DIVPOL].[SHAPE_LENG].&[3.4155135E-1],"0,34155135",331
[DIVPOL].[SHAPE_LENG].&[3.4285254E-1],"0,34285254",107335
[DIVPOL].[SHAPE_LENG].&[3.4577326E-1],"0,34577326",2229
[DIVPOL].[SHAPE_LENG].&[3.458482E-1],"0,3458482",1424
[DIVPOL].[SHAPE_LENG].&[3.4646309E-1],"0,34646309",184
[DIVPOL].[SHAPE_LENG].&[3.4705444E-1],"0,34705444",349
[DIVPOL].[SHAPE_LENG].&[3.4831206E-1],"0,34831206",1662
[DIVPOL].[SHAPE_LENG].&[3.4841284E-1],"0,34841284",5071
[DIVPOL].[SHAPE_LENG].&[3.4843045E-1],"0,34843045",4203
[DIVPOL].[SHAPE_LENG].&[3.4875533E-1],"0,34875533",3713
[DIVPOL].[SHAPE_LENG].&[3.4896928E-1],"0,34896928",15584
[DIVPOL].[SHAPE_LENG].&[3.5063953E-1],"0,35063953",7682
[DIVPOL].[SHAPE_LENG].&[3.50896E-1],"0,350896",427
[DIVPOL].[SHAPE_LENG].&[3.5308705E-1],"0,35308705",49
[DIVPOL].[SHAPE_LENG].&[3.5308965E-1],"0,35308965",41257
[DIVPOL].[SHAPE_LENG].&[3.5354262E-1],"0,35354262",579
[DIVPOL].[SHAPE_LENG].&[3.5488176E-1],"0,35488176",4800
[DIVPOL].[SHAPE_LENG].&[3.5572567E-1],"0,35572567",1404
[DIVPOL].[SHAPE_LENG].&[3.5572609E-1],"0,35572609",839
[DIVPOL].[SHAPE_LENG].&[3.5593612E-1],"0,35593612",6514
[DIVPOL].[SHAPE_LENG].&[3.5744118E-1],"0,35744118",296
[DIVPOL].[SHAPE_LENG].&[3.5824185E-1],"0,35824185",422
[DIVPOL].[SHAPE_LENG].&[3.5843239E-1],"0,35843239",598475
[DIVPOL].[SHAPE_LENG].&[3.600761E-1],"0,3600761",20131
[DIVPOL].[SHAPE_LENG].&[3.6051911E-1],"0,36051911",798
