[DIVPOL].[ZONA].[ZONA].[MEMBER_UNIQUE_NAME],[DIVPOL].[ZONA].[ZONA].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[ZONA].&[ZONA 1],ZONA 1,1983060
[DIVPOL].[ZONA].&[ZONA 2],ZONA 2,976997
[DIVPOL].[ZONA].&[ZONA 3],ZONA 3,2290324
[DIVPOL].[ZONA].&[ZONA 4],ZONA 4,1983245
[DIVPOL].[ZONA].&[ZONA 5],ZONA 5,2935223
[DIVPOL].[ZONA].&[ZONA 6],ZONA 6,1784917
[DIVPOL].[ZONA].&[ZONA 7],ZONA 7,1779030
[DIVPOL].[ZONA].&[ZONA 8],ZONA 8,4503345
[DIVPOL].[ZONA].&[ZONA 9],ZONA 9,5015101
[DIVPOL].[ZONA].&[ZONA NO DELIMITADA],ZONA NO DELIMITADA,5284
[DIVPOL].[ZONA].&,,4343
