[DMH_INCIDENT].[CenterId].[CenterId].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[CenterId].[CenterId].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[CenterId].&[1],1,6024718
[DMH_INCIDENT].[CenterId].&[2],2,3699950
[DMH_INCIDENT].[CenterId].&[3],3,1503716
[DMH_INCIDENT].[CenterId].&[4],4,1166330
[DMH_INCIDENT].[CenterId].&[5],5,1027866
[DMH_INCIDENT].[CenterId].&[6],6,808612
[DMH_INCIDENT].[CenterId].&[7],7,1639141
[DMH_INCIDENT].[CenterId].&[8],8,573678
[DMH_INCIDENT].[CenterId].&[9],9,276506
[DMH_INCIDENT].[CenterId].&[10],10,318110
[DMH_INCIDENT].[CenterId].&[11],11,805465
[DMH_INCIDENT].[CenterId].&[12],12,645825
[DMH_INCIDENT].[CenterId].&[13],13,748807
[DMH_INCIDENT].[CenterId].&[14],14,1340136
[DMH_INCIDENT].[CenterId].&[15],15,277826
[DMH_INCIDENT].[CenterId].&[16],16,73508
[DMH_INCIDENT].[CenterId].&[17],17,2330675
