[DMH_INCIDENT].[FechaHoraID].[FechaHoraID].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[FechaHoraID].[FechaHoraID].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[FechaHoraID].&[2019121109],2019121109,1
[DMH_INCIDENT].[FechaHoraID].&[2019122109],2019122109,1
[DMH_INCIDENT].[FechaHoraID].&[2019123016],2019123016,1
[DMH_INCIDENT].[FechaHoraID].&[2019123020],2019123020,1
[DMH_INCIDENT].[FechaHoraID].&[2019123107],2019123107,1
[DMH_INCIDENT].[FechaHoraID].&[2019123111],2019123111,1
[DMH_INCIDENT].[FechaHoraID].&[2019123117],2019123117,2
[DMH_INCIDENT].[FechaHoraID].&[2019123118],2019123118,1
[DMH_INCIDENT].[FechaHoraID].&[2019123119],2019123119,1
[DMH_INCIDENT].[FechaHoraID].&[2019123120],2019123120,2
[DMH_INCIDENT].[FechaHoraID].&[2019123122],2019123122,1
[DMH_INCIDENT].[FechaHoraID].&[2019123123],2019123123,18
[DMH_INCIDENT].[FechaHoraID].&[2020010100],2020010100,667
[DMH_INCIDENT].[FechaHoraID].&[2020010101],2020010101,730
[DMH_INCIDENT].[FechaHoraID].&[2020010102],2020010102,847
[DMH_INCIDENT].[FechaHoraID].&[2020010103],2020010103,964
[DMH_INCIDENT].[FechaHoraID].&[2020010104],2020010104,1049
[DMH_INCIDENT].[FechaHoraID].&[2020010105],2020010105,1000
[DMH_INCIDENT].[FechaHoraID].&[2020010106],2020010106,1081
[DMH_INCIDENT].[FechaHoraID].&[2020010107],2020010107,952
[DMH_INCIDENT].[FechaHoraID].&[2020010108],2020010108,833
[DMH_INCIDENT].[FechaHoraID].&[2020010109],2020010109,759
[DMH_INCIDENT].[FechaHoraID].&[2020010110],2020010110,720
[DMH_INCIDENT].[FechaHoraID].&[2020010111],2020010111,712
[DMH_INCIDENT].[FechaHoraID].&[2020010112],2020010112,678
[DMH_INCIDENT].[FechaHoraID].&[2020010113],2020010113,670
[DMH_INCIDENT].[FechaHoraID].&[2020010114],2020010114,742
[DMH_INCIDENT].[FechaHoraID].&[2020010115],2020010115,692
[DMH_INCIDENT].[FechaHoraID].&[2020010116],2020010116,658
[DMH_INCIDENT].[FechaHoraID].&[2020010117],2020010117,700
[DMH_INCIDENT].[FechaHoraID].&[2020010118],2020010118,726
[DMH_INCIDENT].[FechaHoraID].&[2020010119],2020010119,854
[DMH_INCIDENT].[FechaHoraID].&[2020010120],2020010120,920
[DMH_INCIDENT].[FechaHoraID].&[2020010121],2020010121,932
[DMH_INCIDENT].[FechaHoraID].&[2020010122],2020010122,920
[DMH_INCIDENT].[FechaHoraID].&[2020010123],2020010123,644
[DMH_INCIDENT].[FechaHoraID].&[2020010200],2020010200,516
[DMH_INCIDENT].[FechaHoraID].&[2020010201],2020010201,357
[DMH_INCIDENT].[FechaHoraID].&[2020010202],2020010202,207
[DMH_INCIDENT].[FechaHoraID].&[2020010203],2020010203,150
[DMH_INCIDENT].[FechaHoraID].&[2020010204],2020010204,117
[DMH_INCIDENT].[FechaHoraID].&[2020010205],2020010205,90
[DMH_INCIDENT].[FechaHoraID].&[2020010206],2020010206,178
[DMH_INCIDENT].[FechaHoraID].&[2020010207],2020010207,191
[DMH_INCIDENT].[FechaHoraID].&[2020010208],2020010208,266
[DMH_INCIDENT].[FechaHoraID].&[2020010209],2020010209,356
[DMH_INCIDENT].[FechaHoraID].&[2020010210],2020010210,427
