[DMH_INCIDENT].[GeoRefDiv_AdmObjId].[GeoRefDiv_AdmObjId].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[GeoRefDiv_AdmObjId].[GeoRefDiv_AdmObjId].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&,,4347
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[1],1,17352
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[2],2,18243
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[3],3,26651
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[4],4,20266
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[5],5,10217
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[6],6,14565
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[7],7,2687
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[8],8,20585
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[9],9,14779
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[10],10,7926
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[11],11,27447
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[12],12,22326
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[13],13,15
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[14],14,75
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[15],15,1214
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[16],16,297
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[17],17,998
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[18],18,6549
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[19],19,17448
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[20],20,9403
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[21],21,2785
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[22],22,7311
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[23],23,6888
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[24],24,4678
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[25],25,18727
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[26],26,4956
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[27],27,3642
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[28],28,7990
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[29],29,20065
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[30],30,8347
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[31],31,9593
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[32],32,9362
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[33],33,4333
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[34],34,11694
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[35],35,22639
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[36],36,1807
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[37],37,5788
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[38],38,300
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[39],39,4131
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[40],40,3104
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[41],41,26586
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[42],42,29444
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[43],43,26024
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[44],44,4307
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[45],45,14069
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[46],46,23733
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[47],47,15397
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[48],48,12529
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[49],49,17487
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[50],50,10178
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[51],51,13541
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[52],52,13387
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[53],53,7994
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[54],54,17699
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[55],55,1937
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[56],56,10743
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[57],57,1871
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[58],58,1518
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[59],59,3686
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[60],60,544
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[61],61,196
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[62],62,5326
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[63],63,178
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[64],64,87
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[65],65,323
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[66],66,7229
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[67],67,497
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[68],68,390
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[69],69,3970
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[70],70,922
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[71],71,37257
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[72],72,22937
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[73],73,31399
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[74],74,16261
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[75],75,18661
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[76],76,26633
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[77],77,32559
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[78],78,16022
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[79],79,20786
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[80],80,32094
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[81],81,35448
[DMH_INCIDENT].[GeoRefDiv_AdmObjId].&[82],82,23519
