[DMH_INCIDENT].[GeoRefDiv_PolObjId].[GeoRefDiv_PolObjId].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[GeoRefDiv_PolObjId].[GeoRefDiv_PolObjId].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&,,4343
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[1],1,98330
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[2],2,1525
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[3],3,2116
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[4],4,6024
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[5],5,2372
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[6],6,4614
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[7],7,3065
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[8],8,2325
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[9],9,12172
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[10],10,9025
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[11],11,5277
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[12],12,10294
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[13],13,1508
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[14],14,1662
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[15],15,1277
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[16],16,425
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[17],17,25600
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[18],18,15421
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[19],19,6404
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[20],20,1756
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[21],21,322
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[22],22,4008
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[23],23,1790
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[24],24,1216
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[25],25,25736
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[26],26,12413
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[27],27,160009
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[28],28,3224
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[29],29,14431
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[30],30,2520
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[31],31,451
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[32],32,22
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[33],33,5177
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[34],34,3612
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[35],35,1194
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[36],36,2023
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[37],37,5802
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[38],38,630
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[39],39,4177
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[40],40,564
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[41],41,1214
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[42],42,473
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[43],43,9166
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[44],44,238
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[45],45,1665
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[46],46,2986
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[47],47,7807
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[48],48,1991
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[49],49,529
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[50],50,317
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[51],51,27858
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[52],52,2229
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[53],53,422
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[54],54,397
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[55],55,4812
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[56],56,72
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[57],57,9085
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[58],58,1164
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[59],59,208729
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[60],60,4357
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[61],61,5071
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[62],62,14567
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[63],63,1880
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[64],64,9513
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[65],65,3079
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[66],66,3931
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[67],67,10425
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[68],68,16051
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[69],69,4293
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[70],70,50996
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[71],71,2294
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[72],72,591
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[73],73,3815
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[74],74,6246
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[75],75,87
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[76],76,290
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[77],77,37182
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[78],78,456
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[79],79,1091
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[80],80,2149
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[81],81,947
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[82],82,1416
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[83],83,3489
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[84],84,46645
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[85],85,1618
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[86],86,1836
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[87],87,3770
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[88],88,2264
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[89],89,8001
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[90],90,20131
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[91],91,576
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[92],92,1087
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[93],93,411
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[94],94,6694
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[95],95,1283
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[96],96,498
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[97],97,593
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[98],98,120
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[99],99,453392
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[100],100,589
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[101],101,5864
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[102],102,1983
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[103],103,579
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[104],104,2819
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[105],105,1389
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[106],106,1814
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[107],107,1901
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[108],108,3996
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[109],109,15543
