[DMH_INCIDENT].[HoraId].[HoraId].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[HoraId].[HoraId].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[HoraId].&,,1411380
[DMH_INCIDENT].[HoraId].&[000000],000000,260
[DMH_INCIDENT].[HoraId].&[000001],000001,262
[DMH_INCIDENT].[HoraId].&[000002],000002,300
[DMH_INCIDENT].[HoraId].&[000003],000003,282
[DMH_INCIDENT].[HoraId].&[000004],000004,335
[DMH_INCIDENT].[HoraId].&[000005],000005,303
[DMH_INCIDENT].[HoraId].&[000006],000006,321
[DMH_INCIDENT].[HoraId].&[000007],000007,312
[DMH_INCIDENT].[HoraId].&[000008],000008,305
[DMH_INCIDENT].[HoraId].&[000009],000009,279
[DMH_INCIDENT].[HoraId].&[000010],000010,313
[DMH_INCIDENT].[HoraId].&[000011],000011,292
[DMH_INCIDENT].[HoraId].&[000012],000012,276
[DMH_INCIDENT].[HoraId].&[000013],000013,295
[DMH_INCIDENT].[HoraId].&[000014],000014,303
[DMH_INCIDENT].[HoraId].&[000015],000015,341
[DMH_INCIDENT].[HoraId].&[000016],000016,328
[DMH_INCIDENT].[HoraId].&[000017],000017,308
[DMH_INCIDENT].[HoraId].&[000018],000018,305
[DMH_INCIDENT].[HoraId].&[000019],000019,334
[DMH_INCIDENT].[HoraId].&[000020],000020,303
[DMH_INCIDENT].[HoraId].&[000021],000021,309
[DMH_INCIDENT].[HoraId].&[000022],000022,315
[DMH_INCIDENT].[HoraId].&[000023],000023,314
[DMH_INCIDENT].[HoraId].&[000024],000024,290
[DMH_INCIDENT].[HoraId].&[000025],000025,275
[DMH_INCIDENT].[HoraId].&[000026],000026,316
[DMH_INCIDENT].[HoraId].&[000027],000027,331
[DMH_INCIDENT].[HoraId].&[000028],000028,290
[DMH_INCIDENT].[HoraId].&[000029],000029,323
[DMH_INCIDENT].[HoraId].&[000030],000030,286
[DMH_INCIDENT].[HoraId].&[000031],000031,288
[DMH_INCIDENT].[HoraId].&[000032],000032,320
[DMH_INCIDENT].[HoraId].&[000033],000033,314
[DMH_INCIDENT].[HoraId].&[000034],000034,286
[DMH_INCIDENT].[HoraId].&[000035],000035,283
[DMH_INCIDENT].[HoraId].&[000036],000036,324
[DMH_INCIDENT].[HoraId].&[000037],000037,293
[DMH_INCIDENT].[HoraId].&[000038],000038,318
[DMH_INCIDENT].[HoraId].&[000039],000039,303
[DMH_INCIDENT].[HoraId].&[000040],000040,297
[DMH_INCIDENT].[HoraId].&[000041],000041,350
[DMH_INCIDENT].[HoraId].&[000042],000042,313
[DMH_INCIDENT].[HoraId].&[000043],000043,322
[DMH_INCIDENT].[HoraId].&[000044],000044,318
[DMH_INCIDENT].[HoraId].&[000045],000045,325
[DMH_INCIDENT].[HoraId].&[000046],000046,328
[DMH_INCIDENT].[HoraId].&[000047],000047,351
[DMH_INCIDENT].[HoraId].&[000048],000048,320
[DMH_INCIDENT].[HoraId].&[000049],000049,307
[DMH_INCIDENT].[HoraId].&[000050],000050,333
[DMH_INCIDENT].[HoraId].&[000051],000051,272
[DMH_INCIDENT].[HoraId].&[000052],000052,341
[DMH_INCIDENT].[HoraId].&[000053],000053,328
[DMH_INCIDENT].[HoraId].&[000054],000054,327
[DMH_INCIDENT].[HoraId].&[000055],000055,319
[DMH_INCIDENT].[HoraId].&[000056],000056,319
[DMH_INCIDENT].[HoraId].&[000057],000057,355
[DMH_INCIDENT].[HoraId].&[000058],000058,334
[DMH_INCIDENT].[HoraId].&[000059],000059,313
[DMH_INCIDENT].[HoraId].&[000100],000100,334
[DMH_INCIDENT].[HoraId].&[000101],000101,314
