[DMH_INCIDENT].[IncidentDiaposalCount].[IncidentDiaposalCount].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[IncidentDiaposalCount].[IncidentDiaposalCount].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[IncidentDiaposalCount].&,,2123
[DMH_INCIDENT].[IncidentDiaposalCount].&[0],0,3791489
[DMH_INCIDENT].[IncidentDiaposalCount].&[1],1,17320141
[DMH_INCIDENT].[IncidentDiaposalCount].&[2],2,1638730
[DMH_INCIDENT].[IncidentDiaposalCount].&[3],3,365132
[DMH_INCIDENT].[IncidentDiaposalCount].&[4],4,98260
[DMH_INCIDENT].[IncidentDiaposalCount].&[5],5,29665
[DMH_INCIDENT].[IncidentDiaposalCount].&[6],6,9418
[DMH_INCIDENT].[IncidentDiaposalCount].&[7],7,3203
[DMH_INCIDENT].[IncidentDiaposalCount].&[8],8,1256
[DMH_INCIDENT].[IncidentDiaposalCount].&[9],9,547
[DMH_INCIDENT].[IncidentDiaposalCount].&[10],10,268
[DMH_INCIDENT].[IncidentDiaposalCount].&[11],11,170
[DMH_INCIDENT].[IncidentDiaposalCount].&[12],12,124
[DMH_INCIDENT].[IncidentDiaposalCount].&[13],13,82
[DMH_INCIDENT].[IncidentDiaposalCount].&[14],14,63
[DMH_INCIDENT].[IncidentDiaposalCount].&[15],15,59
[DMH_INCIDENT].[IncidentDiaposalCount].&[16],16,48
[DMH_INCIDENT].[IncidentDiaposalCount].&[17],17,34
[DMH_INCIDENT].[IncidentDiaposalCount].&[18],18,16
[DMH_INCIDENT].[IncidentDiaposalCount].&[19],19,13
[DMH_INCIDENT].[IncidentDiaposalCount].&[20],20,11
[DMH_INCIDENT].[IncidentDiaposalCount].&[21],21,1
[DMH_INCIDENT].[IncidentDiaposalCount].&[22],22,4
[DMH_INCIDENT].[IncidentDiaposalCount].&[23],23,1
[DMH_INCIDENT].[IncidentDiaposalCount].&[25],25,2
[DMH_INCIDENT].[IncidentDiaposalCount].&[27],27,2
[DMH_INCIDENT].[IncidentDiaposalCount].&[28],28,1
[DMH_INCIDENT].[IncidentDiaposalCount].&[29],29,1
[DMH_INCIDENT].[IncidentDiaposalCount].&[30],30,1
[DMH_INCIDENT].[IncidentDiaposalCount].&[33],33,1
[DMH_INCIDENT].[IncidentDiaposalCount].&[37],37,1
[DMH_INCIDENT].[IncidentDiaposalCount].&[41],41,1
[DMH_INCIDENT].[IncidentDiaposalCount].&[44],44,1
