[DMH_INCIDENT].[IncidentNewTypeId].[IncidentNewTypeId].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[IncidentNewTypeId].[IncidentNewTypeId].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[IncidentNewTypeId].&,,95
[DMH_INCIDENT].[IncidentNewTypeId].&[1],1,81
[DMH_INCIDENT].[IncidentNewTypeId].&[2],2,18
[DMH_INCIDENT].[IncidentNewTypeId].&[3],3,98
[DMH_INCIDENT].[IncidentNewTypeId].&[4],4,2
[DMH_INCIDENT].[IncidentNewTypeId].&[6],6,1
[DMH_INCIDENT].[IncidentNewTypeId].&[21],21,1
[DMH_INCIDENT].[IncidentNewTypeId].&[20500],20500,8832
[DMH_INCIDENT].[IncidentNewTypeId].&[20501],20501,6050
[DMH_INCIDENT].[IncidentNewTypeId].&[20502],20502,5780
[DMH_INCIDENT].[IncidentNewTypeId].&[20503],20503,2604
[DMH_INCIDENT].[IncidentNewTypeId].&[20504],20504,344
[DMH_INCIDENT].[IncidentNewTypeId].&[20505],20505,2863
[DMH_INCIDENT].[IncidentNewTypeId].&[20506],20506,768
[DMH_INCIDENT].[IncidentNewTypeId].&[20507],20507,170
[DMH_INCIDENT].[IncidentNewTypeId].&[20508],20508,991
[DMH_INCIDENT].[IncidentNewTypeId].&[20509],20509,504
[DMH_INCIDENT].[IncidentNewTypeId].&[20510],20510,1381
[DMH_INCIDENT].[IncidentNewTypeId].&[20511],20511,127910
[DMH_INCIDENT].[IncidentNewTypeId].&[20512],20512,60017
[DMH_INCIDENT].[IncidentNewTypeId].&[20513],20513,186296
[DMH_INCIDENT].[IncidentNewTypeId].&[20517],20517,2049
[DMH_INCIDENT].[IncidentNewTypeId].&[20518],20518,416
[DMH_INCIDENT].[IncidentNewTypeId].&[20519],20519,175
[DMH_INCIDENT].[IncidentNewTypeId].&[20520],20520,22
[DMH_INCIDENT].[IncidentNewTypeId].&[20521],20521,8
[DMH_INCIDENT].[IncidentNewTypeId].&[20522],20522,18
[DMH_INCIDENT].[IncidentNewTypeId].&[20523],20523,22862
