[DMH_INCIDENT].[InvalidIncidentNewTypeId].[InvalidIncidentNewTypeId].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[InvalidIncidentNewTypeId].[InvalidIncidentNewTypeId].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[InvalidIncidentNewTypeId].&,,343299
[DMH_INCIDENT].[InvalidIncidentNewTypeId].&[0],0,20422268
[DMH_INCIDENT].[InvalidIncidentNewTypeId].&[4],4,3154
[DMH_INCIDENT].[InvalidIncidentNewTypeId].&[6],6,24
[DMH_INCIDENT].[InvalidIncidentNewTypeId].&[7],7,45560
[DMH_INCIDENT].[InvalidIncidentNewTypeId].&[8],8,4752
[DMH_INCIDENT].[InvalidIncidentNewTypeId].&[14],14,400613
[DMH_INCIDENT].[InvalidIncidentNewTypeId].&[16],16,19040
[DMH_INCIDENT].[InvalidIncidentNewTypeId].&[17],17,2716
[DMH_INCIDENT].[InvalidIncidentNewTypeId].&[25],25,325268
[DMH_INCIDENT].[InvalidIncidentNewTypeId].&[26],26,1417828
[DMH_INCIDENT].[InvalidIncidentNewTypeId].&[27],27,274310
[DMH_INCIDENT].[InvalidIncidentNewTypeId].&[28],28,1417
[DMH_INCIDENT].[InvalidIncidentNewTypeId].&[32],32,620
